@400000005e786ac82e5ffade #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e786ac91cb61892 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e786b2f273b1773 #d,-,18,3346,2355,1148,81,0,208912,12952,3417,2357,1574,3346,2353,1122,98,100,0,500,3401;
@400000005e786b312744db1e #d,-,18,2653,2354,1168,82,0,208762,12943,3346,2357,1182,2653,2354,1136,98,100,0,500,2694;
@400000005e786b31274a9b8a #d,-,18,2658,2353,1175,83,0,208819,12946,2658,2356,1182,2653,2353,1137,97,100,0,500,2728;
@400000005e786b3327548742 #d,-,18,2726,2356,1163,83,0,208481,12925,2726,2356,1175,2658,2353,1156,98,100,0,500,2757;
@400000005e786b33275a5b3c #d,-,18,2724,2355,1162,84,0,208345,12917,2726,2356,1163,2724,2353,1160,99,100,0,500,2746;
@400000005e786b352764d660 #d,-,18,2722,2354,1162,85,0,208211,12909,2724,2355,1163,2722,2353,1161,99,100,0,500,2742;
@400000005e786b35276b245c #d,-,18,2720,2355,1190,86,0,208099,12902,2722,2355,1191,2720,2353,1161,99,100,0,500,2744;
@400000005e786b372775af55 #d,-,18,2722,2356,1162,86,0,207971,12894,2722,2356,1190,2720,2354,1155,98,100,0,500,2769;
@400000005e786b37277c8549 #d,-,18,2721,2356,1161,87,0,207847,12886,2722,2358,1162,2721,2355,1160,99,100,0,500,2744;
@400000005e786b3927876e52 #d,-,18,2719,2358,1161,88,0,207722,12878,2721,2358,1162,2719,2356,1160,99,100,0,500,2744;
@400000005e786b39278eebea #d,-,18,2718,2356,1160,89,0,207787,12882,2719,2358,1162,2718,2355,1160,99,100,0,500,2742;
@400000005e786b3b279b86f3 #d,-,18,2717,2356,1189,89,0,207494,12864,2718,2358,1189,2717,2356,1160,99,100,0,500,2742;
@400000005e786b3b27a2f95e #d,-,18,2719,2356,1163,90,0,207382,12857,2719,2357,1190,2717,2355,1154,98,100,0,500,2771;
@400000005e786b3d27b0faf5 #d,-,18,2718,2357,1160,91,0,207267,12850,2719,2358,1163,2718,2355,1160,99,100,0,500,2742;
@400000005e786b3d27b9ffb5 #d,-,18,2717,2359,1159,92,0,207153,12843,2718,2359,1162,2717,2355,1159,99,100,0,500,2742;
@400000005e786b3f27ca7a99 #d,-,18,2716,2359,1161,92,0,207218,12847,2717,2359,1161,2716,2357,1159,99,100,0,500,2742;
@400000005e786b3f27d45946 #d,-,18,2715,2359,1183,93,0,206938,12830,2716,2359,1183,2715,2356,1159,99,100,0,500,2742;
@400000005e786b4127e529d9 #d,-,18,2718,2358,1162,94,0,206839,12824,2718,2360,1188,2715,2357,1153,98,100,0,500,2773;
@400000005e786b4127ef72b2 #d,-,18,2716,2358,1160,95,0,206731,12817,2718,2359,1162,2716,2357,1159,99,100,0,500,2739;
@400000005e786b4327ff2649 #d,-,18,2715,2359,1160,95,0,206625,12810,2716,2359,1161,2715,2357,1160,99,100,0,500,2742;
@400000005e786b43280a32b6 #d,-,18,2714,2358,1160,96,0,206523,12804,2715,2359,1161,2714,2356,1159,99,100,0,500,2741;
@400000005e786b45281ad872 #d,-,18,2713,2356,1172,97,0,206422,12798,2714,2358,1172,2713,2355,1160,98,100,0,500,2742;
@400000005e786b45282534da #d,-,18,2716,2356,1161,98,0,206335,12792,2716,2357,1190,2713,2354,1156,98,100,0,500,2771;
@400000005e786b472835e209 #d,-,18,2715,2357,1160,98,0,206236,12786,2716,2357,1163,2715,2355,1160,99,100,0,500,2739;
@400000005e786b4728400c26 #d,-,18,2714,2357,1160,99,0,206304,12790,2715,2357,1162,2714,2355,1159,99,100,0,500,2741;
@400000005e786b49284e8316 #d,-,18,2713,2359,1160,100,0,206207,12784,2714,2359,1162,2713,2355,1159,98,100,0,500,2742;
@400000005e786b492859a312 #d,-,18,2712,2355,1488,101,0,206036,12774,2713,2359,1488,2712,2355,1159,98,100,0,500,2741;
@400000005e786b4b2862c2d4 #d,-,18,3481,2356,1375,102,0,206503,12803,3481,2356,1702,2712,2352,1375,100,100,0,500,3481;
@400000005e786b4b286683f4 #d,-,18,3365,2357,1457,103,0,206798,12821,3481,2357,1577,3365,2353,1301,97,100,0,500,3449;
@400000005e786b4d2872f6f1 #d,-,18,3570,2354,1674,104,0,207279,12851,3570,2358,1712,3365,2354,1261,99,100,0,500,3582;
@400000005e786b4d287b4438 #d,-,18,3374,2353,1559,105,0,207623,12872,3570,2358,1674,3374,2353,1151,95,100,0,500,3531;
@400000005e786b4f288834ef #d,-,18,3490,2352,1682,106,0,207878,12888,3490,2357,1717,3374,2352,1244,100,100,0,500,3490;
@400000005e786b4f2890a0f2 #d,-,18,3624,2354,1623,107,0,208104,12902,3624,2357,1685,3490,2352,1176,96,100,0,500,3764;
@400000005e786b51289b14a2 #d,-,18,3384,2356,1704,107,0,208505,12927,3624,2359,1720,3384,2354,1249,98,100,0,500,3420;
@400000005e786b5128a0dd70 #d,-,18,3785,2358,1545,109,0,208723,12940,3785,2359,1704,3384,2354,1147,98,100,0,500,3835;
@400000005e786b5328ac04df #d,-,18,3349,2358,1147,109,0,209060,12961,3785,2359,1650,3349,2356,1147,99,100,0,500,3372;
@400000005e786b5328b2657b #d,-,18,2731,2357,1126,110,0,208776,12944,3349,2359,1158,2731,2356,1110,96,100,0,500,2842;
@400000005e786b5528be24b8 #d,-,18,2727,2358,1149,111,0,208688,12938,2731,2358,1197,2727,2356,1126,100,100,0,500,2727;
@400000005e786b5528c4ff55 #d,-,18,2724,2358,1157,112,0,208578,12931,2727,2359,1158,2724,2356,1148,99,100,0,500,2748;
@400000005e786b5728d1205d #d,-,18,2721,2357,1156,112,0,208471,12925,2724,2360,1159,2721,2357,1155,99,100,0,500,2735;
@400000005e786b5728d85bd5 #d,-,18,2719,2358,1157,113,0,208365,12918,2721,2360,1158,2719,2357,1156,99,100,0,500,2733;
@400000005e786b5928e521b4 #d,-,18,2716,2358,1155,114,0,208261,12912,2719,2359,1157,2716,2357,1155,99,100,0,500,2735;
@400000005e786b5928ed56c5 #d,-,18,2715,2358,1159,115,0,208173,12906,2716,2359,1185,2715,2357,1155,99,100,0,500,2737;
@400000005e786b5b28fd54dd #d,-,18,2716,2359,1156,115,0,208070,12900,2716,2359,1159,2715,2357,1151,98,100,0,500,2757;
@400000005e786b5b2907bd60 #d,-,18,2713,2357,1157,116,0,207970,12894,2716,2359,1158,2713,2357,1156,99,100,0,500,2735;
@400000005e786b5d2918acaf #d,-,18,2712,2357,1157,117,0,207871,12888,2713,2359,1157,2712,2356,1156,99,100,0,500,2733;
@400000005e786b5d29231532 #d,-,18,2710,2359,1157,118,0,207775,12882,2712,2359,1158,2710,2356,1156,99,100,0,500,2735;
@400000005e786b5f29330375 #d,-,18,2710,2357,1172,118,0,207694,12877,2710,2359,1186,2710,2356,1156,99,100,0,500,2735;
@400000005e786b5f293e5d2f #d,-,18,2711,2357,1157,119,0,207597,12871,2711,2358,1172,2710,2356,1150,98,100,0,500,2758;
@400000005e786b61294edf87 #d,-,18,2710,2358,1157,120,0,207504,12865,2711,2359,1158,2710,2356,1156,99,100,0,500,2735;
@400000005e786b6129597b43 #d,-,18,2709,2358,1157,121,0,207413,12859,2710,2359,1158,2709,2356,1156,99,100,0,500,2735;
@400000005e786b63296a66d8 #d,-,18,2708,2357,1157,121,0,207322,12853,2709,2359,1158,2708,2356,1156,99,100,0,500,2733;
@400000005e786b632974bbcd #d,-,18,2707,2356,1184,122,0,207380,12857,2708,2358,1185,2707,2356,1156,99,100,0,500,2733;
@400000005e786b6529858044 #d,-,18,2709,2358,1156,123,0,207290,12851,2709,2359,1184,2707,2355,1149,98,100,0,500,2758;
@400000005e786b65298fb58f #d,-,18,2708,2358,1156,124,0,207068,12838,2709,2359,1158,2708,2356,1155,99,100,0,500,2733;
@400000005e786b6729a0b0f9 #d,-,18,2707,2357,1156,124,0,206980,12832,2708,2358,1157,2707,2356,1155,99,100,0,500,2732;
@400000005e786b6729aafd8c #d,-,18,2706,2357,1156,125,0,206894,12827,2707,2359,1158,2706,2356,1155,99,100,0,500,2733;
@400000005e786b6929bae45b #d,-,18,2705,2358,1184,126,0,206818,12822,2706,2359,1184,2705,2356,1155,99,100,0,500,2732;
@400000005e786b6929c62313 #d,-,18,2707,2359,1158,127,0,206736,12817,2707,2359,1185,2705,2356,1149,98,100,0,500,2757;
@400000005e786b6b29d70735 #d,-,18,2706,2359,1155,127,0,206653,12812,2707,2359,1158,2706,2357,1155,99,100,0,500,2732;
@400000005e786b6b29e16fb8 #d,-,18,2705,2358,1157,128,0,206570,12807,2706,2359,1157,2705,2357,1154,99,100,0,500,2732;
@400000005e786b6d29ec5c7b #d,-,18,2704,2358,1156,129,0,206489,12802,2705,2359,1157,2704,2357,1155,98,100,0,500,2732;
@400000005e786b6d29f16928 #d,-,18,3024,2354,1715,130,0,206968,12832,3024,2358,1741,2704,2352,1156,100,100,0,500,3024;
@400000005e786b6f29f9c19c #d,-,18,3546,2353,1611,131,0,206990,12833,3546,2357,1715,3024,2353,1241,96,100,0,500,3668;
@400000005e786b6f29fe69b4 #d,-,18,3376,2351,1696,132,0,207294,12852,3546,2356,1709,3376,2351,1245,98,100,0,500,3417;
@400000005e786b712a05c890 #d,-,18,3749,2353,1449,133,0,207488,12864,3749,2357,1696,3376,2351,1216,99,100,0,500,3785;
@400000005e786b712a095a31 #d,-,18,3302,2353,1692,134,0,207773,12881,3749,2357,1692,3302,2353,1261,99,100,0,500,3324;
@400000005e786b732a114968 #d,-,18,3728,2354,1156,135,0,208002,12896,3728,2356,1709,3302,2353,1149,99,100,0,500,3737;
@400000005e786b732a1800a0 #d,-,18,3266,2356,1240,135,0,208313,12915,3728,2357,1633,3266,2351,1156,97,100,0,500,3363;
@400000005e786b752a244c7f #d,-,18,3529,2358,1284,137,0,208553,12930,3529,2358,1723,3266,2352,1240,99,100,0,500,3561;
@400000005e786b752a2bde94 #d,-,18,3349,2356,1403,137,0,208746,12942,3529,2358,1614,3349,2354,1210,97,100,0,500,3431;
@400000005e786b772a372d21 #d,-,18,3140,2356,1144,138,0,208665,12937,3349,2360,1403,3140,2356,1144,96,100,0,500,3264;
@400000005e786b772a41ea65 #d,-,18,2681,2357,1155,139,0,208566,12931,3140,2358,1155,2681,2356,1142,98,100,0,500,2723;
@400000005e786b792a4e2fbf #d,-,18,2686,2358,1175,140,0,208503,12927,2686,2359,1196,2681,2355,1155,97,100,0,500,2755;
@400000005e786b792a58e949 #d,-,18,2691,2359,1158,140,0,208420,12922,2691,2359,1175,2686,2355,1155,97,100,0,500,2762;
@400000005e786b7b2a69f0ce #d,-,18,2693,2356,1161,141,0,208341,12917,2693,2359,1165,2691,2356,1158,98,100,0,500,2737;
@400000005e786b7b2a751484 #d,-,18,2695,2357,1162,142,0,208261,12912,2695,2358,1163,2693,2355,1159,98,100,0,500,2746;
@400000005e786b7d2a862f98 #d,-,18,2697,2357,1160,143,0,208183,12907,2697,2359,1163,2695,2356,1160,98,100,0,500,2744;
@400000005e786b7d2a90d593 #d,-,18,2702,2359,1156,143,0,208114,12903,2702,2359,1190,2697,2356,1154,97,100,0,500,2764;
@400000005e786b7f2aa0b8a9 #d,-,18,2703,2360,1160,144,0,208039,12898,2703,2360,1163,2702,2356,1156,98,100,0,500,2751;
@400000005e786b7f2aac40f4 #d,-,18,2704,2357,1161,145,0,208077,12900,2704,2360,1162,2703,2357,1159,98,100,0,500,2744;
@400000005e786b812ab8b125 #d,-,18,2705,2360,1166,146,0,207892,12889,2705,2360,1169,2704,2357,1161,98,100,0,500,2746;
@400000005e786b812ac334ab #d,-,18,2708,2360,1167,146,0,207823,12885,2708,2360,1168,2705,2357,1165,98,100,0,500,2760;
@400000005e786b832ad0308f #d,-,18,2711,2359,1153,147,0,207760,12881,2711,2361,1188,2708,2358,1153,98,100,0,500,2765;
@400000005e786b832adbe49f #d,-,18,2712,2358,1159,148,0,207687,12876,2712,2361,1162,2711,2358,1153,98,100,0,500,2757;
@400000005e786b852aec18bc #d,-,18,2711,2360,1160,149,0,207615,12872,2712,2361,1161,2711,2358,1159,98,100,0,500,2744;
@400000005e786b852af7e503 #d,-,18,2711,2360,1160,149,0,207544,12867,2711,2361,1161,2711,2358,1160,98,100,0,500,2744;
@400000005e786b872b07de73 #d,-,18,2711,2359,1160,150,0,207473,12863,2711,2360,1161,2711,2357,1159,98,100,0,500,2744;
