@400000005e62014d2a1aa790 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e62014e1876dd3b #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e6201aa2348e986 #d,-,18,4506,2350,1956,88,0,249519,15470,4506,2350,1977,4505,2347,1956,96,100,0,500,4664;
@400000005e6201ac235a146f #d,-,18,4507,2348,1959,89,0,250590,15536,4507,2350,1979,4506,2348,1953,96,100,0,500,4659;
@400000005e6201ac2365284f #d,-,18,4508,2347,1964,90,0,251109,15568,4508,2348,1975,4507,2347,1954,96,100,0,500,4664;
@400000005e6201ae2377e0e5 #d,-,18,4508,2348,1979,92,0,252148,15633,4508,2349,1979,4508,2347,1955,96,100,0,500,4664;
@400000005e6201ae2383cfa2 #d,-,18,4509,2348,1974,93,0,252651,15664,4509,2349,1983,4508,2347,1964,96,100,0,500,4661;
@400000005e6201b0239404ad #d,-,18,4511,2348,1964,94,0,253400,15710,4511,2350,1981,4509,2348,1964,96,100,0,500,4673;
@400000005e6201b0239e1694 #d,-,18,4513,2351,1964,95,0,254136,15756,4513,2351,1983,4511,2348,1963,96,100,0,500,4676;
@400000005e6201b223af391b #d,-,18,4515,2350,1973,97,0,254859,15801,4515,2352,1977,4513,2350,1962,96,100,0,500,4680;
@400000005e6201b223b93773 #d,-,18,4517,2352,1976,98,0,255569,15845,4517,2352,1982,4515,2350,1963,96,100,0,500,4680;
@400000005e6201b423c92970 #d,-,18,4518,2350,1971,99,0,256261,15888,4518,2352,1976,4517,2349,1960,96,100,0,500,4676;
@400000005e6201b423d36ad6 #d,-,18,4518,2350,1966,100,0,256934,15929,4518,2351,1977,4518,2349,1959,96,100,0,500,4668;
@400000005e6201b623e4c096 #d,-,18,4519,2349,1962,101,0,257845,15986,4519,2351,1974,4518,2349,1957,96,100,0,500,4671;
@400000005e6201b623efdbea #d,-,18,4519,2352,1970,103,0,258245,16011,4519,2352,1975,4519,2349,1959,96,100,0,500,4671;
@400000005e6201b824007dec #d,-,18,4520,2351,1971,104,0,258881,16050,4520,2352,1975,4519,2350,1958,96,100,0,500,4673;
@400000005e6201b8240aa71b #d,-,18,4520,2352,1976,105,0,259508,16089,4520,2353,1976,4520,2350,1962,96,100,0,500,4676;
@400000005e6201ba24189259 #d,-,18,4520,2350,1968,106,0,260120,16127,4520,2352,1976,4520,2350,1959,96,100,0,500,4668;
@400000005e6201ba24215050 #d,-,18,4520,2352,1961,108,0,260721,16164,4520,2353,1973,4520,2350,1960,96,100,0,500,4671;
@400000005e6201bc24322856 #d,-,18,4520,2351,1967,109,0,261315,16201,4520,2352,1973,4520,2351,1961,96,100,0,500,4671;
@400000005e6201bc243d5828 #d,-,18,4521,2352,1965,110,0,261896,16237,4521,2352,1975,4520,2350,1964,96,100,0,500,4673;
@400000005e6201be244dde39 #d,-,18,4521,2351,1979,111,0,262471,16273,4521,2352,1979,4521,2350,1964,96,100,0,500,4678;
@400000005e6201be2457c9f0 #d,-,18,4522,2351,1971,113,0,263267,16322,4522,2353,1980,4521,2351,1961,96,100,0,500,4673;
@400000005e6201c0246a291e #d,-,18,4522,2352,1963,114,0,263581,16342,4522,2352,1975,4522,2349,1960,96,100,0,500,4673;
@400000005e6201c024756f49 #d,-,18,4522,2351,1972,115,0,264354,16389,4522,2352,1978,4522,2351,1959,96,100,0,500,4671;
@400000005e6201c224850b97 #d,-,18,4522,2350,1963,116,0,264652,16408,4522,2351,1975,4522,2349,1960,96,100,0,500,4676;
@400000005e6201c2248ec416 #d,-,18,4522,2352,1981,118,0,265178,16441,4522,2352,1981,4522,2350,1957,96,100,0,500,4676;
@400000005e6201c4249fea57 #d,-,18,4523,2351,1973,119,0,265692,16472,4523,2352,1983,4522,2350,1963,96,100,0,500,4676;
@400000005e6201c424abb5b0 #d,-,18,4523,2352,1969,120,0,266199,16504,4523,2353,1976,4523,2351,1961,96,100,0,500,4676;
@400000005e6201c624bb0fde #d,-,18,4524,2351,1972,121,0,266699,16535,4524,2352,1977,4523,2350,1963,96,100,0,500,4678;
@400000005e6201c624c51a52 #d,-,18,4525,2352,1964,123,0,267188,16565,4525,2353,1980,4524,2350,1960,96,100,0,500,4678;
@400000005e6201c824d45890 #d,-,18,4525,2351,1983,124,0,267675,16595,4525,2352,1983,4525,2350,1960,96,100,0,500,4680;
@400000005e6201c824de1ff5 #d,-,18,4526,2351,1976,125,0,268373,16639,4526,2352,1983,4525,2350,1961,96,100,0,500,4683;
@400000005e6201ca24f06420 #d,-,18,4526,2349,1966,127,0,268618,16654,4526,2351,1983,4526,2349,1961,96,100,0,500,4678;
@400000005e6201ca24fb6be5 #d,-,18,4527,2351,1970,128,0,269296,16696,4527,2352,1981,4526,2349,1961,96,100,0,500,4678;
@400000005e6201cc250b4efb #d,-,18,4528,2349,1964,129,0,269530,16710,4528,2351,1984,4527,2348,1961,96,100,0,500,4683;
@400000005e6201cc2514d441 #d,-,18,4528,2350,1980,130,0,269977,16738,4528,2351,1980,4528,2349,1962,96,100,0,500,4678;
@400000005e6201ce252648bd #d,-,18,4528,2348,1976,132,0,270417,16765,4528,2350,1981,4528,2348,1962,96,100,0,500,4680;
@400000005e6201ce2530fad4 #d,-,18,4528,2351,1969,133,0,270849,16792,4528,2351,1982,4528,2348,1961,96,100,0,500,4678;
@400000005e6201d025409adc #d,-,18,4528,2350,1970,134,0,271274,16819,4528,2352,1982,4528,2349,1961,96,100,0,500,4678;
@400000005e6201d0254a1c67 #d,-,18,4529,2352,1970,135,0,271693,16845,4529,2352,1985,4528,2350,1959,96,100,0,500,4683;
@400000005e6201d2255d7174 #d,-,18,4530,2350,1983,137,0,272107,16870,4530,2352,1983,4529,2350,1958,96,100,0,500,4685;
@400000005e6201d22568c001 #d,-,18,4529,2352,1976,138,0,272513,16895,4530,2352,1985,4529,2349,1960,96,100,0,500,4678;
@400000005e6201d425788bce #d,-,18,4529,2350,1968,139,0,273116,16933,4529,2353,1980,4529,2350,1960,96,100,0,500,4676;
@400000005e6201d42581bf1f #d,-,18,4529,2353,1963,140,0,273507,16957,4529,2353,1980,4529,2349,1963,96,100,0,500,4676;
@400000005e6201d625917de2 #d,-,18,4529,2352,1965,142,0,273688,16968,4529,2353,1980,4529,2351,1960,96,100,0,500,4678;
@400000005e6201d6259b1b5f #d,-,18,4529,2352,1978,143,0,274069,16992,4529,2353,1979,4529,2351,1959,96,100,0,500,4678;
@400000005e6201d825acf1a5 #d,-,18,4528,2350,1976,144,0,274446,17015,4529,2353,1986,4528,2350,1958,96,100,0,500,4676;
@400000005e6201d825b7a775 #d,-,18,4528,2352,1969,145,0,274816,17038,4528,2352,1983,4528,2350,1959,96,100,0,500,4680;
@400000005e6201da25c69fda #d,-,18,4527,2350,1965,147,0,275178,17061,4528,2352,1983,4527,2350,1961,96,100,0,500,4671;
@400000005e6201da25d11afe #d,-,18,4528,2351,1969,148,0,275538,17083,4528,2352,1983,4527,2349,1961,96,100,0,500,4680;
@400000005e6201dc25e5e75d #d,-,18,4529,2350,1981,149,0,275896,17105,4529,2351,1984,4528,2350,1961,96,100,0,500,4683;
@400000005e6201dc25f2861f #d,-,18,4529,2351,1978,150,0,276248,17127,4529,2352,1986,4529,2349,1962,96,100,0,500,4680;
@400000005e6201de26026846 #d,-,18,4528,2350,1969,152,0,276593,17148,4529,2352,1983,4528,2350,1961,96,100,0,500,4680;
@400000005e6201de260bf9a7 #d,-,18,4528,2352,1962,153,0,276934,17169,4528,2353,1988,4528,2350,1961,96,100,0,500,4678;
@400000005e6201e0261bcbf9 #d,-,18,4529,2351,1956,154,0,277266,17190,4529,2352,1982,4528,2350,1956,96,100,0,500,4680;
