@400000005e4cea761367490c #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e4cea7701b731ea #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e4ceab70ac7eb7d #d,-,18,4551,2338,1989,67,0,271625,16840,4551,2338,1991,4550,2336,1985,96,100,0,500,4694;
@400000005e4ceab90ad6c437 #d,-,18,4551,2336,1991,68,0,272062,16867,4551,2338,1992,4551,2335,1985,96,100,0,500,4694;
@400000005e4ceab90ae0d61e #d,-,18,4551,2338,1992,69,0,273310,16945,4551,2338,1993,4551,2335,1986,96,100,0,500,4697;
@400000005e4ceabb0aef978f #d,-,18,4553,2337,1996,70,0,273721,16970,4553,2338,1997,4551,2336,1992,96,100,0,500,4704;
@400000005e4ceabb0af9c920 #d,-,18,4555,2337,1995,72,0,274528,17020,4555,2337,2000,4553,2335,1993,96,100,0,500,4711;
@400000005e4ceabd0b09683a #d,-,18,4557,2335,1995,73,0,275308,17069,4557,2337,2001,4555,2335,1995,96,100,0,500,4713;
@400000005e4ceabd0b136ef3 #d,-,18,4558,2337,1997,74,0,276069,17116,4558,2337,2003,4557,2335,1992,96,100,0,500,4713;
@400000005e4ceabf0b22b0eb #d,-,18,4560,2335,1999,75,0,276807,17162,4560,2337,2001,4558,2335,1994,96,100,0,500,4713;
@400000005e4ceabf0b2cd2a6 #d,-,18,4562,2334,1998,77,0,277524,17206,4562,2336,2001,4560,2333,1996,96,100,0,500,4711;
@400000005e4ceac10b3c158c #d,-,18,4563,2333,1996,78,0,278222,17249,4563,2336,2000,4562,2333,1996,96,100,0,500,4713;
@400000005e4ceac10b464ad7 #d,-,18,4564,2333,1997,79,0,279280,17315,4564,2334,2008,4563,2327,1996,96,100,0,500,4713;
@400000005e4ceac30b558cce #d,-,18,4561,2335,1756,80,0,279609,17335,4564,2337,1998,4561,2333,1747,97,100,0,500,4694;
@400000005e4ceac30b5f4cc0 #d,-,18,4000,2333,1746,81,0,279317,17317,4561,2336,1759,4000,2333,1746,95,100,0,500,4197;
@400000005e4ceac50b68131a #d,-,18,3936,2337,1687,83,0,279645,17338,4000,2337,1749,3936,2333,1687,95,100,0,500,4111;
@400000005e4ceac50b718117 #d,-,18,3791,2337,1384,84,0,278916,17292,3936,2339,1687,3791,2337,1384,95,100,0,500,3974;
@400000005e4ceac70b7fe832 #d,-,18,3170,2339,1335,84,0,278086,17241,3791,2339,1384,3170,2337,1319,92,100,0,500,3422;
@400000005e4ceac70b890c9c #d,-,18,2932,2340,1326,85,0,277241,17188,3170,2340,1335,2932,2338,1325,92,100,0,500,3161;
@400000005e4ceac90b96ef78 #d,-,18,2932,2339,1317,86,0,276415,17137,2932,2340,1329,2932,2338,1317,93,100,0,500,3149;
@400000005e4ceac90ba0b323 #d,-,18,2878,2340,1278,87,0,275509,17081,2932,2340,1317,2878,2338,1272,92,100,0,500,3114;
@400000005e4ceacb0baebd1c #d,-,18,2805,2339,1270,88,0,274606,17025,2878,2340,1278,2805,2338,1270,92,100,0,500,3035;
@400000005e4ceacb0bb7fc88 #d,-,18,2802,2338,1269,88,0,273715,16970,2805,2340,1270,2802,2338,1264,92,100,0,500,3016;
@400000005e4ceacd0bc5fa66 #d,-,18,2799,2340,1263,89,0,273155,16935,2802,2340,1269,2799,2338,1262,93,100,0,500,3007;
@400000005e4ceacd0bcfae3d #d,-,18,2795,2339,1265,90,0,272288,16881,2799,2341,1265,2795,2338,1261,93,100,0,500,3002;
@400000005e4ceacf0bdddb9a #d,-,18,2792,2341,1263,91,0,271135,16810,2795,2342,1266,2792,2339,1262,92,100,0,500,3005;
@400000005e4ceacf0be71ebf #d,-,18,2789,2342,1264,91,0,270315,16759,2792,2342,1267,2789,2339,1262,92,100,0,500,3002;
@400000005e4cead10bf4bad3 #d,-,18,2787,2339,1259,92,0,269503,16709,2789,2342,1264,2787,2339,1257,92,100,0,500,3005;
@400000005e4cead10bfe5fc3 #d,-,18,2783,2340,1258,93,0,268705,16659,2787,2340,1260,2783,2339,1256,93,100,0,500,2990;
@400000005e4cead30c0c1b81 #d,-,18,2779,2341,1262,94,0,267933,16611,2783,2341,1263,2779,2339,1257,92,100,0,500,2990;
@400000005e4cead30c156d8e #d,-,18,2775,2340,1186,94,0,267374,16577,2779,2341,1262,2775,2339,1163,92,100,0,500,2986;
@400000005e4cead50c21cdea #d,-,18,2561,2340,1170,95,0,266180,16503,2775,2340,1200,2561,2339,1166,90,100,0,500,2827;
@400000005e4cead50c2ab6b9 #d,-,18,2561,2339,1191,96,0,265585,16466,2561,2340,1194,2561,2337,1167,91,100,0,500,2813;
@400000005e4cead70c374a4e #d,-,18,2559,2338,1166,97,0,264426,16394,2561,2339,1191,2559,2337,1165,91,100,0,500,2796;
@400000005e4cead70c3fd9b5 #d,-,18,2557,2338,1193,97,0,263581,16342,2559,2340,1193,2557,2338,1162,91,100,0,500,2798;
@400000005e4cead90c4d992c #d,-,18,2554,2338,1166,98,0,262741,16289,2557,2340,1193,2554,2338,1162,91,100,0,500,2789;
@400000005e4cead90c5716ff #d,-,18,2553,2336,1592,99,0,262310,16263,2554,2340,1787,2553,2336,1166,91,100,0,500,2798;
@400000005e4ceadb0c63c4a7 #d,-,18,3102,2341,1135,99,0,261512,16213,3102,2341,1592,2553,2336,1048,92,100,0,500,3360;
@400000005e4ceadb0c6c73b8 #d,-,18,2497,2340,1151,100,0,260942,16178,3102,2341,1162,2497,2338,1135,91,100,0,500,2732;
@400000005e4ceadd0c796381 #d,-,18,2494,2339,1146,101,0,259854,16110,2497,2341,1151,2494,2338,1144,91,100,0,500,2734;
@400000005e4ceadd0c82164c #d,-,18,2490,2340,1147,101,0,259044,16060,2494,2341,1151,2490,2338,1143,91,100,0,500,2730;
@400000005e4ceadf0c8f2205 #d,-,18,2487,2339,1143,102,0,258243,16011,2490,2341,1147,2487,2339,1138,91,100,0,500,2725;
@400000005e4ceadf0c97b9cd #d,-,18,2484,2340,1141,103,0,257459,15962,2487,2341,1149,2484,2339,1140,91,100,0,500,2720;
@400000005e4ceae10ca5882c #d,-,18,2481,2340,1148,103,0,256940,15930,2484,2341,1151,2481,2338,1141,91,100,0,500,2723;
@400000005e4ceae10cae6e30 #d,-,18,2480,2340,1148,104,0,255941,15868,2481,2340,1153,2480,2337,1139,90,100,0,500,2730;
@400000005e4ceae30cbae4e6 #d,-,18,2477,2340,1143,105,0,255200,15822,2480,2340,1150,2477,2338,1141,90,100,0,500,2725;
@400000005e4ceae30cc3f97b #d,-,18,2475,2339,1150,105,0,254473,15777,2477,2340,1150,2475,2337,1140,90,100,0,500,2725;
@400000005e4ceae50cd0de16 #d,-,18,2473,2339,1139,106,0,253753,15732,2475,2340,1150,2473,2338,1139,90,100,0,500,2725;
@400000005e4ceae50cd96d7d #d,-,18,2470,2338,1146,107,0,253276,15703,2473,2339,1146,2470,2337,1138,90,100,0,500,2715;
@400000005e4ceae70ce60ff9 #d,-,18,2467,2337,1138,107,0,252577,15659,2470,2340,1147,2467,2337,1138,90,100,0,500,2718;
@400000005e4ceae70cef3bd6 #d,-,18,2465,2338,1147,108,0,251669,15603,2467,2339,1148,2465,2336,1138,90,100,0,500,2715;
@400000005e4ceae90cfc4f02 #d,-,18,2463,2338,1142,109,0,250996,15561,2465,2339,1147,2463,2336,1138,90,100,0,500,2715;
@400000005e4ceae90d04de69 #d,-,18,2462,2338,1142,110,0,250339,15521,2463,2339,1146,2462,2336,1136,90,100,0,500,2718;
@400000005e4ceaeb0d1113ee #d,-,18,2460,2338,1144,110,0,249691,15480,2462,2339,1145,2460,2337,1138,90,100,0,500,2711;
@400000005e4ceaeb0d197ff1 #d,-,18,2459,2339,1138,111,0,249055,15441,2460,2340,1146,2459,2338,1137,90,100,0,500,2718;
@400000005e4ceaed0d25401d #d,-,18,2458,2339,1142,112,0,248641,15415,2459,2341,1146,2458,2339,1136,90,100,0,500,2711;
@400000005e4ceaed0d2e5c25 #d,-,18,2457,2339,1137,112,0,248022,15377,2458,2339,1145,2457,2336,1135,90,100,0,500,2715;
@400000005e4ceaef0d3af63f #d,-,18,2455,2338,1138,113,0,247206,15326,2457,2339,1144,2455,2337,1131,90,100,0,500,2711;
@400000005e4ceaef0d4385a6 #d,-,18,2454,2338,1141,114,0,246604,15289,2455,2340,1142,2454,2337,1131,90,100,0,500,2706;
@400000005e4ceaf10d4fc658 #d,-,18,2452,2337,1135,114,0,246014,15252,2454,2338,1143,2452,2337,1133,90,100,0,500,2704;
@400000005e4ceaf10d58e260 #d,-,18,2451,2337,1141,115,0,245637,15229,2452,2339,1141,2451,2336,1132,90,100,0,500,2706;
@400000005e4ceaf30d65e2ec #d,-,18,2449,2338,1134,116,0,245063,15193,2451,2339,1141,2449,2336,1133,90,100,0,500,2706;
@400000005e4ceaf30d6e7253 #d,-,18,2449,2338,1142,116,0,244304,15146,2449,2340,1142,2449,2338,1134,90,100,0,500,2706;
@400000005e4ceaf50d7e0285 #d,-,18,2448,2335,1673,117,0,243912,15122,2449,2340,1673,2448,2335,1134,90,100,0,500,2706;
@400000005e4ceaf50d885b34 #d,-,18,3196,2336,1687,118,0,243932,15123,3196,2340,1766,2448,2335,1372,95,100,0,500,3346;
@400000005e4ceaf70d97e3f3 #d,-,18,4044,2337,2148,119,0,244761,15175,4044,2337,2353,3196,2334,1687,96,100,0,500,4180;
@400000005e4ceaf70da1f994 #d,-,18,4830,2336,1951,121,0,245462,15218,4830,2337,2150,4044,2334,1951,95,100,0,500,5038;
@400000005e4ceaf90db1b49d #d,-,18,4497,2336,1969,122,0,246253,15267,4830,2337,1970,4497,2333,1951,95,100,0,500,4685;
@400000005e4ceaf90dbb6962 #d,-,18,4429,2336,1951,123,0,246620,15290,4497,2337,2005,4429,2334,1857,96,100,0,500,4581;
@400000005e4ceafb0dca70ad #d,-,18,4499,2336,1958,124,0,247199,15326,4499,2336,1974,4429,2333,1951,96,100,0,500,4640;
@400000005e4ceafb0dd49acb #d,-,18,4496,2336,1960,126,0,247764,15361,4499,2336,1966,4496,2334,1955,97,100,0,500,4626;
@400000005e4ceafd0de4521b #d,-,18,4495,2336,1964,127,0,248515,15407,4496,2337,1968,4495,2334,1959,97,100,0,500,4630;
@400000005e4ceafd0dee9eae #d,-,18,4495,2336,1967,128,0,249071,15442,4495,2337,1970,4495,2334,1960,96,100,0,500,4640;
@400000005e4ceaff0dfe75a9 #d,-,18,4494,2336,1960,129,0,249430,15464,4495,2336,1967,4494,2334,1958,96,100,0,500,4635;
@400000005e4ceaff0e088b49 #d,-,18,4494,2336,1971,131,0,249972,15498,4494,2336,1972,4494,2334,1960,96,100,0,500,4638;
@400000005e4ceb010e17259d #d,-,18,4494,2336,1964,132,0,250507,15531,4494,2338,1971,4494,2334,1962,96,100,0,500,4645;
