@400000005e7daf4701799b8e #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e7daf472b6403eb #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e7dafa5359adb32 #d,-,18,2431,2354,1127,65,0,180708,11203,2431,2354,1136,2431,2351,1123,90,100,0,500,2701;
@400000005e7dafa735a8579c #d,-,18,2430,2353,1131,65,0,180644,11199,2431,2354,1137,2430,2352,1123,89,100,0,500,2704;
@400000005e7dafa735b102f3 #d,-,18,2430,2352,1132,66,0,180578,11195,2430,2353,1135,2430,2352,1125,89,100,0,500,2706;
@400000005e7dafa935bf1460 #d,-,18,2430,2352,1139,67,0,180512,11191,2430,2353,1139,2430,2351,1126,89,100,0,500,2704;
@400000005e7dafa935c847b0 #d,-,18,2581,2351,1366,67,0,180747,11206,2581,2352,1366,2430,2350,1139,91,100,0,500,2813;
@400000005e7dafab35d6c702 #d,-,18,2910,2349,1336,68,0,181065,11226,2910,2351,1366,2581,2349,1322,93,100,0,500,3126;
@400000005e7dafab35e00de2 #d,-,18,2966,2349,1341,69,0,181384,11245,2966,2350,1342,2910,2349,1334,93,100,0,500,3189;
@400000005e7dafad35edbd84 #d,-,18,2874,2350,1192,70,0,181470,11251,2966,2351,1341,2874,2349,1168,91,100,0,500,3130;
@400000005e7dafad35f66c96 #d,-,18,2555,2351,1175,71,0,181483,11251,2874,2352,1198,2555,2350,1166,90,100,0,500,2825;
@400000005e7dafaf3603eda7 #d,-,18,2553,2351,1173,71,0,181490,11252,2555,2351,1177,2553,2351,1171,91,100,0,500,2803;
@400000005e7dafaf360c9810 #d,-,18,2551,2351,1138,72,0,181477,11251,2553,2351,1176,2551,2348,1137,91,100,0,500,2803;
@400000005e7dafb136198c81 #d,-,18,2475,2350,1142,73,0,181425,11248,2551,2351,1152,2475,2350,1137,89,100,0,500,2756;
@400000005e7dafb136223f4c #d,-,18,2471,2350,1136,73,0,181370,11244,2475,2351,1144,2471,2350,1133,90,100,0,500,2723;
@400000005e7dafb3362fcf44 #d,-,18,2468,2354,1143,74,0,181319,11241,2471,2354,1143,2468,2350,1133,90,100,0,500,2720;
@400000005e7dafb336389d11 #d,-,18,2466,2354,1135,75,0,181270,11238,2468,2354,1144,2466,2353,1132,90,100,0,500,2725;
@400000005e7dafb5364b1be9 #d,-,18,2465,2354,1145,75,0,181225,11236,2466,2354,1146,2465,2353,1132,90,100,0,500,2723;
@400000005e7dafb53654c0d9 #d,-,18,2575,2352,1357,76,0,181404,11247,2575,2354,1357,2465,2352,1143,91,100,0,500,2801;
@400000005e7dafb736624d18 #d,-,18,2918,2352,1345,77,0,181707,11265,2918,2352,1375,2575,2351,1335,92,100,0,500,3142;
@400000005e7dafb7366bf207 #d,-,18,2992,2351,1336,78,0,181998,11283,2992,2353,1348,2918,2351,1336,93,100,0,500,3211;
@400000005e7dafb9367a9015 #d,-,18,2822,2350,1173,79,0,182010,11284,2992,2354,1336,2822,2350,1117,90,100,0,500,3107;
@400000005e7dafb936839c48 #d,-,18,2533,2351,1195,79,0,182041,11286,2822,2351,1207,2533,2350,1164,90,100,0,500,2784;
@400000005e7dafbb36913591 #d,-,18,2587,2350,1189,80,0,182073,11288,2587,2351,1197,2533,2350,1188,90,100,0,500,2851;
@400000005e7dafbb369ac603 #d,-,18,2587,2351,1134,81,0,182071,11288,2587,2351,1196,2587,2350,1133,90,100,0,500,2848;
@400000005e7dafbd36a7687f #d,-,18,2471,2352,1141,81,0,182016,11285,2587,2352,1144,2471,2351,1134,89,100,0,500,2756;
@400000005e7dafbd36afe457 #d,-,18,2467,2352,1135,82,0,181960,11281,2471,2352,1142,2467,2351,1135,90,100,0,500,2725;
@400000005e7dafbf36bbd6ce #d,-,18,2465,2352,1146,83,0,181910,11278,2467,2353,1147,2465,2351,1134,90,100,0,500,2720;
@400000005e7dafbf36c4e035 #d,-,18,2463,2353,1134,83,0,181856,11275,2465,2353,1146,2463,2351,1133,90,100,0,500,2727;
@400000005e7dafc136d30531 #d,-,18,2462,2351,1241,84,0,181839,11274,2463,2353,1241,2462,2351,1134,90,100,0,500,2725;
@400000005e7dafc136dc0902 #d,-,18,2657,2352,1336,85,0,182062,11287,2657,2352,1379,2462,2351,1241,92,100,0,500,2888;
@400000005e7dafc336ea6d52 #d,-,18,2992,2352,1347,86,0,182329,11304,2992,2352,1355,2657,2351,1334,93,100,0,500,3192;
@400000005e7dafc336f39841 #d,-,18,2991,2352,1221,87,0,182541,11317,2992,2353,1349,2991,2351,1221,93,100,0,500,3211;
@400000005e7dafc537019ac7 #d,-,18,2667,2351,1180,87,0,182519,11316,2991,2352,1221,2667,2350,1120,89,100,0,500,2969;
@400000005e7dafc5370aa340 #d,-,18,2575,2351,1195,88,0,182695,11327,2667,2352,1202,2575,2350,1180,91,100,0,500,2817;
@400000005e7dafc73717ed5f #d,-,18,2576,2352,1191,89,0,182577,11319,2576,2352,1195,2575,2351,1188,90,100,0,500,2846;
@400000005e7dafc737217ec0 #d,-,18,2578,2352,1141,89,0,182565,11319,2578,2353,1195,2576,2351,1131,90,100,0,500,2848;
@400000005e7dafc9372e213c #d,-,18,2461,2352,1140,90,0,182512,11315,2578,2352,1145,2461,2351,1137,89,100,0,500,2744;
@400000005e7dafc93736ace9 #d,-,18,2459,2349,1139,91,0,182601,11321,2461,2353,1143,2459,2349,1137,90,100,0,500,2727;
@400000005e7dafcb3744fcbc #d,-,18,2458,2352,1145,91,0,182553,11318,2459,2353,1149,2458,2349,1136,90,100,0,500,2725;
@400000005e7dafcb374e2c53 #d,-,18,2458,2352,1140,92,0,182364,11306,2458,2353,1145,2458,2351,1133,90,100,0,500,2730;
@400000005e7dafcd375cb318 #d,-,18,2458,2351,1286,93,0,182510,11315,2458,2353,1286,2458,2351,1140,90,100,0,500,2730;
@400000005e7dafcd3765bb91 #d,-,18,2691,2351,1329,94,0,182704,11327,2691,2352,1372,2458,2350,1243,92,100,0,500,2912;
@400000005e7dafcf37737b09 #d,-,18,2992,2350,1342,94,0,182935,11341,2992,2352,1347,2691,2350,1329,93,100,0,500,3204;
@400000005e7dafcf377d0408 #d,-,18,2990,2352,1159,95,0,182977,11344,2992,2352,1345,2990,2350,1159,93,100,0,500,3199;
@400000005e7dafd1378b5021 #d,-,18,2711,2351,1193,96,0,182994,11345,2990,2353,1219,2711,2350,1135,90,100,0,500,2988;
@400000005e7dafd137945d43 #d,-,18,2585,2351,1193,97,0,183015,11346,2711,2352,1197,2585,2350,1186,90,100,0,500,2848;
