@400000005e54d16139cb8850 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e54d162281cd404 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e54d1d8340f8f8c #d,-,18,3785,2351,1641,100,0,223759,13873,3785,2353,1687,3784,2350,1627,95,100,0,500,3960;
@400000005e54d1d8341aaae0 #d,-,18,3782,2353,1737,101,0,223939,13884,3785,2355,1743,3782,2351,1490,96,100,0,500,3931;
@400000005e54d1da342aeb18 #d,-,18,3723,2351,1679,102,0,224333,13908,3782,2353,1737,3723,2351,1625,95,100,0,500,3896;
@400000005e54d1da3434f1d1 #d,-,18,3785,2353,1654,103,0,224728,13933,3785,2353,1691,3723,2351,1629,95,100,0,500,3962;
@400000005e54d1dc34457c8b #d,-,18,3785,2352,1636,104,0,225121,13957,3785,2353,1690,3785,2351,1635,95,100,0,500,3957;
@400000005e54d1dc345012b1 #d,-,18,3785,2353,1642,105,0,225512,13981,3785,2353,1683,3785,2351,1636,95,100,0,500,3957;
@400000005e54d1de3460d45d #d,-,18,3786,2352,1665,106,0,225898,14005,3786,2353,1683,3785,2352,1637,95,100,0,500,3965;
@400000005e54d1de346b5b9c #d,-,18,3786,2351,1672,107,0,226272,14028,3786,2353,1681,3786,2351,1635,95,100,0,500,3957;
@400000005e54d1e0347c0157 #d,-,18,3786,2353,1674,108,0,226640,14051,3786,2353,1681,3786,2351,1638,95,100,0,500,3957;
@400000005e54d1e0348636a2 #d,-,18,3785,2352,1667,109,0,226998,14073,3786,2353,1696,3785,2352,1621,95,100,0,500,3950;
@400000005e54d1e234968e22 #d,-,18,3787,2350,1670,110,0,227360,14096,3787,2352,1681,3785,2350,1653,95,100,0,500,3972;
@400000005e54d1e234a0c36d #d,-,18,3787,2351,1664,112,0,227709,14118,3787,2351,1682,3787,2350,1639,95,100,0,500,3965;
@400000005e54d1e434b12708 #d,-,18,3788,2352,1669,113,0,228057,14139,3788,2352,1683,3787,2350,1641,95,100,0,500,3967;
@400000005e54d1e434bac750 #d,-,18,3790,2353,1682,114,0,228406,14161,3790,2354,1683,3788,2352,1655,95,100,0,500,3967;
@400000005e54d1e634cad095 #d,-,18,3792,2352,1686,115,0,228750,14182,3792,2354,1688,3790,2352,1644,95,100,0,500,3981;
@400000005e54d1e634d4ee97 #d,-,18,3794,2351,1689,116,0,229088,14203,3794,2353,1689,3792,2350,1647,95,100,0,500,3976;
@400000005e54d1e834e53ea4 #d,-,18,3795,2354,1679,117,0,229419,14224,3795,2354,1689,3794,2351,1642,95,100,0,500,3976;
@400000005e54d1e834ef0e6b #d,-,18,3796,2354,1661,118,0,229751,14244,3796,2354,1693,3795,2354,1656,95,100,0,500,3976;
@400000005e54d1ea34ff1f23 #d,-,18,3798,2353,1648,119,0,230074,14264,3798,2354,1686,3796,2353,1643,95,100,0,500,3983;
@400000005e54d1ea350925dd #d,-,18,3799,2352,1645,120,0,230395,14284,3799,2353,1690,3798,2352,1645,95,100,0,500,3976;
@400000005e54d1ec35185446 #d,-,18,3800,2352,1670,121,0,230713,14304,3800,2352,1690,3799,2351,1640,95,100,0,500,3974;
@400000005e54d1ec3522bcc9 #d,-,18,3800,2352,1674,122,0,231021,14323,3800,2353,1688,3800,2352,1635,95,100,0,500,3967;
@400000005e54d1ee3533663e #d,-,18,3800,2353,1676,123,0,231322,14342,3800,2353,1684,3800,2351,1641,95,100,0,500,3969;
@400000005e54d1ee353dd635 #d,-,18,3800,2353,1671,124,0,231622,14360,3800,2354,1690,3800,2353,1644,95,100,0,500,3974;
@400000005e54d1f0354e4144 #d,-,18,3800,2352,1669,125,0,231919,14378,3800,2354,1689,3800,2351,1644,95,100,0,500,3979;
@400000005e54d1f035590330 #d,-,18,3798,2351,1663,126,0,232193,14395,3800,2353,1726,3798,2351,1555,95,100,0,500,3969;
@400000005e54d1f235698de9 #d,-,18,3799,2354,1678,127,0,232480,14413,3799,2354,1688,3798,2351,1645,95,100,0,500,3960;
@400000005e54d1f235737c6c #d,-,18,3800,2354,1691,128,0,232929,14441,3800,2355,1692,3799,2354,1649,95,100,0,500,3974;
@400000005e54d1f43583474b #d,-,18,3801,2353,1682,129,0,233208,14458,3801,2354,1691,3800,2352,1641,95,100,0,500,3981;
@400000005e54d1f4358d5dda #d,-,18,3802,2353,1671,131,0,233482,14475,3802,2354,1689,3801,2352,1639,95,100,0,500,3974;
@400000005e54d1f6359d3c48 #d,-,18,3802,2352,1657,132,0,233591,14482,3802,2353,1687,3802,2352,1643,95,100,0,500,3976;
@400000005e54d1f635a7173c #d,-,18,3802,2354,1635,133,0,234018,14509,3802,2354,1685,3802,2351,1635,95,100,0,500,3976;
@400000005e54d1f835b701c5 #d,-,18,3802,2353,1638,134,0,234130,14516,3802,2355,1691,3802,2353,1635,95,100,0,500,3974;
@400000005e54d1f835c13e83 #d,-,18,3803,2353,1669,135,0,234394,14532,3803,2354,1699,3802,2352,1623,95,100,0,500,3974;
@400000005e54d1fa35d22393 #d,-,18,3803,2353,1680,136,0,234655,14548,3803,2354,1691,3803,2352,1646,95,100,0,500,3974;
@400000005e54d1fa35dc31c0 #d,-,18,3803,2352,1675,137,0,234909,14564,3803,2354,1694,3803,2352,1640,95,100,0,500,3972;
@400000005e54d1fc35ec90b3 #d,-,18,3803,2355,1669,138,0,235164,14580,3803,2356,1690,3803,2352,1651,95,100,0,500,3983;
@400000005e54d1fc35f68798 #d,-,18,3804,2355,1669,139,0,235411,14595,3804,2356,1688,3803,2354,1639,95,100,0,500,3976;
