@400000005e73256210bf9cd8 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e7325623ab25da9 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e7325b9092f9f4b #d,-,18,2717,2351,1169,68,0,209806,13008,2718,2351,1170,2717,2349,1167,98,100,0,501,2746;
@400000005e7325b9093a90b6 #d,-,18,2718,2349,1169,69,0,209631,12997,2718,2351,1170,2717,2348,1168,98,100,0,501,2751;
@400000005e7325bb094b269c #d,-,18,2718,2350,1169,69,0,209462,12986,2718,2351,1170,2718,2348,1168,98,100,0,501,2753;
@400000005e7325bb09558304 #d,-,18,2718,2351,1185,70,0,209301,12976,2718,2352,1185,2718,2349,1167,98,100,0,501,2751;
@400000005e7325bd0961b79b #d,-,18,2722,2349,1169,71,0,209392,12982,2722,2351,1201,2718,2349,1161,97,100,0,501,2781;
@400000005e7325bd096c9931 #d,-,18,2721,2351,1170,72,0,208997,12957,2722,2352,1170,2721,2349,1168,99,100,0,501,2748;
@400000005e7325bf097a3545 #d,-,18,2720,2350,1168,72,0,208839,12948,2721,2351,1170,2720,2349,1168,98,100,0,501,2751;
@400000005e7325bf0984bc84 #d,-,18,2720,2351,1169,73,0,208687,12938,2720,2352,1170,2720,2349,1168,98,100,0,501,2751;
@400000005e7325c109940e51 #d,-,18,2720,2351,1172,74,0,208538,12929,2720,2352,1172,2720,2349,1168,98,100,0,501,2751;
@400000005e7325c1099e8201 #d,-,18,2724,2352,1166,75,0,208412,12921,2724,2352,1200,2720,2350,1161,97,100,0,501,2780;
@400000005e7325c309a7063b #d,-,18,2722,2351,1167,75,0,208268,12912,2724,2352,1170,2722,2350,1166,99,100,0,501,2749;
@400000005e7325c309aaf232 #d,-,18,2722,2350,1250,76,0,208143,12904,2722,2352,1250,2722,2349,1167,98,100,0,501,2751;
@400000005e7325c509b2c1bf #d,-,18,3203,2349,1271,77,0,208567,12931,3203,2350,1601,2722,2347,1250,100,100,0,501,3203;
@400000005e7325c509b67f25 #d,-,18,3204,2349,1395,78,0,208870,12949,3204,2351,1597,3203,2346,1265,97,100,0,501,3278;
@400000005e7325c709be1406 #d,-,18,3681,2347,1250,79,0,209591,12994,3681,2349,1717,3204,2345,1250,99,100,0,501,3691;
@400000005e7325c709c3fc7d #d,-,18,3382,2347,1649,80,0,209755,13004,3681,2349,1649,3382,2345,1214,97,100,0,501,3465;
@400000005e7325c909ce4557 #d,-,18,3750,2347,1364,81,0,210138,13028,3750,2350,1725,3382,2345,1203,99,100,0,501,3774;
@400000005e7325c909d3f234 #d,-,18,3259,2346,1720,82,0,210778,13068,3750,2350,1720,3259,2346,1187,96,100,0,501,3374;
@400000005e7325cb09dba304 #d,-,18,3611,2346,1555,83,0,210908,13076,3611,2350,1725,3259,2344,1205,97,100,0,501,3709;
@400000005e7325cb09e0d6cf #d,-,18,3262,2350,1157,84,0,210991,13081,3611,2351,1585,3262,2346,1154,97,100,0,501,3337;
@400000005e7325cd09f0c8cc #d,-,18,2690,2348,1182,84,0,210836,13071,3262,2351,1182,2690,2348,1157,97,100,0,501,2749;
@400000005e7325cd09fb0deb #d,-,18,2694,2350,1164,85,0,210677,13061,2694,2350,1182,2690,2347,1161,97,100,0,501,2757;
@400000005e7325cf0a03cf9d #d,-,18,2695,2349,1166,86,0,210522,13052,2695,2351,1167,2694,2349,1161,98,100,0,501,2735;
@400000005e7325cf0a0cd816 #d,-,18,2696,2351,1164,87,0,210367,13042,2696,2351,1166,2695,2349,1161,98,100,0,501,2742;
@400000005e7325d10a157b0c #d,-,18,2699,2350,1159,87,0,210430,13046,2699,2352,1194,2696,2350,1159,98,100,0,501,2746;
@400000005e7325d10a209395 #d,-,18,2702,2351,1163,88,0,210087,13025,2702,2352,1165,2699,2350,1156,97,100,0,501,2760;
@400000005e7325d30a315098 #d,-,18,2703,2352,1164,89,0,209940,13016,2703,2352,1164,2702,2350,1162,98,100,0,501,2739;
@400000005e7325d30a3bb474 #d,-,18,2703,2349,1163,90,0,209986,13019,2703,2352,1164,2703,2349,1162,98,100,0,501,2741;
@400000005e7325d50a4af66b #d,-,18,2703,2351,1162,90,0,209656,12998,2703,2352,1164,2703,2349,1162,98,100,0,501,2739;
@400000005e7325d50a55305e #d,-,18,2705,2352,1172,91,0,209539,12991,2705,2352,1194,2703,2350,1162,98,100,0,501,2741;
@400000005e7325d70a643f1d #d,-,18,2707,2350,1163,92,0,209586,12994,2707,2352,1172,2705,2349,1156,97,100,0,501,2765;
@400000005e7325d70a6f3088 #d,-,18,2707,2351,1163,93,0,209268,12974,2707,2351,1164,2707,2349,1161,98,100,0,501,2741;
@400000005e7325d90a7b26b8 #d,-,18,2707,2349,1163,93,0,209137,12966,2707,2351,1164,2707,2348,1162,98,100,0,501,2739;
@400000005e7325d90a857f66 #d,-,18,2707,2352,1162,94,0,209185,12969,2707,2352,1163,2707,2349,1161,98,100,0,501,2737;
@400000005e7325db0a935d9a #d,-,18,2706,2350,1187,95,0,208899,12951,2707,2353,1194,2706,2350,1161,98,100,0,501,2737;
@400000005e7325db0a9e27e7 #d,-,18,2710,2350,1164,96,0,208772,12943,2710,2352,1187,2706,2349,1155,98,100,0,501,2765;
@400000005e7325dd0aac642b #d,-,18,2709,2350,1164,97,0,208649,12936,2710,2351,1165,2709,2348,1163,98,100,0,501,2741;
@400000005e7325dd0ab71288 #d,-,18,2709,2351,1163,97,0,208700,12939,2709,2352,1165,2709,2349,1162,98,100,0,501,2739;
@400000005e7325df0ac692e6 #d,-,18,2708,2350,1478,98,0,208519,12928,2709,2352,1478,2708,2348,1161,98,100,0,501,2739;
@400000005e7325df0ad13616 #d,-,18,3417,2348,1311,99,0,208818,12946,3417,2350,1618,2708,2347,1311,100,100,0,501,3417;
@400000005e7325e10ae15a5d #d,-,18,3356,2348,1684,100,0,209361,12980,3417,2349,1684,3356,2346,1296,98,100,0,501,3419;
@400000005e7325e10aebf9d3 #d,-,18,3630,2347,1550,101,0,209495,12988,3630,2350,1685,3356,2345,1244,98,100,0,501,3698;
@400000005e7325e30afc7871 #d,-,18,3314,2347,1702,102,0,209938,13016,3630,2349,1716,3314,2346,1319,97,100,0,501,3394;
@400000005e7325e30b07617a #d,-,18,3623,2345,1599,103,0,210383,13043,3623,2349,1702,3314,2344,1256,98,100,0,501,3693;
@400000005e7325e50b172c5a #d,-,18,3495,2346,1717,104,0,210670,13061,3623,2348,1722,3495,2344,1285,100,100,0,501,3495;
