@400000005e843b78088f0255 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e843b78327b00c0 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e843bc5004fc9c4 #d,-,18,2461,2373,1131,62,0,215951,13389,2464,2373,1138,2461,2373,1127,90,100,0,500,2734;
@400000005e843bc7005e9663 #d,-,18,2460,2372,1133,63,0,215145,13338,2461,2374,1138,2460,2372,1128,89,100,0,500,2734;
@400000005e843bc7006793af #d,-,18,2459,2371,1350,64,0,214712,13312,2460,2373,1350,2459,2371,1129,89,100,0,500,2734;
@400000005e843bc900755327 #d,-,18,3208,2370,1719,65,0,215830,13381,3208,2371,1925,2459,2369,1350,93,100,0,500,3417;
@400000005e843bc9007dded4 #d,-,18,3811,2371,1811,66,0,216250,13407,3811,2373,2075,3208,2369,1396,95,100,0,500,3972;
@400000005e843bcb008ca7b9 #d,-,18,3812,2374,1547,67,0,217363,13476,3812,2375,1929,3811,2370,1547,91,100,0,500,4173;
@400000005e843bcb00960a89 #d,-,18,4062,2372,1850,68,0,218020,13517,4062,2374,2130,3812,2371,1515,96,100,0,500,4213;
@400000005e843bcd00a294ce #d,-,18,3868,2375,1251,69,0,218475,13545,4062,2375,1901,3868,2371,1251,93,100,0,500,4121;
@400000005e843bcd00ab28dd #d,-,18,3006,2376,1140,70,0,217958,13513,3868,2377,1251,3006,2374,1084,87,100,0,500,3429;
@400000005e843bcf00b80d78 #d,-,18,2471,2375,1096,70,0,217467,13482,3006,2376,1155,2471,2374,1096,89,100,0,500,2758;
@400000005e843bcf00c0c3fd #d,-,18,2468,2377,1131,71,0,216980,13452,2471,2377,1151,2468,2374,1088,90,100,0,500,2727;
@400000005e843bd100cd333f #d,-,18,2465,2376,1136,72,0,216506,13423,2468,2378,1138,2465,2375,1130,89,100,0,500,2742;
@400000005e843bd100d62f9d #d,-,18,2464,2377,1135,72,0,216040,13394,2465,2378,1139,2464,2375,1130,90,100,0,500,2737;
@400000005e843bd300e8f095 #d,-,18,2462,2377,1132,73,0,215586,13366,2464,2378,1138,2462,2376,1129,89,100,0,500,2737;
@400000005e843bd300f5aa59 #d,-,18,2460,2374,1133,74,0,215141,13338,2462,2378,1136,2460,2374,1127,89,100,0,500,2734;
@400000005e843bd5010536d2 #d,-,18,3040,2372,1838,75,0,215719,13374,3040,2374,1880,2460,2370,1133,94,100,0,500,3204;
@400000005e843bd5010e6a23 #d,-,18,3571,2371,1547,76,0,216282,13409,3571,2374,1881,3040,2370,1388,91,100,0,500,3889;
@400000005e843bd701185994 #d,-,18,4024,2370,1849,77,0,217125,13461,4024,2371,2003,3571,2368,1519,97,100,0,500,4133;
@400000005e843bd7011d5b14 #d,-,18,3924,2370,2229,78,0,217765,13501,4024,2373,2293,3924,2367,1331,96,100,0,500,4083;
@400000005e843bd9012aa533 #d,-,18,3826,2373,1468,79,0,218528,13548,3924,2373,2229,3826,2370,1468,90,100,0,500,4237;
@400000005e843bd901342305 #d,-,18,3186,2373,1154,80,0,218099,13522,3826,2374,1468,3186,2373,1134,88,100,0,500,3595;
@400000005e843bdb01410b5a #d,-,18,2479,2374,1132,80,0,217670,13495,3186,2374,1154,2479,2373,1130,89,100,0,500,2756;
@400000005e843bdb0149c1df #d,-,18,2472,2376,1135,81,0,217212,13467,2479,2376,1166,2472,2374,1037,91,100,0,500,2708;
@400000005e843bdd01563983 #d,-,18,2468,2376,1131,82,0,216788,13440,2472,2376,1135,2468,2375,1124,90,100,0,500,2732;
@400000005e843bdd015f45b6 #d,-,18,2465,2376,1132,82,0,216372,13415,2468,2376,1135,2465,2375,1128,90,100,0,500,2730;
@400000005e843bdf01693527 #d,-,18,2463,2376,1130,83,0,215962,13389,2465,2376,1135,2463,2376,1129,90,100,0,500,2732;
@400000005e843bdf016e78c7 #d,-,18,2461,2377,1136,84,0,215564,13365,2463,2377,1136,2461,2376,1127,90,100,0,500,2734;
@400000005e843be1017b2670 #d,-,18,2809,2374,1569,85,0,215855,13383,2809,2377,1868,2461,2373,1129,94,100,0,500,2957;
@400000005e843be101838746 #d,-,18,3715,2373,1830,86,0,216423,13418,3715,2375,1889,2809,2372,1385,91,100,0,500,4040;
@400000005e843be30195711b #d,-,18,3559,2374,1379,87,0,216854,13444,3715,2375,1994,3559,2371,1376,93,100,0,500,3796;
@400000005e843be3019f732c #d,-,18,3932,2370,2028,88,0,217429,13480,3932,2374,2028,3559,2370,1361,97,100,0,500,4052;
@400000005e843be501a9048d #d,-,18,3657,2371,1784,89,0,217742,13500,3932,2374,2248,3657,2370,1349,93,100,0,500,3905;
