@400000005e69ea8f2d5b1157 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e69ea901baa0457 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e69eb4427c9789f #d,-,18,3098,2377,1406,146,0,211738,13127,3284,2378,1473,3098,2376,1371,91,100,0,500,3377;
@400000005e69eb4627d1adaf #d,-,18,3174,2375,1405,147,0,211708,13125,3174,2378,1408,3098,2375,1397,93,100,0,500,3386;
@400000005e69eb4627d65d3a #d,-,18,3173,2374,1413,148,0,211797,13131,3174,2376,1414,3173,2374,1399,93,100,0,500,3381;
@400000005e69eb4827de871e #d,-,18,3173,2375,1412,149,0,212002,13144,3173,2376,1413,3173,2374,1404,93,100,0,500,3391;
@400000005e69eb4827e316ff #d,-,18,3174,2374,1490,150,0,212136,13152,3174,2376,1623,3173,2373,1402,93,100,0,500,3396;
@400000005e69eb4a27ec566b #d,-,18,3180,2376,1423,151,0,212192,13155,3180,2377,1490,3174,2374,1230,92,100,0,500,3426;
@400000005e69eb4a27f1c4e2 #d,-,18,3178,2378,1403,152,0,212276,13161,3180,2378,1426,3178,2376,1400,93,100,0,500,3405;
@400000005e69eb4c27fa77ac #d,-,18,3178,2378,1407,153,0,212246,13159,3178,2378,1413,3178,2378,1402,93,100,0,500,3391;
@400000005e69eb4c27fff150 #d,-,18,3177,2376,1405,153,0,212329,13164,3178,2378,1410,3177,2376,1402,93,100,0,500,3391;
@400000005e69eb4e280e3e58 #d,-,18,3177,2376,1410,154,0,212410,13169,3177,2377,1410,3177,2375,1402,93,100,0,500,3384;
@400000005e69eb4e281746d1 #d,-,18,3288,2378,1201,155,0,212355,13166,3288,2378,1602,3177,2374,957,94,100,0,500,3474;
@400000005e69eb502825c17b #d,-,18,2373,2378,1133,156,0,212161,13154,3288,2379,1202,2373,2377,1101,85,100,0,500,2761;
