@400000005e7171e10d9d464f #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e7171e13794ca3a #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e71721e04e03ebe #d,-,18,2906,2395,1200,40,0,182595,11320,2906,2395,1342,2906,2392,1104,90,100,0,500,3208;
@400000005e71721e04e9a902 #d,-,18,2633,2394,1165,41,0,182632,11323,2906,2396,1213,2633,2394,1145,90,100,0,500,2898;
@400000005e71722004f90e5d #d,-,18,2527,2393,1159,42,0,182611,11321,2633,2394,1165,2527,2393,1155,89,100,0,500,2825;
@400000005e7172200502de24 #d,-,18,2522,2395,1130,43,0,182502,11315,2527,2396,1159,2522,2393,1122,90,100,0,500,2791;
@400000005e71722205121c62 #d,-,18,2457,2393,1282,43,0,182659,11324,2522,2395,1323,2457,2393,1127,89,100,0,500,2756;
@400000005e717222051b6341 #d,-,18,2908,2394,1348,44,0,183174,11356,2908,2395,1370,2457,2392,1267,93,100,0,500,3107;
@400000005e717224052b1e4b #d,-,18,2909,2393,1192,45,0,183349,11367,2909,2395,1349,2908,2393,1132,90,100,0,500,3216;
@400000005e7172240534afac #d,-,18,2639,2394,1165,46,0,183367,11368,2909,2395,1205,2639,2392,1146,90,100,0,500,2905;
@400000005e7172260544ffb9 #d,-,18,2525,2393,1154,46,0,183333,11366,2639,2395,1165,2525,2393,1152,89,100,0,500,2820;
@400000005e717226054f7723 #d,-,18,2520,2392,1134,47,0,183497,11376,2525,2394,1154,2520,2392,1118,90,100,0,500,2787;
@400000005e717228055fd34b #d,-,18,2459,2394,1272,48,0,183643,11385,2520,2394,1332,2459,2391,1128,89,100,0,500,2751;
@400000005e717228056996f7 #d,-,18,2940,2394,1349,49,0,183855,11399,2940,2394,1373,2459,2394,1269,93,100,0,500,3135;
@400000005e71722a057a678a #d,-,18,2872,2392,1193,49,0,183969,11406,2940,2395,1349,2872,2392,1130,90,100,0,500,3182;
@400000005e71722a058417a6 #d,-,18,2653,2392,1160,50,0,183983,11406,2872,2393,1211,2653,2392,1148,91,100,0,500,2915;
@400000005e71722c0594e0c6 #d,-,18,2525,2392,1150,51,0,183947,11404,2653,2393,1162,2525,2392,1150,89,100,0,500,2822;
@400000005e71722c059f0281 #d,-,18,2521,2393,1136,51,0,183845,11398,2525,2394,1150,2521,2392,1123,90,100,0,500,2791;
@400000005e71722e05aeb25e #d,-,18,2515,2391,1272,52,0,183993,11407,2521,2393,1330,2515,2391,1130,90,100,0,500,2765;
@400000005e71722e05b9260f #d,-,18,2960,2391,1353,53,0,184439,11435,2960,2392,1370,2515,2391,1271,93,100,0,500,3161;
@400000005e71723005c9b482 #d,-,18,2854,2393,1191,54,0,184524,11440,2960,2395,1353,2854,2391,1132,90,100,0,500,3154;
@400000005e71723005d40115 #d,-,18,2653,2392,1162,54,0,184525,11440,2854,2395,1211,2653,2392,1143,90,100,0,500,2924;
@400000005e71723205e4c67a #d,-,18,2529,2392,1133,55,0,184478,11437,2653,2394,1162,2529,2392,1133,89,100,0,500,2817;
@400000005e71723205eec88c #d,-,18,2523,2392,1132,56,0,184375,11431,2529,2392,1138,2523,2391,1124,90,100,0,500,2782;
@400000005e71723405fce9ce #d,-,18,2457,2391,1049,56,0,184141,11416,2523,2393,1135,2457,2391,1012,89,100,0,500,2756;
@400000005e7172340606d0dd #d,-,18,2300,2392,1121,57,0,184245,11423,2457,2393,1141,2300,2391,1049,87,100,0,500,2614;
@400000005e71723606155f16 #d,-,18,2423,2393,1122,58,0,184122,11415,2423,2393,1126,2300,2391,1114,89,100,0,500,2720;
@400000005e717236061f3eb2 #d,-,18,2423,2392,1119,58,0,183785,11394,2423,2393,1126,2423,2392,1115,88,100,0,500,2725;
@400000005e717238062e0c3f #d,-,18,2424,2391,1121,59,0,183670,11387,2424,2393,1123,2423,2390,1116,88,100,0,500,2725;
@400000005e71723806379cb1 #d,-,18,2424,2391,1119,60,0,183774,11394,2424,2392,1124,2424,2391,1116,88,100,0,500,2725;
@400000005e71723a06462bd9 #d,-,18,2425,2392,1120,61,0,183452,11374,2425,2393,1124,2424,2391,1115,88,100,0,500,2727;
@400000005e71723a064f8a00 #d,-,18,2425,2393,1121,61,0,183556,11380,2425,2394,1125,2425,2392,1117,88,100,0,500,2725;
@400000005e71723c065df5c4 #d,-,18,2425,2394,1116,62,0,183449,11373,2425,2394,1124,2425,2393,1116,88,100,0,500,2725;
@400000005e71723c0667d919 #d,-,18,2426,2394,1125,63,0,183347,11367,2426,2394,1125,2425,2393,1116,88,100,0,500,2727;
@400000005e71723e06766398 #d,-,18,2426,2393,1117,63,0,183244,11361,2426,2394,1125,2426,2393,1115,89,100,0,500,2725;
@400000005e71723e06804aa8 #d,-,18,2426,2393,1122,64,0,183144,11354,2426,2394,1123,2426,2392,1116,89,100,0,500,2725;
@400000005e717240068ee8b6 #d,-,18,2426,2393,1119,65,0,182846,11336,2426,2394,1123,2426,2392,1116,89,100,0,500,2723;
@400000005e7172400698ff44 #d,-,18,2426,2393,1121,65,0,182751,11330,2426,2393,1123,2426,2392,1118,89,100,0,500,2725;
@400000005e71724206a77da8 #d,-,18,2425,2394,1119,66,0,182657,11324,2426,2394,1123,2425,2393,1118,88,100,0,500,2725;
@400000005e71724206b14d6f #d,-,18,2425,2392,1120,67,0,182562,11318,2425,2394,1122,2425,2392,1117,88,100,0,500,2727;
@400000005e71724406c1bff1 #d,-,18,2425,2392,1122,67,0,182474,11313,2425,2393,1123,2425,2391,1118,88,100,0,500,2725;
@400000005e71724406ce27c1 #d,-,18,2424,2393,1129,68,0,182389,11308,2425,2394,1129,2424,2391,1116,88,100,0,500,2727;
@400000005e71724406d7f788 #d,-,18,2635,2392,1363,69,0,182676,11325,2635,2393,1370,2424,2392,1129,91,100,0,500,2879;
@400000005e71724606e95964 #d,-,18,2984,2393,1174,70,0,182921,11341,2984,2393,1363,2635,2392,1174,92,100,0,500,3211;
@400000005e71724606f2756c #d,-,18,2731,2392,1192,70,0,182996,11345,2984,2394,1222,2731,2392,1169,90,100,0,500,3026;
@400000005e7172480701a01b #d,-,18,2613,2390,1179,71,0,183015,11346,2731,2393,1192,2613,2390,1169,90,100,0,500,2898;
@400000005e717248070b01fc #d,-,18,2609,2390,1125,72,0,182993,11345,2613,2392,1179,2609,2390,1118,91,100,0,500,2862;
@400000005e71724a071a53c9 #d,-,18,2459,2390,1133,72,0,182920,11341,2609,2391,1133,2459,2389,1125,88,100,0,500,2765;
@400000005e71724a07239f50 #d,-,18,2637,2391,1366,73,0,183181,11357,2637,2391,1368,2459,2390,1133,91,100,0,500,2877;
@400000005e71724c0733b009 #d,-,18,2980,2390,1158,74,0,183414,11371,2980,2391,1366,2637,2389,1158,92,100,0,500,3211;
@400000005e71724c073cd0b9 #d,-,18,2745,2391,1195,75,0,183481,11375,2980,2392,1230,2745,2390,1145,90,100,0,500,3035;
@400000005e71724e074b52d6 #d,-,18,2589,2393,1161,75,0,183463,11374,2745,2393,1195,2589,2391,1146,89,100,0,500,2884;
@400000005e71724e075447c1 #d,-,18,2537,2393,1132,76,0,183418,11371,2589,2393,1162,2537,2393,1121,89,100,0,500,2822;
