@400000005e3139f71a2e39fd #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e3139f8087e7c44 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e313a70150bc52c #d,-,18,4475,2360,1726,111,0,242418,15029,4567,2360,2176,4475,2354,1726,96,99,0,500,4614;
@400000005e313a72151975bd #d,-,18,4391,2357,1913,113,0,243128,15073,4475,2360,2185,4391,2355,1726,98,99,0,500,4479;
@400000005e313a7215225e8d #d,-,18,4282,2357,2045,114,0,243560,15100,4391,2360,2161,4282,2356,1721,94,99,0,500,4524;
@400000005e313a741532024e #d,-,18,4573,2358,2024,115,0,244076,15132,4573,2360,2045,4282,2357,1724,96,99,0,500,4718;
@400000005e313a74153cc7f3 #d,-,18,4469,2359,1723,116,0,244675,15169,4573,2361,2175,4469,2356,1723,96,99,0,500,4612;
@400000005e313a76154a7c3e #d,-,18,4383,2360,1912,117,0,245342,15211,4469,2361,2176,4383,2357,1723,97,99,0,500,4476;
@400000005e313a76155359e0 #d,-,18,4284,2360,2101,119,0,246126,15259,4383,2361,2184,4284,2357,1722,94,99,0,500,4529;
@400000005e313a7815625156 #d,-,18,4585,2357,1970,120,0,246595,15288,4585,2361,2101,4284,2357,1728,97,99,0,500,4721;
@400000005e313a78156c6072 #d,-,18,4461,2361,1722,121,0,246983,15312,4585,2361,2184,4461,2357,1722,96,99,0,500,4607;
@400000005e313a7a1579d922 #d,-,18,4312,2359,1891,122,0,247603,15351,4461,2361,2145,4312,2358,1720,97,99,0,500,4431;
@400000005e313a7a1582e19b #d,-,18,4377,2357,2138,124,0,248158,15385,4377,2361,2191,4312,2356,1733,95,99,0,500,4604;
@400000005e313a7c1592011d #d,-,18,4579,2358,1923,125,0,248592,15412,4579,2360,2138,4377,2357,1723,97,99,0,500,4702;
@400000005e313a7c159c4195 #d,-,18,4455,2359,1735,126,0,249158,15447,4579,2360,2182,4455,2357,1735,96,99,0,500,4600;
@400000005e313a7e15a9bb33 #d,-,18,4324,2357,1902,127,0,249732,15483,4455,2359,2184,4324,2357,1723,97,99,0,500,4441;
@400000005e313a7e15b2c766 #d,-,18,4327,2358,2123,129,0,250253,15515,4327,2361,2173,4324,2357,1724,94,99,0,500,4593;
@400000005e313a8015c1d359 #d,-,18,4581,2359,1940,130,0,250666,15541,4581,2362,2123,4327,2358,1725,97,99,0,500,4704;
@400000005e313a8015cbfc88 #d,-,18,4461,2360,1733,131,0,251194,15574,4581,2361,2179,4461,2358,1733,96,99,0,500,4604;
@400000005e313a8215d9b0d3 #d,-,18,4345,2357,1910,132,0,251937,15620,4461,2360,2189,4345,2357,1730,97,99,0,500,4453;
@400000005e313a8215e27ea0 #d,-,18,4347,2359,2110,133,0,252254,15639,4347,2359,2198,4345,2357,1728,94,99,0,500,4602;
@400000005e313a8415f14785 #d,-,18,4593,2358,1959,135,0,252641,15663,4593,2359,2110,4347,2357,1731,97,99,0,500,4718;
@400000005e313a8415fb45dd #d,-,18,4471,2358,1736,136,0,253145,15695,4593,2360,2173,4471,2356,1736,97,99,0,500,4609;
@400000005e313a8616094fd6 #d,-,18,4341,2358,1909,137,0,253668,15727,4471,2359,2195,4341,2356,1731,97,99,0,500,4453;
@400000005e313a861612215d #d,-,18,4343,2357,2107,138,0,254140,15756,4343,2360,2192,4341,2356,1727,94,99,0,500,4602;
@400000005e313a8816211608 #d,-,18,4589,2359,1956,140,0,254503,15779,4589,2362,2107,4343,2357,1724,97,99,0,500,4716;
@400000005e313a88162a87be #d,-,18,4469,2360,1730,141,0,254978,15808,4589,2362,2192,4469,2358,1730,96,99,0,500,4612;
@400000005e313a8a163813fd #d,-,18,4318,2360,1893,142,0,255474,15839,4469,2361,2168,4318,2359,1725,97,99,0,500,4436;
@400000005e313a8a1640da57 #d,-,18,4393,2359,2132,143,0,255908,15866,4393,2362,2143,4318,2358,1738,95,99,0,500,4623;
@400000005e313a8c164fab9e #d,-,18,4595,2359,1877,145,0,256255,15887,4595,2362,2132,4393,2359,1733,97,99,0,500,4711;
@400000005e313a8c1659d113 #d,-,18,4465,2360,1751,146,0,256726,15917,4595,2363,2185,4465,2358,1751,96,99,0,500,4604;
@400000005e313a8e1667a41a #d,-,18,4314,2358,1898,147,0,257186,15945,4465,2361,2178,4314,2358,1727,97,99,0,500,4446;
@400000005e313a8e16706e2d #d,-,18,4395,2358,2134,148,0,257606,15971,4395,2362,2183,4314,2358,1729,94,99,0,500,4630;
@400000005e313a90167f1fca #d,-,18,4589,2361,1919,149,0,258100,16002,4589,2363,2134,4395,2358,1725,97,99,0,500,4706;
@400000005e313a901688ad71 #d,-,18,4467,2360,1740,151,0,258539,16029,4589,2362,2184,4467,2359,1740,96,99,0,500,4612;
@400000005e313a9216961ead #d,-,18,4333,2359,1908,152,0,258814,16046,4467,2361,2179,4333,2358,1727,97,99,0,500,4455;
@400000005e313a92169ee8c1 #d,-,18,4339,2359,2117,153,0,259218,16071,4339,2362,2183,4333,2358,1730,93,99,0,500,4619;
@400000005e313a9416ad6bcc #d,-,18,4593,2358,1945,154,0,259522,16090,4593,2361,2117,4339,2358,1726,97,99,0,500,4718;
@400000005e313a9416b75696 #d,-,18,4473,2361,1735,156,0,259934,16115,4593,2361,2192,4473,2357,1735,96,99,0,500,4619;
@400000005e313a9616c4fec5 #d,-,18,4355,2359,1914,157,0,260530,16152,4473,2362,2187,4355,2359,1728,97,99,0,500,4467;
@400000005e313a9616cdb549 #d,-,18,4355,2359,2104,158,0,260750,16166,4355,2363,2188,4355,2359,1726,94,99,0,500,4602;
@400000005e313a9816dc5711 #d,-,18,4601,2358,1985,159,0,261041,16184,4601,2361,2104,4355,2358,1728,97,99,0,499,4728;
@400000005e313a9816e6bf94 #d,-,18,4481,2361,1743,161,0,261432,16208,4601,2361,2131,4481,2358,1743,97,99,0,499,4614;
