@400000005e3139f71a2e39fd #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e3139f8087e7c44 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e313b7e21aef0eb #d,-,18,4575,2362,1935,405,2,270367,16762,4575,2363,2097,4397,2361,1716,97,99,0,500,4694;
@400000005e313b7e21b90a45 #d,-,18,4449,2363,1722,406,2,270498,16770,4575,2363,2160,4449,2361,1722,96,99,0,500,4588;
@400000005e313b8021c6b274 #d,-,18,4351,2362,1910,407,2,270642,16779,4449,2363,2161,4351,2360,1719,97,99,0,500,4462;
@400000005e313b8021cf715b #d,-,18,4347,2362,2029,409,2,270765,16787,4351,2363,2161,4347,2361,1721,95,99,0,500,4559;
@400000005e313b8221de887b #d,-,18,4563,2361,2039,410,2,270860,16793,4563,2365,2039,4347,2361,1717,96,99,0,500,4709;
@400000005e313b8221e92703 #d,-,18,4473,2362,1725,411,2,270977,16800,4563,2363,2165,4473,2361,1720,97,99,0,500,4604;
@400000005e313b8421f6bba3 #d,-,18,4393,2361,1896,412,2,271123,16809,4473,2363,2169,4393,2360,1725,97,99,0,500,4495;
@400000005e313b8421ff799b #d,-,18,4276,2362,1974,414,2,271245,16817,4393,2363,2169,4276,2361,1718,94,99,0,500,4505;
@400000005e313b86220e75b9 #d,-,18,4535,2361,2130,415,2,271346,16823,4535,2363,2130,4276,2361,1719,96,99,0,500,4706;
@400000005e313b862219996f #d,-,18,4531,2362,1755,416,2,271448,16829,4535,2363,2164,4531,2360,1717,98,99,0,500,4621;
@400000005e313b8822273de5 #d,-,18,4425,2364,1836,417,2,271592,16838,4531,2364,2165,4425,2362,1755,97,99,0,500,4533;
@400000005e313b88222fff96 #d,-,18,4260,2362,1928,418,2,271715,16846,4425,2365,2161,4260,2361,1718,95,99,0,500,4460;
@400000005e313b8a223fbaa0 #d,-,18,4491,2362,2156,420,2,271821,16852,4491,2364,2156,4260,2362,1718,95,99,0,500,4687;
@400000005e313b8a224a2324 #d,-,18,4497,2362,1805,421,2,271915,16858,4497,2364,2157,4491,2362,1719,96,99,0,500,4649;
Lost connection at /opt/powertools/bin/wattsup1 line 220.
	main::failure('Lost connection') called at /opt/powertools/bin/wattsup1 line 271
	main::recv_msg() called at /opt/powertools/bin/wattsup1 line 504
