@400000005e7324d82f4725e5 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e7324d91d991671 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e73252126e9a411 #d,-,18,2423,2360,1126,50,0,186776,11580,2423,2363,1133,2423,2360,1122,89,100,0,501,2706;
@400000005e73252126f23ea5 #d,-,18,2423,2362,1130,51,0,186598,11569,2423,2363,1134,2423,2360,1123,89,100,0,501,2704;
@400000005e73252326ffac28 #d,-,18,2423,2363,1128,51,0,186422,11558,2423,2363,1133,2423,2361,1125,89,100,0,501,2708;
@400000005e73252327085780 #d,-,18,2423,2363,1127,52,0,186507,11563,2423,2363,1133,2423,2361,1125,89,100,0,501,2708;
@400000005e732525271641cf #d,-,18,2423,2362,1131,53,0,186089,11537,2423,2363,1133,2423,2360,1124,89,100,0,501,2706;
@400000005e732525271edc63 #d,-,18,2423,2361,1123,53,0,185924,11527,2423,2362,1132,2423,2360,1123,89,100,0,501,2704;
@400000005e732527272c1f0f #d,-,18,2423,2362,1132,54,0,185764,11517,2423,2362,1132,2423,2360,1123,89,100,0,501,2706;
@400000005e7325272734c204 #d,-,18,2423,2362,1126,55,0,185609,11507,2423,2363,1132,2423,2360,1122,89,100,0,501,2704;
@400000005e732529274200f6 #d,-,18,2423,2361,1131,56,0,185458,11498,2423,2363,1132,2423,2360,1123,89,100,0,501,2706;
@400000005e732529274b0970 #d,-,18,2422,2362,1126,56,0,185307,11489,2423,2363,1131,2422,2361,1123,89,100,0,501,2701;
@400000005e73252b275b0699 #d,-,18,2422,2363,1129,57,0,185161,11480,2422,2363,1130,2422,2361,1124,89,100,0,501,2704;
@400000005e73252b276480b2 #d,-,18,2421,2361,1326,58,0,185272,11486,2422,2363,1375,2421,2359,1126,89,100,0,501,2704;
@400000005e73252d27744b91 #d,-,18,2992,2360,1401,58,0,185727,11515,2992,2362,1426,2421,2358,1305,94,100,0,501,3159;
@400000005e73252d277d8389 #d,-,18,2994,2360,1280,59,0,186012,11532,2994,2361,1403,2992,2358,1244,91,100,0,501,3261;
@400000005e73252f278d274b #d,-,18,2870,2358,1378,60,0,186166,11542,2994,2360,1378,2870,2358,1194,91,100,0,501,3123;
@400000005e73252f2797295c #d,-,18,2872,2358,1384,61,0,186583,11568,2872,2360,1421,2870,2358,1335,92,100,0,501,3102;
@400000005e73253127a69272 #d,-,18,3092,2358,1317,62,0,187060,11597,3092,2361,1403,2872,2357,1174,93,100,0,501,3320;
