@400000005e8ad2e42b286afe #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e8ad2e519792657 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e8ad34523ca3785 #d,-,18,3463,2358,1605,76,0,208860,12949,3463,2361,1872,2461,2357,1304,92,100,0,499,3749;
@400000005e8ad34723d8ecdc #d,-,18,3463,2359,1916,77,0,209441,12985,3463,2363,1959,3463,2358,1261,93,100,0,499,3697;
@400000005e8ad34723e2a55a #d,-,18,3462,2361,1329,78,0,209250,12973,3463,2364,1916,3462,2359,1180,94,100,0,499,3649;
@400000005e8ad34923f1efb3 #d,-,18,3333,2359,1281,79,0,209630,12997,3462,2363,1966,3333,2359,1281,92,100,0,499,3588;
@400000005e8ad34923fb713f #d,-,18,3212,2360,1357,80,0,210202,13032,3333,2362,1977,3212,2356,1211,92,100,0,499,3455;
@400000005e8ad34b24061af4 #d,-,18,3100,2359,1494,81,0,210322,13040,3212,2363,1864,3100,2358,1244,89,100,0,499,3481;
@400000005e8ad34b240fd372 #d,-,18,3469,2359,1974,82,0,210581,13056,3469,2362,1974,3100,2359,1233,93,100,0,499,3694;
@400000005e8ad34d241f6fc0 #d,-,18,3464,2362,1265,83,0,210631,13059,3469,2362,1974,3464,2358,1207,95,100,0,499,3621;
@400000005e8ad34d2428d1a2 #d,-,18,3331,2362,1310,84,0,211000,13082,3464,2362,2173,3331,2356,1265,92,100,0,499,3616;
@400000005e8ad34f24361caf #d,-,18,2757,2362,1103,84,0,210801,13069,3331,2363,1310,2757,2360,1059,86,100,0,499,3204;
@400000005e8ad34f243ee21b #d,-,18,2369,2360,1139,85,0,210290,13038,2757,2362,1154,2369,2358,1103,89,100,0,499,2649;
@400000005e8ad351244be660 #d,-,18,2374,2362,1130,86,0,209940,13016,2374,2362,1168,2369,2358,1046,87,100,0,499,2701;
@400000005e8ad35124546a9a #d,-,18,2467,2361,1133,86,0,209625,12996,2467,2363,1141,2374,2361,1130,90,100,0,499,2737;
@400000005e8ad35324613f61 #d,-,18,2464,2363,1135,87,0,209313,12977,2467,2364,1138,2464,2361,1132,90,100,0,499,2730;
@400000005e8ad353246a0200 #d,-,18,2463,2364,1136,88,0,209007,12958,2464,2365,1137,2463,2362,1132,90,100,0,499,2730;
@400000005e8ad355247728bc #d,-,18,2461,2363,1137,88,0,208707,12939,2463,2365,1137,2461,2362,1132,90,100,0,499,2732;
@400000005e8ad355247fa84d #d,-,18,2460,2363,1133,89,0,208411,12921,2461,2364,1139,2460,2362,1131,90,100,0,499,2730;
@400000005e8ad357248dbe62 #d,-,18,2459,2362,1137,90,0,208123,12903,2460,2364,1138,2459,2361,1132,90,100,0,499,2732;
@400000005e8ad3572496c233 #d,-,18,2464,2362,1449,91,0,208344,12917,2464,2362,1915,2459,2356,1134,89,100,0,499,2744;
@400000005e8ad35924a793b4 #d,-,18,3463,2361,1543,92,0,208733,12941,3463,2362,1899,2464,2358,1323,92,100,0,499,3756;
@400000005e8ad35924b1920c #d,-,18,3467,2362,1627,93,0,209106,12964,3467,2363,2015,3463,2357,1265,92,100,0,499,3742;
@400000005e8ad35b24c3f13a #d,-,18,3471,2361,1756,94,0,209443,12985,3471,2363,1982,3467,2357,1279,93,100,0,499,3709;
@400000005e8ad35b24ce7c33 #d,-,18,3467,2360,1825,94,0,209750,13004,3471,2363,1966,3467,2357,1287,94,100,0,499,3661;
@400000005e8ad35d24e4a7ae #d,-,18,3469,2360,1881,95,0,210245,13035,3469,2362,1989,3467,2357,1266,94,100,0,499,3678;
@400000005e8ad35d24f30756 #d,-,18,3545,2359,1833,96,0,210398,13044,3545,2363,2043,3469,2358,1289,92,100,0,499,3825;
@400000005e8ad35f2502ce7b #d,-,18,3539,2360,1851,97,0,210874,13074,3545,2361,1851,3539,2358,1327,92,100,0,499,3827;
@400000005e8ad35f250c11a1 #d,-,18,3455,2364,1129,98,0,210754,13066,3539,2364,1855,3455,2358,1129,93,100,0,499,3697;
@400000005e8ad36125192975 #d,-,18,2595,2361,1095,99,0,210468,13049,3455,2364,1158,2595,2359,1095,89,100,0,499,2905;
@400000005e8ad3612522035e #d,-,18,2457,2362,1141,100,0,210192,13031,2595,2364,1173,2457,2361,1080,89,100,0,499,2732;
@400000005e8ad363252f7fc7 #d,-,18,2455,2362,1134,100,0,209916,13014,2457,2363,1141,2455,2361,1132,89,100,0,499,2732;
@400000005e8ad36325381b4a #d,-,18,2455,2362,1136,101,0,209813,13008,2455,2364,1138,2455,2362,1133,89,100,0,499,2734;
@400000005e8ad3652545039f #d,-,18,2455,2362,1133,101,0,209379,12981,2455,2365,1138,2455,2362,1133,89,100,0,499,2734;
@400000005e8ad365254df889 #d,-,18,2455,2364,1139,102,0,209283,12975,2455,2364,1140,2455,2361,1132,89,100,0,499,2734;
@400000005e8ad367255b4ec4 #d,-,18,2454,2365,1133,103,0,208859,12949,2455,2365,1139,2454,2363,1133,89,100,0,499,2732;
@400000005e8ad3672563e68d #d,-,18,2454,2366,1136,103,0,208604,12933,2454,2366,1136,2454,2363,1131,89,100,0,499,2730;
@400000005e8ad3692572abb8 #d,-,18,2453,2362,1862,104,0,208663,12937,2454,2366,1862,2453,2360,1130,89,100,0,499,2730;
@400000005e8ad369257c24e2 #d,-,18,3240,2362,1561,105,0,208753,12942,3240,2365,1881,2453,2360,1316,93,100,0,499,3472;
@400000005e8ad36b258a70fb #d,-,18,3505,2363,1321,106,0,209030,12959,3505,2365,1889,3240,2361,1266,93,100,0,499,3732;
@400000005e8ad36b25933fb6 #d,-,18,3503,2364,1243,107,0,209491,12988,3505,2364,2011,3503,2359,1243,94,100,0,499,3704;
