@400000005e1d72a1179942a6 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e1d72a205e5f705 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e1d72e60ebeb0be #d,-,18,2686,2330,1161,49,0,192850,11956,2687,2331,1162,2686,2330,1159,98,100,0,500,2716;
@400000005e1d72e60ec9246f #d,-,18,2685,2332,1161,50,0,192842,11956,2686,2332,1162,2685,2330,1161,98,100,0,500,2714;
@400000005e1d72e80ed87daf #d,-,18,2685,2332,1162,51,0,192555,11938,2685,2332,1163,2685,2332,1160,98,100,0,500,2716;
@400000005e1d72e80ee30135 #d,-,18,2685,2329,1194,51,0,192578,11939,2685,2332,1194,2685,2328,1161,98,100,0,500,2716;
@400000005e1d72ea0ef354fb #d,-,18,2688,2328,1164,52,0,192849,11956,2688,2329,1194,2685,2327,1157,97,100,0,500,2744;
@400000005e1d72ea0efd6a9c #d,-,18,2688,2329,1161,53,0,192575,11939,2688,2329,1165,2688,2327,1161,98,100,0,500,2716;
@400000005e1d72ec0f0ab5a9 #d,-,18,2687,2330,1163,54,0,192571,11939,2688,2330,1164,2687,2328,1161,99,100,0,500,2714;
@400000005e1d72ec0f158edd #d,-,18,2687,2330,1162,54,0,192569,11939,2687,2331,1164,2687,2329,1161,98,100,0,500,2717;
@400000005e1d72ee0f2614ee #d,-,18,2686,2330,1194,55,0,192586,11940,2687,2331,1194,2686,2329,1162,98,100,0,500,2717;
@400000005e1d72ee0f3069e3 #d,-,18,2690,2328,1165,56,0,192591,11940,2690,2330,1195,2686,2328,1155,97,100,0,500,2748;
@400000005e1d72f00f406353 #d,-,18,2689,2331,1164,57,0,192590,11940,2690,2331,1165,2689,2328,1162,99,100,0,500,2714;
@400000005e1d72f00f4a88c9 #d,-,18,2688,2331,1162,57,0,192585,11940,2689,2332,1164,2688,2331,1161,98,100,0,500,2717;
@400000005e1d72f20f569376 #d,-,18,2688,2331,1163,58,0,192583,11940,2688,2332,1164,2688,2330,1161,98,100,0,500,2716;
@400000005e1d72f20f61591b #d,-,18,2687,2333,1185,59,0,192591,11940,2688,2333,1185,2687,2330,1161,98,100,0,500,2717;
@400000005e1d72f40f71897e #d,-,18,2691,2336,1161,60,0,192602,11941,2691,2336,1192,2687,2332,1153,97,100,0,500,2748;
@400000005e1d72f40f7bde73 #d,-,18,2689,2334,1160,60,0,192599,11941,2691,2336,1161,2689,2334,1159,99,100,0,500,2712;
@400000005e1d72f60f88d69d #d,-,18,2689,2335,1159,61,0,192598,11941,2689,2335,1162,2689,2333,1159,99,100,0,500,2716;
@400000005e1d72f60f930386 #d,-,18,2688,2336,1160,62,0,192824,11955,2689,2337,1161,2688,2335,1159,98,100,0,500,2717;
@400000005e1d72f80f9e71bd #d,-,18,2688,2334,1174,63,0,192596,11940,2688,2336,1174,2688,2333,1159,98,100,0,500,2717;
@400000005e1d72f80fa94af1 #d,-,18,2691,2336,1160,63,0,192837,11955,2691,2336,1192,2688,2333,1153,97,100,0,500,2746;
@400000005e1d72fa0fb7fc8e #d,-,18,2690,2336,1160,64,0,192608,11941,2691,2336,1162,2690,2335,1159,99,100,0,500,2714;
@400000005e1d72fa0fc20abb #d,-,18,2689,2335,1161,65,0,192607,11941,2690,2336,1162,2689,2334,1160,98,100,0,500,2717;
@400000005e1d72fc0fcd0b0d #d,-,18,2689,2338,1159,66,0,192605,11941,2689,2338,1161,2689,2335,1158,98,100,0,500,2717;
@400000005e1d72fc0fd803eb #d,-,18,2688,2335,1161,66,0,192604,11941,2689,2338,1161,2688,2335,1159,98,100,0,500,2717;
@400000005e1d72fe0fe853f8 #d,-,18,2691,2338,1156,67,0,192620,11942,2691,2338,1191,2688,2335,1151,98,100,0,500,2742;
@400000005e1d72fe0ff265df #d,-,18,2690,2336,1159,68,0,192616,11942,2691,2338,1160,2690,2336,1156,99,100,0,500,2717;
@400000005e1d73000ffe0dd4 #d,-,18,2689,2339,1159,69,0,192615,11942,2690,2339,1162,2689,2336,1158,99,100,0,500,2716;
@400000005e1d73001008a8a2 #d,-,18,2688,2338,1157,69,0,192611,11941,2689,2340,1159,2688,2338,1157,98,100,0,500,2716;
@400000005e1d730210148878 #d,-,18,2687,2339,1157,70,0,192607,11941,2688,2340,1159,2687,2338,1157,98,100,0,500,2716;
@400000005e1d7302101eadee #d,-,18,2690,2336,1153,71,0,192825,11955,2690,2340,1191,2687,2336,1151,98,100,0,500,2733;
@400000005e1d7304102b6b6b #d,-,18,2689,2338,1158,72,0,192619,11942,2690,2338,1160,2689,2336,1153,98,100,0,500,2723;
@400000005e1d7304103640e6 #d,-,18,2688,2338,1157,72,0,192812,11954,2689,2339,1161,2688,2337,1157,99,100,0,500,2714;
@400000005e1d73061046369c #d,-,18,2687,2336,1158,73,0,192611,11941,2688,2338,1159,2687,2336,1157,98,100,0,500,2716;
@400000005e1d730610507802 #d,-,18,2687,2338,1158,74,0,192609,11941,2687,2338,1163,2687,2335,1157,98,100,0,500,2716;
@400000005e1d730810602b99 #d,-,18,2688,2338,1153,75,0,192625,11942,2688,2338,1189,2687,2337,1153,98,100,0,500,2726;
@400000005e1d7308106a649d #d,-,18,2689,2335,1157,75,0,192620,11942,2689,2338,1159,2688,2335,1152,98,100,0,500,2730;
@400000005e1d730a1076d799 #d,-,18,2688,2336,1159,76,0,192616,11942,2689,2336,1160,2688,2335,1157,99,100,0,500,2714;
@400000005e1d730a1081bce9 #d,-,18,2687,2334,1159,77,0,192611,11941,2688,2336,1160,2687,2334,1158,98,100,0,500,2716;
@400000005e1d730c109125fe #d,-,18,2686,2336,1158,77,0,192607,11941,2687,2336,1160,2686,2333,1158,99,100,0,500,2712;
@400000005e1d730c109b7739 #d,-,18,2687,2334,1155,78,0,192624,11942,2687,2336,1191,2686,2334,1155,98,100,0,500,2721;
@400000005e1d730e10a69ea9 #d,-,18,2688,2336,1159,79,0,192798,11953,2688,2336,1162,2687,2333,1151,98,100,0,500,2733;
@400000005e1d730e10b1a2b4 #d,-,18,2688,2336,1158,80,0,192613,11942,2688,2337,1160,2688,2334,1157,99,100,0,500,2714;
@400000005e1d731010c1b45b #d,-,18,2687,2338,1158,80,0,192610,11941,2688,2338,1159,2687,2335,1157,99,100,0,500,2714;
@400000005e1d731010cc0861 #d,-,18,2686,2337,1157,81,0,192605,11941,2687,2338,1159,2686,2336,1157,98,100,0,500,2714;
@400000005e1d731210daf0f1 #d,-,18,2686,2339,1164,82,0,192622,11942,2686,2339,1190,2686,2336,1156,98,100,0,500,2714;
@400000005e1d731210e502d7 #d,-,18,2688,2337,1157,83,0,192615,11942,2688,2339,1164,2686,2337,1150,98,100,0,500,2739;
@400000005e1d731410fe8e97 #d,-,18,2687,2338,1167,83,0,192614,11942,2688,2338,1167,2687,2336,1157,98,100,0,500,2716;
@400000005e1d731411115abb #d,-,18,2688,2338,1041,84,0,192588,11940,2688,2338,1171,2687,2336,1041,98,100,0,500,2730;
@400000005e1d7316111d6cdc #d,-,18,2559,2337,1132,85,0,192534,11937,2688,2339,1266,2559,2336,999,98,100,0,500,2587;
@400000005e1d7316112651f2 #d,-,18,2662,2337,1186,86,0,192542,11937,2662,2337,1191,2559,2335,1132,97,100,0,500,2723;
@400000005e1d73181131f9e7 #d,-,18,2667,2335,1152,86,0,192533,11937,2667,2338,1186,2662,2335,1152,97,100,0,500,2739;
