@400000005e12e71b3ab2a471 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e12e71c29037f74 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e12e75431a6a951 #d,-,18,3078,2360,1309,41,0,197805,12263,3079,2361,1310,3078,2360,1308,99,98,0,500,3098;
@400000005e12e75431b0c753 #d,-,18,3077,2360,1340,42,0,198230,12290,3078,2360,1340,3077,2359,1308,99,98,0,500,3095;
@400000005e12e75631be1172 #d,-,18,3079,2361,1310,43,0,198624,12314,3079,2361,1341,3077,2360,1300,98,98,0,500,3128;
@400000005e12e75631c88611 #d,-,18,3078,2360,1309,44,0,198996,12337,3079,2362,1310,3078,2359,1308,99,98,0,500,3095;
@400000005e12e75831d8e14b #d,-,18,3076,2362,1303,45,0,199350,12359,3078,2362,1310,3076,2359,1303,99,98,0,500,3098;
@400000005e12e75831e31a4f #d,-,18,3075,2359,1309,46,0,200030,12401,3076,2362,1311,3075,2359,1303,99,98,0,500,3093;
@400000005e12e75a31eed5d3 #d,-,18,3074,2362,1336,46,0,200046,12402,3075,2362,1336,3074,2359,1307,99,98,0,500,3098;
@400000005e12e75a31f9e240 #d,-,18,3078,2361,1317,47,0,200390,12424,3078,2363,1341,3074,2361,1300,98,98,0,500,3130;
@400000005e12e75c32068c2f #d,-,18,3078,2362,1307,48,0,200718,12444,3078,2362,1321,3078,2360,1307,99,98,0,500,3107;
@400000005e12e75c3210e897 #d,-,18,3077,2361,1311,49,0,201030,12463,3078,2363,1314,3077,2361,1307,99,98,0,500,3102;
@400000005e12e75e3221a59b #d,-,18,3077,2360,1312,50,0,201333,12482,3077,2361,1314,3077,2359,1310,99,98,0,500,3107;
@400000005e12e75e322bd372 #d,-,18,3077,2362,1330,51,0,201635,12501,3077,2363,1330,3077,2360,1310,99,98,0,500,3105;
@400000005e12e7603238b80e #d,-,18,3081,2360,1313,52,0,201939,12520,3081,2362,1344,3077,2359,1303,98,98,0,500,3136;
@400000005e12e7603243a979 #d,-,18,3080,2359,1313,52,0,202214,12537,3081,2360,1314,3080,2358,1310,99,98,0,500,3102;
@400000005e12e7623252997c #d,-,18,3079,2362,1311,53,0,202482,12553,3080,2362,1313,3079,2358,1311,99,98,0,500,3105;
@400000005e12e762325d1859 #d,-,18,3079,2361,1311,54,0,202743,12570,3079,2362,1313,3079,2361,1311,99,98,0,500,3105;
@400000005e12e764326d9b9f #d,-,18,3078,2360,1318,55,0,202998,12585,3079,2361,1318,3078,2360,1311,99,98,0,500,3105;
@400000005e12e7643277b9a1 #d,-,18,3082,2363,1311,56,0,203553,12620,3082,2363,1346,3078,2360,1304,98,99,0,500,3134;
@400000005e12e766328336bf #d,-,18,3081,2363,1309,57,0,203789,12634,3082,2364,1313,3081,2361,1308,99,99,0,500,3105;
@400000005e12e766328e2382 #d,-,18,3081,2365,1310,57,0,203741,12632,3081,2366,1311,3081,2363,1309,99,98,0,500,3105;
@400000005e12e768329b9105 #d,-,18,3080,2365,1310,58,0,203965,12645,3081,2365,1311,3080,2363,1308,99,98,0,500,3104;
@400000005e12e76832a5af07 #d,-,18,3079,2363,1310,59,0,204185,12659,3080,2366,1311,3079,2362,1309,99,98,0,500,3105;
@400000005e12e76a32b52bab #d,-,18,3082,2365,1305,60,0,204421,12674,3082,2365,1341,3079,2363,1302,98,98,0,500,3128;
@400000005e12e76a32c0186e #d,-,18,3081,2364,1310,61,0,204632,12687,3082,2365,1312,3081,2363,1305,99,98,0,500,3109;
@400000005e12e76c32cb2c4f #d,-,18,3081,2365,1310,62,0,204834,12699,3081,2366,1311,3081,2363,1309,99,98,0,500,3104;
@400000005e12e76c32d54e0a #d,-,18,3080,2365,1309,63,0,205031,12711,3081,2366,1311,3080,2364,1308,99,98,0,500,3107;
@400000005e12e76e32e39a23 #d,-,18,3079,2366,1309,63,0,205222,12723,3080,2366,1310,3079,2365,1308,99,99,0,500,3104;
@400000005e12e76e32ee7357 #d,-,18,3082,2364,1301,64,0,205435,12736,3082,2366,1342,3079,2364,1300,98,99,0,500,3120;
@400000005e12e77032fc3777 #d,-,18,3082,2366,1309,65,0,205617,12748,3082,2366,1312,3082,2364,1301,98,99,0,500,3118;
@400000005e12e770330687c4 #d,-,18,3081,2366,1309,66,0,205797,12759,3082,2366,1311,3081,2364,1308,99,99,0,500,3105;
@400000005e12e77233169109 #d,-,18,3080,2364,1309,67,0,205969,12770,3081,2366,1310,3080,2364,1308,99,99,0,500,3104;
@400000005e12e7723320a798 #d,-,18,3079,2365,1309,68,0,206139,12780,3080,2366,1311,3079,2363,1308,99,99,0,500,3104;
@400000005e12e774333062a2 #d,-,18,3080,2365,1303,69,0,206329,12792,3080,2365,1340,3079,2363,1303,99,99,0,500,3111;
@400000005e12e774333b30a9 #d,-,18,3081,2364,1309,69,0,206488,12802,3081,2365,1310,3080,2363,1302,98,99,0,500,3123;
@400000005e12e776334a4f3d #d,-,18,3080,2366,1308,70,0,206646,12812,3081,2366,1312,3080,2363,1308,99,99,0,500,3104;
@400000005e12e7763354bf33 #d,-,18,3080,2364,1309,71,0,206803,12821,3080,2367,1310,3080,2364,1308,99,99,0,500,3105;
@400000005e12e778335f32e4 #d,-,18,3079,2366,1310,72,0,207183,12845,3080,2366,1311,3079,2363,1308,99,99,0,500,3104;
