@400000005e328b663529dd3f #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e328b672389b72c #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e328cec01c406b1 #d,-,18,4590,2367,1995,421,2,281742,17468,4590,2368,2000,4587,2365,1991,96,100,0,501,4756;
@400000005e328cec01ce24b3 #d,-,18,4594,2366,1997,422,2,281871,17476,4594,2368,2000,4590,2365,1993,96,100,0,501,4766;
@400000005e328cee01de74c0 #d,-,18,4597,2367,1994,424,2,281999,17483,4597,2367,1998,4594,2365,1990,96,100,0,501,4763;
@400000005e328cee01e90372 #d,-,18,4600,2365,1998,425,2,282127,17491,4600,2367,2000,4597,2365,1993,96,100,0,501,4761;
@400000005e328cf001f9a1bb #d,-,18,4602,2366,1998,426,2,282326,17504,4602,2368,2001,4600,2364,1993,96,100,0,501,4763;
@400000005e328cf002042540 #d,-,18,4604,2368,1997,427,2,282381,17507,4604,2368,2001,4602,2365,1990,96,100,0,501,4763;
@400000005e328cf2021497c3 #d,-,18,4607,2366,2007,429,2,282509,17515,4607,2368,2007,4604,2366,1995,96,100,0,501,4766;
@400000005e328cf2021f22bc #d,-,18,4610,2368,1998,430,2,282708,17527,4610,2369,2008,4607,2366,1997,96,100,0,501,4777;
@400000005e328cf4022f4bab #d,-,18,4613,2368,2003,431,2,282764,17531,4613,2368,2006,4610,2366,1997,96,100,0,501,4780;
@400000005e328cf402397120 #d,-,18,4615,2367,1995,433,2,282890,17539,4615,2369,2003,4613,2367,1995,96,100,0,501,4775;
@400000005e328cf60249d102 #d,-,18,4617,2367,2000,434,2,283014,17546,4617,2368,2004,4615,2365,1995,96,100,0,501,4773;
@400000005e328cf60254117a #d,-,18,4618,2366,2005,435,2,283140,17554,4618,2367,2005,4617,2365,1995,96,100,0,501,4773;
@400000005e328cf80264f59b #d,-,18,4620,2367,2004,436,2,283265,17562,4620,2368,2010,4618,2365,2000,96,100,0,501,4777;
@400000005e328cf8026eec80 #d,-,18,4624,2365,2009,438,2,283463,17574,4624,2368,2009,4620,2364,2002,96,100,0,501,4787;
@400000005e328cfa027ed709 #d,-,18,4626,2368,2003,439,2,283517,17578,4626,2368,2009,4624,2365,2002,96,100,0,501,4789;
@400000005e328cfa02896e1e #d,-,18,4628,2368,2007,440,2,283642,17585,4628,2369,2011,4626,2366,2002,96,100,0,501,4787;
@400000005e328cfc02992ce1 #d,-,18,4631,2369,2002,442,2,283766,17593,4631,2369,2008,4628,2366,1999,96,100,0,501,4789;
@400000005e328cfc02a356ff #d,-,18,4632,2367,2003,443,2,283959,17605,4632,2369,2009,4631,2366,2001,96,100,0,501,4787;
@400000005e328cfe02b3aac5 #d,-,18,4633,2367,2008,444,2,284012,17608,4633,2369,2011,4632,2366,2001,96,100,0,501,4787;
@400000005e328cfe02bdc7d9 #d,-,18,4635,2367,2002,445,2,284134,17616,4635,2369,2011,4633,2367,2001,96,100,0,501,4789;
@400000005e328d0002ce564c #d,-,18,4636,2369,2005,447,2,284326,17628,4636,2369,2007,4635,2366,1999,96,100,0,501,4787;
@400000005e328d0002d860bf #d,-,18,4636,2369,2003,448,2,284377,17631,4636,2369,2008,4636,2366,1999,96,100,0,501,4785;
@400000005e328d0202e8cbce #d,-,18,4637,2369,2003,449,2,284497,17638,4637,2370,2010,4636,2368,1999,96,100,0,501,4787;
@400000005e328d0202f31861 #d,-,18,4638,2365,2008,451,2,284686,17650,4638,2371,2008,4637,2365,1999,96,100,0,501,4785;
@400000005e328d0403035126 #d,-,18,4638,2366,2004,452,2,284735,17653,4638,2368,2011,4638,2365,2000,96,100,0,501,4785;
@400000005e328d04030db8bb #d,-,18,4639,2367,2006,453,2,284922,17665,4639,2369,2008,4638,2366,2001,97,100,0,501,4782;
@400000005e328d06031df539 #d,-,18,4638,2366,2003,454,2,284970,17668,4639,2368,2008,4638,2366,2001,96,100,0,501,4785;
@400000005e328d0603286ca3 #d,-,18,4639,2365,2011,456,2,285087,17675,4639,2368,2012,4638,2364,2002,97,100,0,501,4782;
@400000005e328d0803390ea5 #d,-,18,4639,2365,2002,457,2,285203,17682,4639,2367,2012,4639,2364,2001,96,100,0,501,4785;
@400000005e328d0803437ae2 #d,-,18,4639,2365,2008,458,2,285319,17689,4639,2366,2010,4639,2364,2002,96,100,0,501,4785;
@400000005e328d0a0353caef #d,-,18,4639,2365,2008,460,2,285434,17696,4639,2366,2012,4639,2364,2003,97,100,0,501,4782;
@400000005e328d0a035ddcd6 #d,-,18,4640,2364,2005,461,2,285550,17704,4640,2367,2011,4639,2364,2003,96,100,0,501,4789;
Lost connection at /opt/powertools/bin/wattsup1 line 220.
	main::failure('Lost connection') called at /opt/powertools/bin/wattsup1 line 271
	main::recv_msg() called at /opt/powertools/bin/wattsup1 line 504
