@400000005e328b663529dd3f #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e328b672389b72c #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e328b9f2c938f9d #d,-,18,4579,2365,1988,48,0,223632,13865,4579,2365,1991,4576,2362,1984,96,100,0,501,4737;
@400000005e328ba12ca48393 #d,-,18,4581,2362,1990,49,0,225508,13981,4581,2365,1990,4579,2362,1985,96,100,0,501,4744;
@400000005e328ba12caee76f #d,-,18,4583,2364,1985,50,0,227313,14093,4583,2364,1990,4581,2362,1983,96,100,0,501,4740;
@400000005e328ba32cbfbf75 #d,-,18,4584,2364,1986,51,0,229053,14201,4584,2364,1988,4583,2362,1984,96,100,0,501,4735;
@400000005e328ba32cca1823 #d,-,18,4585,2363,1993,53,0,230747,14306,4585,2364,1993,4584,2361,1985,96,100,0,501,4737;
@400000005e328ba52cdaa2dc #d,-,18,4586,2360,1990,54,0,232768,14431,4586,2363,1997,4585,2360,1986,96,100,0,501,4744;
@400000005e328ba52ce57fca #d,-,18,4589,2362,1998,55,0,233988,14507,4589,2363,2000,4586,2359,1990,96,100,0,501,4744;
@400000005e328ba72cf6e91a #d,-,18,4592,2363,1993,57,0,235541,14603,4592,2364,1999,4589,2361,1993,96,100,0,501,4761;
@400000005e328ba72d0217fc #d,-,18,4594,2361,1999,58,0,237041,14696,4594,2364,1999,4592,2361,1992,96,100,0,501,4754;
@400000005e328ba92d133f2c #d,-,18,4597,2360,1998,59,0,238502,14787,4597,2362,2000,4594,2360,1996,96,100,0,501,4761;
@400000005e328ba92d1e088b #d,-,18,4599,2359,1993,60,0,240281,14897,4599,2362,2002,4597,2359,1992,96,100,0,501,4756;
@400000005e328bab2d2ef066 #d,-,18,4602,2360,2004,62,0,241301,14960,4602,2361,2004,4599,2359,1993,96,100,0,501,4758;
@400000005e328bab2d39a725 #d,-,18,4606,2359,2005,63,0,242653,15044,4606,2361,2009,4602,2358,2004,96,100,0,501,4775;
@400000005e328bad2d4ad981 #d,-,18,4610,2361,2007,64,0,243968,15126,4610,2361,2013,4606,2358,2003,96,100,0,501,4780;
@400000005e328bad2d55b2b6 #d,-,18,4612,2361,2005,66,0,245240,15204,4612,2364,2007,4610,2361,2000,96,100,0,501,4775;
@400000005e328baf2d668702 #d,-,18,4615,2362,2003,67,0,246477,15281,4615,2364,2007,4612,2361,2001,96,100,0,501,4777;
@400000005e328baf2d71258a #d,-,18,4618,2363,2005,68,0,248027,15377,4618,2364,2005,4615,2361,2000,96,100,0,501,4777;
@400000005e328bb12d82c5cc #d,-,18,4620,2362,2002,69,0,248853,15428,4620,2364,2006,4618,2362,2001,96,100,0,501,4780;
@400000005e328bb12d8d83fe #d,-,18,4621,2362,2003,71,0,249987,15499,4621,2364,2007,4620,2362,1999,96,100,0,501,4773;
@400000005e328bb32d9e2158 #d,-,18,4622,2364,2005,72,0,251097,15568,4622,2364,2007,4621,2362,2001,96,100,0,501,4775;
@400000005e328bb32da87a06 #d,-,18,4624,2364,2004,73,0,252176,15634,4624,2365,2009,4622,2362,1999,96,100,0,501,4780;
@400000005e328bb52db9520c #d,-,18,4625,2362,2001,75,0,253227,15700,4625,2364,2008,4624,2362,2000,96,100,0,501,4775;
@400000005e328bb52dc408cb #d,-,18,4626,2364,2000,76,0,254251,15763,4626,2366,2005,4625,2362,1999,96,100,0,501,4775;
@400000005e328bb72dd53ee1 #d,-,18,4627,2367,1999,77,0,255245,15825,4627,2367,2004,4626,2363,1999,96,100,0,501,4775;
@400000005e328bb72ddfaed8 #d,-,18,4627,2368,2004,78,0,256221,15885,4627,2368,2006,4627,2364,1999,96,100,0,501,4777;
@400000005e328bb92df0215a #d,-,18,4630,2368,2009,80,0,257186,15945,4630,2368,2009,4627,2366,2004,96,100,0,501,4787;
@400000005e328bb92dfacbfe #d,-,18,4633,2368,2003,81,0,258126,16003,4633,2368,2012,4630,2366,2003,96,100,0,501,4794;
