@400000005e5e06ef1ed98db7 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e5e06f00d371663 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e5e074617f5ab2c #d,-,18,4521,2385,1950,81,0,249217,15451,4521,2386,1950,4518,2384,1941,96,100,0,499,4697;
@400000005e5e074617ffd45b #d,-,18,4522,2386,1943,82,0,250115,15507,4522,2386,1952,4521,2384,1939,96,100,0,499,4692;
@400000005e5e07481810d37f #d,-,18,4524,2385,1946,83,0,250992,15561,4524,2386,1949,4522,2384,1938,96,100,0,499,4694;
@400000005e5e0748181b6e4d #d,-,18,4526,2385,1943,85,0,251852,15614,4526,2386,1952,4524,2384,1938,96,100,0,499,4692;
@400000005e5e074a182b7c3a #d,-,18,4528,2383,1946,86,0,252979,15684,4528,2386,1952,4526,2381,1940,96,100,0,499,4699;
@400000005e5e074a1835c513 #d,-,18,4530,2382,1948,87,0,253514,15717,4530,2383,1953,4528,2380,1939,96,100,0,499,4690;
@400000005e5e074c184618da #d,-,18,4531,2383,1946,88,0,254320,15767,4531,2385,1955,4530,2381,1940,96,100,0,499,4699;
@400000005e5e074c1850bb1c #d,-,18,4532,2386,1944,90,0,255384,15833,4532,2386,1954,4531,2383,1940,96,100,0,499,4694;
@400000005e5e074e1861ca14 #d,-,18,4534,2386,1947,91,0,255876,15864,4534,2386,1955,4532,2383,1942,96,100,0,499,4702;
@400000005e5e074e186c0f34 #d,-,18,4534,2385,1946,92,0,256628,15910,4534,2386,1953,4534,2384,1939,96,100,0,499,4697;
@400000005e5e0750187ca160 #d,-,18,4535,2384,1951,93,0,257367,15956,4535,2386,1952,4534,2383,1941,96,100,0,499,4699;
@400000005e5e07501886f29c #d,-,18,4536,2387,1944,95,0,258086,16001,4536,2387,1952,4535,2384,1940,96,100,0,499,4697;
@400000005e5e07521898054e #d,-,18,4536,2385,1949,96,0,258795,16045,4536,2387,1951,4536,2384,1943,96,100,0,499,4702;
@400000005e5e075218a2a01c #d,-,18,4537,2388,1942,97,0,259750,16104,4537,2388,1953,4536,2385,1939,96,100,0,499,4697;
@400000005e5e075418b387f7 #d,-,18,4538,2385,1957,98,0,260168,16130,4538,2388,1958,4537,2385,1941,96,100,0,499,4702;
@400000005e5e075418be4270 #d,-,18,4540,2386,1951,100,0,260844,16172,4540,2387,1961,4538,2385,1951,96,100,0,499,4711;
@400000005e5e075618cf1f1e #d,-,18,4542,2387,1952,101,0,261508,16213,4542,2387,1958,4540,2385,1947,96,100,0,499,4716;
@400000005e5e075618da037f #d,-,18,4544,2384,1953,102,0,262156,16253,4544,2387,1955,4542,2383,1949,96,100,0,499,4713;
@400000005e5e075818eae7a0 #d,-,18,4546,2386,1953,103,0,262795,16293,4546,2386,1958,4544,2383,1949,96,100,0,499,4713;
@400000005e5e075818f57388 #d,-,18,4547,2384,1955,105,0,263420,16332,4547,2387,1956,4546,2384,1947,96,100,0,499,4713;
@400000005e5e075a1907363f #d,-,18,4548,2385,1952,106,0,264285,16385,4548,2386,1957,4547,2384,1950,96,100,0,499,4713;
@400000005e5e075a1911ff9f #d,-,18,4550,2383,1952,107,0,264632,16407,4550,2385,1956,4548,2382,1949,96,100,0,499,4713;
@400000005e5e075c192341d0 #d,-,18,4550,2384,1955,108,0,265224,16443,4550,2385,1958,4550,2383,1950,96,100,0,499,4711;
@400000005e5e075c192df7a1 #d,-,18,4551,2383,1954,110,0,265801,16479,4551,2385,1961,4550,2383,1948,96,100,0,499,4713;
