@400000005e81963533d3752b #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e8196362223c746 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e81967e2b55955d #d,-,18,2440,2399,1125,48,0,180373,11183,2441,2399,1127,2440,2398,1120,89,100,0,500,2737;
@400000005e81967e2b5e287d #d,-,18,2440,2398,1126,49,0,180301,11178,2440,2399,1126,2440,2398,1121,89,100,0,500,2739;
@400000005e8196802b6aed6e #d,-,18,2442,2399,1121,50,0,180246,11175,2442,2400,1135,2440,2398,1121,88,100,0,500,2746;
@400000005e8196802b73c757 #d,-,18,2442,2399,1122,50,0,179929,11155,2442,2400,1124,2442,2399,1119,88,100,0,500,2744;
@400000005e8196822b80fa2d #d,-,18,2442,2399,1124,51,0,179865,11151,2442,2399,1125,2442,2398,1120,89,100,0,500,2737;
@400000005e8196822b89db89 #d,-,18,2442,2399,1122,52,0,179803,11147,2442,2400,1124,2442,2398,1120,89,100,0,500,2739;
@400000005e8196842b97938e #d,-,18,2442,2399,1123,52,0,179979,11158,2442,2400,1124,2442,2399,1120,89,100,0,500,2739;
@400000005e8196842ba03a3d #d,-,18,2442,2400,1130,53,0,179928,11155,2442,2401,1133,2442,2398,1122,89,100,0,500,2742;
@400000005e8196862bae0217 #d,-,18,2444,2400,1115,54,0,179867,11151,2444,2401,1130,2442,2400,1115,88,100,0,500,2756;
@400000005e8196862bb7cd35 #d,-,18,2442,2400,1116,54,0,179795,11147,2444,2401,1123,2442,2400,1113,89,100,0,500,2732;
@400000005e8196882bc6b97e #d,-,18,2525,2401,1302,55,0,179763,11145,2525,2401,1302,2442,2399,1116,90,100,0,500,2791;
@400000005e8196882bd023c2 #d,-,18,2803,2401,1277,56,0,180069,11164,2803,2401,1302,2525,2400,1262,91,100,0,500,3050;
@400000005e81968a2bdf336f #d,-,18,2854,2399,1278,57,0,180370,11182,2854,2401,1280,2803,2398,1274,91,100,0,500,3107;
@400000005e81968a2be87a4e #d,-,18,2854,2398,1277,58,0,180667,11201,2854,2400,1281,2854,2398,1277,91,100,0,500,3111;
@400000005e81968c2bf5b0de #d,-,18,2854,2398,1095,58,0,180864,11213,2854,2399,1279,2854,2397,1095,91,100,0,500,3111;
