@400000005e255cfb0f208b75 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e255cfb390a33f8 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e255d7e09768040 #d,-,18,2551,2360,1177,131,0,265506,16461,2902,2361,1182,2551,2359,1160,91,100,0,500,2798;
@400000005e255d7e097fbfac #d,-,18,2551,2360,1171,132,0,264871,16422,2551,2361,1177,2551,2359,1170,90,100,0,500,2815;
@400000005e255d80098ea393 #d,-,18,2552,2361,1175,132,0,264246,16383,2552,2361,1175,2551,2359,1169,90,100,0,500,2813;
@400000005e255d800998735a #d,-,18,2552,2361,1172,133,0,263627,16344,2552,2361,1179,2552,2360,1169,90,100,0,500,2815;
@400000005e255d8209a6660b #d,-,18,2552,2361,1061,134,0,262964,16303,2552,2361,1176,2552,2360,1056,90,100,0,500,2808;
@400000005e255d8209af2049 #d,-,18,2391,2362,1160,134,0,262323,16264,2552,2362,1178,2391,2360,1061,89,100,0,500,2666;
@400000005e255d8409bc4bac #d,-,18,2505,2361,1146,135,0,261702,16225,2505,2362,1161,2391,2361,1146,90,100,0,500,2775;
@400000005e255d8409c54451 #d,-,18,2503,2361,1147,136,0,261088,16187,2505,2362,1153,2503,2361,1141,90,100,0,500,2756;
@400000005e255d8609d2ccd6 #d,-,18,2500,2361,1141,136,0,260478,16149,2503,2361,1148,2500,2361,1140,91,100,0,500,2746;
@400000005e255d8609db5ff6 #d,-,18,2497,2362,1142,137,0,259870,16111,2500,2362,1143,2497,2361,1135,91,100,0,500,2739;
@400000005e255d8809e83d1e #d,-,18,2493,2362,1141,138,0,259273,16074,2497,2362,1145,2493,2361,1137,91,100,0,500,2732;
@400000005e255d8809f19019 #d,-,18,2490,2362,1141,139,0,258686,16038,2493,2362,1144,2490,2362,1138,90,100,0,500,2737;
@400000005e255d8a09fef181 #d,-,18,2488,2362,1142,139,0,258108,16002,2490,2363,1147,2488,2362,1136,90,100,0,500,2742;
@400000005e255d8a0a079476 #d,-,18,2485,2362,1135,140,0,257530,15966,2488,2363,1142,2485,2362,1134,90,100,0,500,2737;
@400000005e255d8c0a1488e7 #d,-,18,2482,2362,1135,141,0,256959,15931,2485,2363,1138,2482,2361,1130,91,100,0,500,2727;
@400000005e255d8c0a1d8633 #d,-,18,2478,2363,1132,141,0,256392,15896,2482,2363,1136,2478,2362,1127,91,100,0,500,2718;
@400000005e255d8e0a2b5cf4 #d,-,18,2474,2362,1131,142,0,255832,15861,2478,2363,1136,2474,2362,1128,91,100,0,500,2718;
@400000005e255d8e0a340c05 #d,-,18,2471,2361,1132,143,0,255286,15827,2474,2362,1151,2471,2361,1124,91,100,0,500,2715;
@400000005e255d900a4169b3 #d,-,18,2469,2362,1132,143,0,254742,15794,2471,2362,1135,2469,2361,1127,90,100,0,500,2725;
@400000005e255d900a4a17d5 #d,-,18,2465,2361,1128,144,0,254199,15760,2469,2363,1132,2465,2361,1122,91,100,0,500,2708;
@400000005e255d920a56ba51 #d,-,18,2462,2360,1133,145,0,253666,15727,2465,2362,1133,2462,2360,1128,90,100,0,500,2708;
@400000005e255d920a5feda2 #d,-,18,2459,2360,1126,145,0,253140,15694,2462,2361,1142,2459,2360,1126,90,100,0,500,2711;
@400000005e255d940a6d43dc #d,-,18,2457,2359,1133,146,0,252621,15662,2459,2361,1135,2457,2359,1126,90,100,0,500,2718;
@400000005e255d940a75f6a7 #d,-,18,2455,2357,1131,147,0,252110,15630,2457,2359,1135,2455,2356,1130,90,100,0,500,2713;
@400000005e255d960a8309d3 #d,-,18,2454,2360,1132,147,0,251605,15599,2455,2360,1134,2454,2357,1127,90,100,0,500,2713;
@400000005e255d960a8bfb04 #d,-,18,2452,2360,1123,148,0,251103,15568,2454,2361,1132,2452,2359,1123,90,100,0,500,2708;
@400000005e255d980a997fd0 #d,-,18,2449,2360,1131,149,0,250606,15537,2452,2360,1132,2449,2358,1122,90,100,0,500,2704;
@400000005e255d980aa21798 #d,-,18,2446,2360,1123,149,0,250116,15507,2449,2362,1131,2446,2360,1123,90,100,0,500,2704;
@400000005e255d9a0aaefc34 #d,-,18,2445,2361,1128,150,0,249631,15477,2446,2361,1129,2445,2360,1121,90,100,0,500,2701;
@400000005e255d9a0ab7fd3a #d,-,18,2442,2362,1127,151,0,249153,15447,2445,2362,1130,2442,2361,1121,90,100,0,500,2697;
@400000005e255d9c0ac54b13 #d,-,18,2441,2360,1124,151,0,248678,15418,2442,2362,1128,2441,2360,1120,90,100,0,500,2704;
@400000005e255d9c0acde695 #d,-,18,2438,2360,1129,152,0,248212,15389,2441,2361,1130,2438,2359,1122,90,100,0,500,2697;
@400000005e255d9e0adadb05 #d,-,18,2437,2360,1126,153,0,247748,15360,2438,2362,1129,2437,2360,1122,90,100,0,500,2701;
@400000005e255d9e0ae3e37f #d,-,18,2435,2361,1121,153,0,247288,15331,2437,2361,1128,2435,2358,1120,90,100,0,500,2697;
@400000005e255da00af1f8a5 #d,-,18,2432,2359,1118,154,0,246828,15303,2435,2361,1121,2432,2359,1113,90,100,0,500,2689;
@400000005e255da00afac672 #d,-,18,2429,2360,1119,155,0,246383,15275,2432,2360,1141,2429,2358,1115,90,100,0,500,2680;
@400000005e255da20b07f949 #d,-,18,2429,2359,1119,155,0,246087,15257,2429,2360,1126,2429,2359,1115,89,100,0,500,2699;
@400000005e255da20b10c716 #d,-,18,2427,2357,1120,156,0,245645,15230,2429,2359,1122,2427,2357,1117,90,100,0,500,2682;
@400000005e255da40b1eadab #d,-,18,2425,2357,1120,157,0,245062,15193,2427,2357,1124,2425,2356,1119,90,100,0,500,2685;
@400000005e255da40b276430 #d,-,18,2423,2359,1126,157,0,244639,15167,2425,2359,1137,2423,2356,1117,90,100,0,500,2685;
@400000005e255da60b34c2cc #d,-,18,2424,2359,1119,158,0,244213,15141,2424,2359,1127,2423,2358,1117,89,100,0,500,2701;
@400000005e255da60b3d9f7f #d,-,18,2422,2357,1123,159,0,243794,15115,2424,2359,1124,2422,2357,1118,90,100,0,500,2685;
@400000005e255da80b4abfb6 #d,-,18,2421,2358,1116,159,0,243380,15089,2422,2358,1124,2421,2356,1116,90,100,0,500,2689;
@400000005e255da80b53cbe9 #d,-,18,2421,2357,1123,160,0,242971,15064,2421,2358,1124,2421,2357,1116,90,100,0,500,2687;
@400000005e255daa0b95d9ef #d,-,18,2420,2359,1121,161,1,242708,15047,2421,2359,1124,2420,2357,1118,90,100,0,500,2687;
@400000005e255daa0bc2641e #d,-,18,2420,2360,1125,161,1,242313,15023,2420,2360,1129,2420,2359,1121,89,100,0,500,2692;
@400000005e255dac0bd8a7cf #d,-,18,2421,2358,1407,162,1,241977,15002,2421,2360,1407,2420,2358,1124,89,100,0,500,2701;
@400000005e255dac0be25ba6 #d,-,18,3192,2355,1845,163,1,242269,15020,3192,2358,1952,2421,2354,1407,97,100,0,500,3265;
@400000005e255dae0bf0f240 #d,-,18,4385,2355,1944,165,1,242554,15038,4385,2355,1975,3192,2353,1816,97,100,0,500,4510;
@400000005e255dae0bfac5c1 #d,-,18,4292,2354,1840,166,1,242893,15059,4385,2356,1944,4292,2354,1798,96,100,0,500,4469;
@400000005e255db00c0a2ed6 #d,-,18,4234,2356,1843,167,1,243231,15080,4292,2357,1851,4234,2354,1823,96,100,0,500,4391;
@400000005e255db00c13c037 #d,-,18,4235,2356,1896,168,1,243594,15102,4235,2357,1910,4234,2356,1816,96,100,0,500,4396;
@400000005e255db20c22cc2a #d,-,18,4294,2354,1875,169,1,243964,15125,4294,2356,1915,4235,2354,1838,96,100,0,500,4443;
