@400000005e3180872441d47a #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e3180881293052b #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e3180ca1d11c22c #d,-,18,4551,2352,1930,49,0,193937,12024,4832,2353,1978,4551,2351,1920,97,100,0,500,4690;
@400000005e3180cc1d225813 #d,-,18,4548,2352,1977,50,0,195931,12147,4551,2353,1998,4548,2351,1930,97,100,0,500,4671;
@400000005e3180cc1d2d2d8d #d,-,18,4549,2354,1980,51,0,198157,12285,4549,2354,1987,4548,2352,1974,96,100,0,500,4699;
@400000005e3180ce1d3d8c81 #d,-,18,4551,2352,1984,53,0,199757,12384,4551,2354,1991,4549,2351,1980,96,100,0,500,4711;
@400000005e3180ce1d48a061 #d,-,18,4554,2352,1990,54,0,201596,12498,4554,2353,1991,4551,2352,1983,96,100,0,500,4718;
@400000005e3180d01d58b97c #d,-,18,4559,2353,1996,55,0,203399,12610,4559,2353,1999,4554,2351,1987,96,100,0,500,4730;
@400000005e3180d01d6373f4 #d,-,18,4563,2353,1990,57,0,205158,12719,4563,2353,1997,4559,2353,1989,96,100,0,500,4735;
@400000005e3180d21d729376 #d,-,18,4567,2354,1992,58,0,206863,12825,4567,2355,1997,4563,2353,1983,96,100,0,500,4737;
@400000005e3180d21d7c3777 #d,-,18,4570,2356,1997,59,0,208529,12928,4570,2357,1998,4567,2354,1986,96,100,0,500,4730;
@400000005e3180d41d8c6c82 #d,-,18,4574,2358,1997,60,0,210161,13030,4574,2358,2001,4570,2356,1995,96,100,0,500,4749;
@400000005e3180d41d968222 #d,-,18,4579,2357,1989,62,0,211743,13128,4579,2358,1997,4574,2356,1989,96,100,0,500,4749;
@400000005e3180d61da5f399 #d,-,18,4581,2359,1990,63,0,213282,13223,4581,2359,1998,4579,2356,1989,96,100,0,500,4742;
@400000005e3180d61db0a1f6 #d,-,18,4584,2355,1995,64,0,214783,13316,4584,2359,1995,4581,2355,1989,96,100,0,500,4740;
@400000005e3180d81dc097ad #d,-,18,4586,2357,1999,66,0,216245,13407,4586,2358,1999,4584,2355,1988,96,100,0,500,4742;
@400000005e3180d81dcb12d0 #d,-,18,4588,2353,2002,67,0,217681,13496,4588,2357,2003,4586,2352,1995,96,100,0,500,4747;
@400000005e3180da1dda55b6 #d,-,18,4590,2356,2001,68,0,219348,13599,4590,2356,2003,4588,2352,1996,96,100,0,500,4751;
@400000005e3180da1de54da6 #d,-,18,4594,2352,2008,69,0,220727,13685,4594,2356,2011,4590,2352,2001,96,100,0,500,4756;
@400000005e3180dc1df53be9 #d,-,18,4598,2352,2007,71,0,222071,13768,4598,2354,2011,4594,2352,2004,96,100,0,500,4770;
@400000005e3180dc1e00027d #d,-,18,4601,2354,2001,72,0,223114,13833,4601,2354,2008,4598,2351,2001,96,100,0,500,4763;
@400000005e3180de1e0fbd87 #d,-,18,4604,2354,2004,73,0,224660,13928,4604,2354,2010,4601,2351,1999,96,100,0,500,4763;
@400000005e3180de1e1a3d53 #d,-,18,4607,2353,2001,74,0,225650,13990,4607,2354,2012,4604,2353,2001,96,100,0,500,4766;
@400000005e3180e01e2a5de1 #d,-,18,4609,2353,2005,76,0,226872,14066,4609,2354,2007,4607,2353,2000,96,100,0,500,4763;
@400000005e3180e01e34fc69 #d,-,18,4610,2352,2006,77,0,228323,14156,4610,2354,2006,4609,2352,1999,96,100,0,500,4761;
@400000005e3180e21e44eaab #d,-,18,4612,2353,2012,78,0,229496,14228,4612,2354,2013,4610,2352,2005,96,100,0,500,4761;
