@400000005e71d3f81dbb05d2 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e71d3f90c0b15ce #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e71d44f15d1f3e7 #d,-,18,2426,2367,1128,62,0,189658,11758,2426,2369,1130,2425,2367,1121,89,100,0,500,2713;
@400000005e71d45115e558c8 #d,-,18,2427,2364,1594,63,0,190126,11787,2427,2367,1872,2426,2363,1124,89,100,0,500,2713;
@400000005e71d45115f2a6a1 #d,-,18,3633,2367,1240,64,0,190592,11816,3633,2368,1594,2427,2364,1187,96,100,0,500,3756;
@400000005e71d4531600e78d #d,-,18,3539,2367,1560,65,0,191490,11872,3633,2368,1949,3539,2364,1240,94,100,0,500,3751;
@400000005e71d45316096ad9 #d,-,18,3234,2366,1655,66,0,192192,11915,3539,2369,1848,3234,2364,1226,90,100,0,500,3573;
@400000005e71d45516177118 #d,-,18,3743,2365,1885,67,0,192750,11950,3743,2369,1885,3234,2365,1200,96,100,0,500,3898;
@400000005e71d4551620a0af #d,-,18,3511,2369,1324,68,0,193355,11988,3743,2369,1937,3511,2364,1324,93,100,0,500,3756;
@400000005e71d457162f4277 #d,-,18,2878,2370,1132,68,0,193148,11975,3511,2371,1324,2878,2368,1087,90,100,0,500,3192;
@400000005e71d457163881e3 #d,-,18,2453,2371,1134,69,0,192961,11963,2878,2372,1136,2453,2369,1129,89,100,0,500,2730;
@400000005e71d45916472764 #d,-,18,2452,2371,1131,70,0,192778,11952,2453,2372,1135,2452,2371,1128,89,100,0,500,2727;
@400000005e71d45916503485 #d,-,18,2451,2372,1133,70,0,192598,11941,2452,2372,1134,2451,2371,1128,89,100,0,500,2725;
@400000005e71d45b165e12b9 #d,-,18,2450,2374,1128,71,0,192419,11930,2451,2374,1134,2450,2371,1126,89,100,0,500,2730;
@400000005e71d45b16677cfc #d,-,18,2450,2373,1131,72,0,192247,11919,2450,2375,1133,2450,2373,1126,89,100,0,500,2725;
@400000005e71d45d16762725 #d,-,18,2449,2372,1129,73,0,192073,11908,2450,2373,1134,2449,2372,1127,89,100,0,500,2725;
@400000005e71d45d167f5a76 #d,-,18,2448,2374,1129,73,0,191905,11898,2449,2375,1133,2448,2372,1127,89,100,0,500,2725;
@400000005e71d45f168daa49 #d,-,18,2447,2375,1132,74,0,191737,11887,2448,2375,1133,2447,2373,1128,89,100,0,500,2727;
@400000005e71d45f169747c5 #d,-,18,2446,2373,1128,75,0,191574,11877,2447,2375,1133,2446,2373,1126,89,100,0,500,2727;
@400000005e71d46116a63f3b #d,-,18,2445,2374,1131,75,0,191414,11867,2446,2375,1134,2445,2372,1126,89,100,0,500,2725;
@400000005e71d46116af7ea7 #d,-,18,2445,2372,1127,76,0,191256,11857,2445,2375,1132,2445,2371,1125,89,100,0,500,2723;
@400000005e71d46316bd6d9e #d,-,18,2444,2374,1131,77,0,191101,11848,2445,2374,1133,2444,2372,1125,89,100,0,500,2723;
@400000005e71d46316c702b9 #d,-,18,2444,2372,1131,77,0,190948,11838,2444,2374,1133,2444,2372,1126,89,100,0,500,2723;
@400000005e71d46516d5d6cb #d,-,18,2443,2374,1129,78,0,190979,11840,2444,2374,1134,2443,2371,1127,89,100,0,500,2725;
@400000005e71d46516df1637 #d,-,18,2443,2372,1132,79,0,190656,11820,2443,2374,1134,2443,2371,1125,89,100,0,500,2725;
@400000005e71d46716ec0e61 #d,-,18,2442,2373,1127,79,0,190513,11811,2443,2373,1133,2442,2371,1124,89,100,0,500,2725;
@400000005e71d46716f41d42 #d,-,18,2443,2373,1132,80,0,190374,11803,2443,2374,1133,2442,2372,1126,89,100,0,500,2725;
@400000005e71d46917011ce0 #d,-,18,2964,2372,1444,81,0,190955,11839,2964,2373,1872,2443,2368,1132,96,100,0,500,3059;
@400000005e71d469170a1de6 #d,-,18,3405,2370,1825,82,0,191503,11873,3405,2374,1902,2964,2369,1182,91,100,0,500,3739;
@400000005e71d46b17198341 #d,-,18,3565,2373,1238,83,0,191875,11896,3565,2373,1825,3405,2370,1233,93,100,0,500,3820;
@400000005e71d46b17233bc0 #d,-,18,3479,2370,1531,84,0,192521,11936,3565,2373,1822,3479,2369,1238,95,100,0,500,3652;
@400000005e71d46d17325a53 #d,-,18,3240,2371,1563,85,0,193033,11968,3479,2373,1925,3240,2368,1184,90,100,0,500,3571;
@400000005e71d46d173b924c #d,-,18,3677,2371,1074,86,0,193202,11978,3677,2372,1563,3240,2369,1074,96,100,0,500,3806;
@400000005e71d46f1749a3b9 #d,-,18,2571,2372,1130,86,0,193212,11979,3677,2373,1146,2571,2371,1073,87,100,0,500,2938;
@400000005e71d46f17521f91 #d,-,18,2433,2370,1128,87,0,192891,11959,2571,2372,1132,2433,2369,1123,89,100,0,500,2718;
@400000005e71d471176015fb #d,-,18,2433,2370,1125,88,0,192736,11949,2433,2371,1133,2433,2369,1122,89,100,0,500,2715;
@400000005e71d4711768b537 #d,-,18,2433,2369,1128,88,0,192585,11940,2433,2371,1131,2433,2369,1123,89,100,0,500,2715;
@400000005e71d4731776c6a4 #d,-,18,2432,2368,1126,89,0,192434,11930,2433,2370,1133,2432,2368,1123,89,100,0,500,2713;
@400000005e71d473177f5251 #d,-,18,2432,2370,1131,90,0,192287,11921,2432,2371,1132,2432,2368,1125,89,100,0,500,2718;
@400000005e71d475178d0967 #d,-,18,2432,2370,1127,90,0,192141,11912,2432,2371,1131,2432,2369,1124,89,100,0,500,2715;
@400000005e71d4751795a130 #d,-,18,2432,2369,1127,91,0,191998,11903,2432,2371,1133,2432,2368,1123,89,100,0,500,2715;
@400000005e71d47717a2d7c0 #d,-,18,2431,2369,1125,92,0,191854,11894,2432,2370,1129,2431,2369,1119,89,100,0,500,2711;
@400000005e71d47717abbcd6 #d,-,18,2431,2371,1124,92,0,191715,11886,2431,2371,1130,2431,2369,1120,89,100,0,500,2711;
@400000005e71d47917b9bab4 #d,-,18,2431,2370,1127,93,0,191576,11877,2431,2371,1128,2431,2370,1120,89,100,0,500,2708;
@400000005e71d47917c26d7e #d,-,18,2431,2369,1126,94,0,191441,11869,2431,2370,1131,2431,2369,1120,89,100,0,500,2713;
@400000005e71d47b17d005d9 #d,-,18,2430,2370,1126,94,0,191308,11861,2431,2370,1130,2430,2368,1122,89,100,0,500,2711;
@400000005e71d47b17d8dfc1 #d,-,18,2430,2372,1128,95,0,191177,11853,2430,2372,1129,2430,2370,1122,89,100,0,500,2713;
@400000005e71d47d17e6af0e #d,-,18,2430,2369,1126,96,0,191049,11845,2430,2372,1131,2430,2368,1120,89,100,0,500,2713;
@400000005e71d47d17ef2ae6 #d,-,18,2430,2364,1132,96,0,190926,11837,2430,2369,1132,2430,2364,1122,89,100,0,500,2713;
@400000005e71d47f17ff2456 #d,-,18,2431,2365,1124,97,0,190801,11829,2431,2365,1133,2430,2363,1124,89,100,0,500,2713;
@400000005e71d47f180970e9 #d,-,18,2431,2362,1502,98,0,190762,11827,2431,2366,1502,2431,2362,1124,89,100,0,500,2711;
@400000005e71d48118186d07 #d,-,18,3248,2363,1573,99,0,191316,11861,3248,2364,1865,2431,2361,1490,95,100,0,500,3389;
@400000005e71d4811821a500 #d,-,18,3251,2363,1569,100,0,191786,11890,3251,2365,1926,3248,2361,1239,92,100,0,500,3519;
@400000005e71d483182c5716 #d,-,18,3705,2362,1943,101,0,192099,11910,3705,2364,1943,3251,2362,1186,95,100,0,500,3872;
@400000005e71d48318319e70 #d,-,18,3529,2365,1401,102,0,192563,11938,3705,2365,1943,3529,2362,1401,92,100,0,500,3803;
@400000005e71d4851841597a #d,-,18,3325,2364,1410,103,0,193020,11967,3529,2365,1831,3325,2362,1260,94,100,0,500,3528;
@400000005e71d485184afab0 #d,-,18,3523,2366,1143,103,0,193083,11971,3523,2367,1570,3325,2363,1095,92,100,0,500,3820;
@400000005e71d48718581db1 #d,-,18,2415,2367,1138,104,0,193086,11971,3523,2367,1149,2415,2366,1090,88,100,0,500,2737;
@400000005e71d4871860e7c5 #d,-,18,2418,2365,1131,105,0,192961,11963,2418,2367,1138,2415,2364,1130,88,100,0,500,2727;
@400000005e71d489187029bc #d,-,18,2421,2365,1133,105,0,192837,11955,2421,2365,1136,2418,2364,1129,88,100,0,500,2725;
