@400000005e142b7004f662c6 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e142b702ede850f #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e142baa3741cfb0 #d,-,18,2930,2340,1258,43,0,197660,12254,2930,2341,1259,2930,2339,1257,99,100,0,500,2952;
@400000005e142baa374ca52b #d,-,18,2929,2340,1272,44,0,197909,12270,2930,2341,1290,2929,2339,1258,99,100,0,500,2954;
@400000005e142bac375d3c00 #d,-,18,2932,2340,1259,45,0,198102,12282,2932,2341,1272,2929,2339,1250,98,100,0,500,2981;
@400000005e142bac37678893 #d,-,18,2930,2339,1258,45,0,198292,12294,2932,2340,1259,2930,2339,1254,99,100,0,500,2951;
@400000005e142bae3772e6f5 #d,-,18,2930,2339,1260,46,0,198477,12305,2930,2340,1260,2930,2338,1256,99,100,0,500,2952;
@400000005e142bae377db7c7 #d,-,18,2929,2339,1259,47,0,198655,12316,2930,2340,1260,2929,2339,1257,99,100,0,500,2954;
@400000005e142bb0378e7d2d #d,-,18,2928,2340,1288,48,0,198855,12329,2929,2340,1292,2928,2339,1248,99,100,0,500,2951;
@400000005e142bb03798c9c0 #d,-,18,2930,2339,1260,49,0,199018,12339,2930,2340,1288,2928,2339,1249,98,100,0,500,2974;
@400000005e142bb237a924fa #d,-,18,2929,2339,1258,49,0,199181,12349,2930,2340,1260,2929,2339,1256,99,100,0,500,2952;
@400000005e142bb237b379ee #d,-,18,2928,2340,1259,50,0,199339,12359,2929,2340,1260,2928,2339,1257,99,100,0,500,2952;
@400000005e142bb437c2f692 #d,-,18,2928,2340,1259,51,0,199492,12368,2928,2341,1259,2928,2339,1258,99,100,0,500,2952;
@400000005e142bb437cd2f97 #d,-,18,2927,2339,1292,52,0,199670,12379,2928,2340,1292,2927,2339,1258,99,100,0,500,2954;
@400000005e142bb637dccf9e #d,-,18,2931,2337,1260,53,0,199815,12388,2931,2339,1292,2927,2337,1250,98,100,0,500,2983;
@400000005e142bb637e7b134 #d,-,18,2930,2337,1260,53,0,199957,12397,2931,2337,1261,2930,2336,1258,99,100,0,500,2952;
@400000005e142bb837f6d382 #d,-,18,2929,2337,1251,54,0,200085,12405,2930,2337,1260,2929,2336,1251,99,100,0,500,2952;
@400000005e142bb838012876 #d,-,18,2927,2338,1259,55,0,200218,12413,2929,2338,1263,2927,2337,1251,99,100,0,500,2945;
@400000005e142bba3811c6be #d,-,18,2926,2337,1290,56,0,200364,12422,2927,2338,1290,2926,2337,1258,99,100,0,500,2952;
@400000005e142bba381c1ac5 #d,-,18,2930,2337,1262,57,0,200498,12430,2930,2338,1293,2926,2337,1250,98,100,0,500,2983;
@400000005e142bbc382b704b #d,-,18,2929,2338,1260,58,0,200618,12438,2930,2338,1262,2929,2336,1258,99,100,0,500,2949;
@400000005e142bbc3836420c #d,-,18,2928,2339,1259,58,0,200738,12445,2929,2339,1261,2928,2338,1257,99,100,0,500,2954;
@400000005e142bbe38462433 #d,-,18,2927,2339,1259,59,0,200852,12452,2928,2339,1260,2927,2339,1257,99,100,0,500,2951;
@400000005e142bbe3850a7b9 #d,-,18,2927,2339,1281,60,0,200974,12460,2927,2340,1281,2927,2339,1258,99,100,0,500,2952;
@400000005e142bc038607298 #d,-,18,2930,2340,1260,61,0,201097,12468,2930,2341,1290,2927,2338,1249,98,100,0,500,2983;
@400000005e142bc0386abb72 #d,-,18,2929,2341,1204,62,0,201169,12472,2930,2341,1260,2929,2339,1204,99,100,0,500,2949;
@400000005e142bc2387a6b4e #d,-,18,2812,2341,1261,62,0,201202,12474,2929,2341,1261,2812,2340,1182,98,100,0,500,2853;
@400000005e142bc23884a8fb #d,-,18,2914,2340,1260,63,0,201305,12480,2914,2341,1262,2812,2340,1256,99,100,0,500,2936;
@400000005e142bc4389355ef #d,-,18,2916,2339,1272,64,0,201423,12488,2916,2340,1276,2914,2339,1259,98,100,0,500,2956;
@400000005e142bc4389e17db #d,-,18,2971,2339,1265,65,0,201549,12496,2971,2340,1293,2916,2339,1255,99,100,0,500,2999;
@400000005e142bc638ad6a96 #d,-,18,2965,2340,1263,66,0,201654,12502,2971,2340,1266,2965,2339,1262,100,100,0,500,2965;
@400000005e142bc638b7c610 #d,-,18,2961,2341,1261,66,0,201757,12508,2965,2341,1266,2961,2340,1261,99,100,0,500,2965;
