@400000005e70830f3479d28c #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e70831022c8ebbb #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e7083482b5fc245 #d,-,18,2456,2377,1130,40,0,188162,11666,2459,2378,1131,2456,2376,1125,90,100,0,500,2725;
@400000005e70834a2b6e6c6f #d,-,18,2454,2375,1130,41,0,187929,11651,2456,2377,1132,2454,2375,1126,90,100,0,500,2725;
@400000005e70834a2b779492 #d,-,18,2451,2378,1128,41,0,187380,11617,2454,2378,1132,2451,2375,1124,89,100,0,500,2727;
@400000005e70834c2b8530a6 #d,-,18,2449,2375,1131,42,0,187167,11604,2451,2378,1131,2449,2375,1124,89,100,0,500,2723;
@400000005e70834c2b8f006d #d,-,18,2448,2378,1127,43,0,186963,11591,2449,2378,1134,2448,2375,1126,89,100,0,500,2727;
@400000005e70834e2b9daa96 #d,-,18,2447,2377,1133,43,0,186768,11579,2448,2378,1134,2447,2377,1126,89,100,0,500,2727;
@400000005e70834e2ba6c69f #d,-,18,2445,2375,1129,44,0,186578,11567,2447,2377,1134,2445,2375,1128,89,100,0,500,2730;
@400000005e7083502bb4bc1b #d,-,18,2445,2377,1126,45,0,186395,11556,2445,2377,1134,2445,2374,1126,89,100,0,500,2730;
@400000005e7083502bbe846e #d,-,18,2444,2376,1130,46,0,186218,11545,2445,2377,1135,2444,2376,1124,89,100,0,500,2727;
@400000005e7083522bcd29ef #d,-,18,2443,2376,1131,46,0,186051,11535,2444,2377,1132,2443,2376,1125,89,100,0,500,2727;
@400000005e7083522bd6695b #d,-,18,2443,2377,1130,47,0,185885,11524,2443,2378,1133,2443,2375,1126,89,100,0,500,2727;
@400000005e7083542be4c54a #d,-,18,2591,2375,1353,48,0,186553,11566,2591,2377,1761,2443,2372,1127,92,100,0,500,2789;
@400000005e7083542bee3f62 #d,-,18,3120,2375,1169,48,0,186798,11581,3120,2377,1353,2591,2374,1132,91,100,0,500,3426;
@400000005e7083562bfa7b6c #d,-,18,2679,2374,1204,49,0,186594,11568,3120,2376,1305,2679,2373,1151,91,100,0,500,2934;
@400000005e7083562c0418e8 #d,-,18,3112,2374,1146,50,0,187269,11610,3112,2375,1780,2679,2370,1144,95,100,0,500,3270;
@400000005e7083582c0de8af #d,-,18,2834,2376,1271,51,0,187465,11622,3112,2376,1323,2834,2373,1146,89,100,0,500,3163;
@400000005e7083582c12a367 #d,-,18,2685,2372,1773,52,0,187986,11655,2834,2376,1859,2685,2371,1135,90,100,0,500,2967;
@400000005e70835a2c20a145 #d,-,18,3318,2375,1300,53,0,188270,11672,3318,2375,1773,2685,2372,1144,93,100,0,500,3547;
@400000005e70835a2c2a22d1 #d,-,18,2803,2377,1172,53,0,188336,11676,3318,2377,1300,2803,2374,1168,92,100,0,500,3038;
@400000005e70835c2c38ccfa #d,-,18,3132,2376,1180,54,0,189000,11718,3132,2377,1807,2803,2373,1165,95,100,0,500,3265;
@400000005e70835c2c4223ae #d,-,18,2950,2375,1245,55,0,189198,11730,3132,2376,1355,2950,2374,1180,89,100,0,500,3301;
@400000005e70835e2c4e0650 #d,-,18,2679,2377,1136,56,0,189020,11719,2950,2377,1245,2679,2374,1045,90,100,0,500,2967;
@400000005e70835e2c55e1f8 #d,-,18,2389,2375,1131,56,0,188845,11708,2679,2377,1142,2389,2374,1120,88,100,0,500,2689;
@400000005e7083602c61d0b5 #d,-,18,2445,2376,1128,57,0,188669,11697,2445,2376,1133,2389,2374,1126,89,100,0,500,2734;
@400000005e7083602c693f66 #d,-,18,2444,2374,1133,58,0,188501,11687,2445,2376,1133,2444,2374,1125,89,100,0,500,2727;
@400000005e7083622c7472f1 #d,-,18,2443,2376,1128,58,0,188335,11676,2444,2376,1133,2443,2374,1127,89,100,0,500,2727;
@400000005e7083622c7b73bd #d,-,18,2443,2376,1130,59,0,188406,11681,2443,2377,1137,2443,2376,1128,89,100,0,500,2730;
@400000005e7083642c86581e #d,-,18,2442,2374,1132,60,0,188247,11671,2443,2377,1135,2442,2374,1126,89,100,0,500,2730;
@400000005e7083642c8d983e #d,-,18,2443,2377,1131,60,0,187870,11647,2443,2377,1134,2442,2374,1128,89,100,0,500,2732;
@400000005e7083662c9c49db #d,-,18,2443,2376,1132,61,0,187721,11638,2443,2377,1133,2443,2375,1126,89,100,0,500,2730;
@400000005e7083662ca6bd8b #d,-,18,2442,2375,1126,62,0,187576,11629,2443,2376,1133,2442,2374,1125,89,100,0,500,2727;
@400000005e7083682cb51979 #d,-,18,2442,2376,1135,62,0,187437,11621,2442,2377,1135,2442,2375,1126,89,100,0,500,2727;
@400000005e7083682cbe5084 #d,-,18,2442,2376,1131,63,0,187296,11612,2442,2377,1135,2442,2375,1128,89,100,0,500,2732;
@400000005e70836a2cccf33a #d,-,18,2443,2376,1132,64,0,187164,11604,2443,2377,1134,2442,2375,1129,89,100,0,500,2732;
@400000005e70836a2cd6268a #d,-,18,2442,2378,1131,65,0,187031,11595,2443,2378,1133,2442,2375,1126,89,100,0,500,2732;
@400000005e70836c2ce39f3a #d,-,18,2443,2376,1130,65,0,186903,11587,2443,2378,1132,2442,2375,1126,89,100,0,500,2730;
@400000005e70836c2cec6594 #d,-,18,2442,2378,1131,66,0,186774,11580,2443,2378,1132,2442,2375,1125,89,100,0,500,2730;
@400000005e70836e2cf70c7d #d,-,18,2442,2378,1129,67,0,186648,11572,2442,2378,1133,2442,2377,1125,89,100,0,500,2727;
@400000005e70836e2cfef70c #d,-,18,2824,2376,1288,67,0,187190,11605,2824,2378,1734,2442,2373,1129,95,100,0,500,2957;
@400000005e7083702d0e0f1b #d,-,18,3116,2377,1261,68,0,187371,11617,3116,2378,1375,2824,2375,1193,91,100,0,500,3424;
@400000005e7083702d17edc9 #d,-,18,2753,2372,1819,69,0,187698,11637,3116,2378,1819,2753,2372,1181,90,100,0,500,3047;
@400000005e7083722d26326e #d,-,18,3343,2377,1314,70,0,187991,11655,3343,2377,1819,2753,2372,1122,94,100,0,500,3547;
@400000005e7083722d309290 #d,-,18,2761,2376,1173,71,0,188229,11670,3343,2378,1314,2761,2376,1173,91,100,0,500,3026;
@400000005e7083742d3b5cde #d,-,18,3034,2378,1137,72,0,188542,11689,3034,2378,1859,2761,2373,1137,96,100,0,500,3159;
@400000005e7083742d44ab30 #d,-,18,2982,2377,1270,72,0,188656,11696,3034,2378,1360,2982,2376,1090,89,100,0,500,3344;
@400000005e7083762d52c8b8 #d,-,18,2691,2375,1756,73,0,189021,11719,2982,2377,1843,2691,2373,1144,89,100,0,500,2993;
@400000005e7083762d5c987f #d,-,18,3294,2377,1265,74,0,189160,11727,3294,2379,1756,2691,2375,1111,93,100,0,500,3533;
@400000005e7083782d67bc35 #d,-,18,2755,2380,1140,75,0,189190,11729,3294,2380,1284,2755,2377,1140,92,100,0,500,2979;
@400000005e7083782d70cfdb #d,-,18,2539,2378,1133,75,0,189057,11721,2755,2380,1140,2539,2378,1126,89,100,0,500,2851;
@400000005e70837a2d7f52e7 #d,-,18,2441,2380,1129,76,0,188925,11713,2539,2380,1134,2441,2378,1126,89,100,0,500,2730;
@400000005e70837a2d88c857 #d,-,18,2441,2377,1131,77,0,188796,11705,2441,2380,1132,2441,2377,1126,89,100,0,500,2732;
@400000005e70837c2d974b63 #d,-,18,2441,2379,1127,77,0,188844,11708,2441,2380,1133,2441,2377,1126,89,100,0,500,2730;
@400000005e70837c2da06fcd #d,-,18,2441,2380,1130,78,0,188543,11689,2441,2380,1134,2441,2378,1127,89,100,0,500,2730;
