@400000005e33dc6702d5ffaa #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e33dc672cba8f64 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e33dde80f3708e5 #d,-,18,3902,2348,1690,355,2,241251,14957,3902,2349,1717,3896,2348,1667,98,100,0,500,3947;
@400000005e33dde80f4295d8 #d,-,18,3956,2348,1690,356,2,241359,14964,3956,2348,1690,3902,2347,1672,99,100,0,500,3983;
@400000005e33ddea0f59b820 #d,-,18,3954,2349,1683,358,2,241467,14970,3956,2350,1692,3954,2348,1674,99,100,0,500,3967;
@400000005e33ddea0f6a88b2 #d,-,18,3953,2350,1674,359,2,241575,14977,3954,2350,1688,3953,2349,1673,99,100,0,500,3963;
@400000005e33ddec0f7d9b9f #d,-,18,3951,2349,1682,360,2,241683,14984,3953,2350,1689,3951,2349,1674,99,100,0,500,3954;
@400000005e33ddec0f88a364 #d,-,18,3951,2349,1698,361,2,241795,14991,3951,2350,1718,3951,2349,1673,99,100,0,500,3961;
@400000005e33ddee0fa1482c #d,-,18,3953,2350,1682,362,2,241899,14997,3953,2351,1698,3951,2349,1674,99,100,0,500,3992;
@400000005e33ddee0fb2b8ee #d,-,18,3954,2350,1674,363,2,242008,15004,3954,2351,1708,3953,2350,1673,99,100,0,500,3977;
@400000005e33ddf00fc5c821 #d,-,18,3952,2349,1691,364,2,242116,15011,3954,2350,1695,3952,2348,1674,99,100,0,500,3956;
@400000005e33ddf00fd281e5 #d,-,18,3952,2348,1692,365,2,242221,15017,3952,2349,1692,3952,2348,1677,99,100,0,500,3972;
@400000005e33ddf20fe9f534 #d,-,18,3952,2350,1710,366,2,242331,15024,3952,2350,1712,3952,2348,1681,99,100,0,500,3974;
@400000005e33ddf20ffb08d4 #d,-,18,3958,2349,1678,367,2,242440,15031,3958,2350,1710,3952,2349,1678,98,100,0,500,4011;
@400000005e33ddf4100da668 #d,-,18,3957,2348,1695,369,2,242546,15037,3958,2350,1699,3957,2348,1677,99,100,0,500,3970;
@400000005e33ddf41018f4f5 #d,-,18,3957,2348,1697,370,2,242650,15044,3957,2349,1697,3957,2347,1682,99,100,0,500,3979;
@400000005e33ddf6102c130f #d,-,18,3958,2350,1686,371,2,242755,15050,3958,2350,1698,3957,2348,1682,99,100,0,500,3984;
@400000005e33ddf61038314b #d,-,18,3959,2349,1713,372,2,242865,15057,3959,2351,1718,3958,2349,1686,99,100,0,500,3976;
@400000005e33ddf61041c666 #d,-,18,3961,2347,1705,373,2,242973,15064,3961,2349,1717,3959,2347,1677,99,100,0,500,4001;
@400000005e33ddf810573a68 #d,-,18,3964,2349,1703,374,2,243137,15074,3964,2349,1705,3961,2346,1683,99,100,0,500,4001;
@400000005e33ddfa106d3ec5 #d,-,18,3965,2349,1686,375,2,243242,15081,3965,2350,1705,3964,2349,1685,99,100,0,500,3993;
@400000005e33ddfa1079ba23 #d,-,18,3966,2347,1690,376,2,243347,15087,3966,2350,1703,3965,2347,1686,99,100,0,500,3981;
@400000005e33ddfa1083ad4e #d,-,18,3966,2348,1733,377,2,243455,15094,3966,2349,1733,3966,2347,1688,99,100,0,500,3986;
@400000005e33ddfc109976ff #d,-,18,3970,2348,1698,378,2,243498,15096,3970,2350,1733,3966,2348,1680,98,100,0,500,4024;
@400000005e33ddfe10b04ec5 #d,-,18,3971,2349,1687,380,2,243600,15103,3971,2351,1701,3970,2348,1686,99,100,0,500,3992;
@400000005e33ddfe10bcddb2 #d,-,18,3970,2350,1690,381,2,243703,15109,3971,2350,1702,3970,2349,1687,99,100,0,500,3981;
@400000005e33ddfe10c72a45 #d,-,18,3970,2350,1700,382,2,243804,15115,3970,2350,1700,3970,2348,1686,99,100,0,500,3984;
@400000005e33de0010dea5f5 #d,-,18,3970,2350,1725,383,2,243907,15122,3970,2351,1725,3970,2350,1686,99,100,0,500,3993;
@400000005e33de0010eee9e7 #d,-,18,3974,2350,1687,384,2,244010,15128,3974,2350,1731,3970,2349,1685,98,100,0,500,4022;
@400000005e33de0210feb5b4 #d,-,18,3973,2349,1693,385,2,244111,15134,3974,2350,1701,3973,2349,1687,99,100,0,500,3979;
@400000005e33de041118e46f #d,-,18,3972,2351,1714,386,2,244213,15141,3973,2351,1718,3972,2349,1684,99,100,0,500,3986;
@400000005e33de04112bfb15 #d,-,18,3975,2349,1695,387,2,244312,15147,3975,2351,1714,3972,2349,1686,99,100,0,500,4013;
@400000005e33de04113b1a97 #d,-,18,3976,2350,1710,388,2,244414,15153,3976,2351,1710,3975,2349,1692,99,100,0,500,3995;
@400000005e33de06114dee2f #d,-,18,3979,2349,1700,389,2,244577,15163,3979,2352,1724,3976,2349,1696,98,100,0,500,4024;
@400000005e33de061159c95d #d,-,18,3979,2351,1705,391,2,244617,15166,3979,2351,1705,3979,2348,1690,99,100,0,500,3993;
@400000005e33de08116c3860 #d,-,18,3979,2346,1699,392,2,244715,15172,3979,2351,1706,3979,2343,1688,99,100,0,500,4002;
@400000005e33de08117befb0 #d,-,18,3980,2345,1692,393,2,244814,15178,3980,2346,1709,3979,2345,1692,99,100,0,500,3997;
@400000005e33de0a11906a1b #d,-,18,3979,2346,1713,394,2,244913,15184,3980,2347,1713,3979,2345,1692,99,100,0,500,3992;
@400000005e33de0a119d4743 #d,-,18,3983,2344,1707,395,2,245014,15190,3983,2346,1728,3979,2344,1692,98,100,0,500,4031;
@400000005e33de0c11b9fe31 #d,-,18,3979,2343,1591,396,2,245081,15195,3983,2344,1711,3979,2343,1553,99,100,0,500,3988;
@400000005e33de0c11cbb975 #d,-,18,3719,2347,1596,397,2,245140,15198,3979,2347,1615,3719,2342,1591,99,100,0,500,3739;
@400000005e33de0e11dcd0cf #d,-,18,3722,2348,1612,398,2,245199,15202,3722,2349,1617,3719,2347,1595,98,100,0,500,3767;
@400000005e33de0e11e8e202 #d,-,18,3727,2347,1606,399,2,245255,15205,3727,2349,1613,3722,2346,1594,98,100,0,500,3789;
@400000005e33de1011fc99c6 #d,-,18,3800,2348,1593,400,2,245320,15209,3800,2348,1650,3727,2346,1593,99,100,0,500,3810;
@400000005e33de10120868d9 #d,-,18,3746,2345,1614,401,2,245378,15213,3800,2348,1619,3746,2345,1593,99,100,0,500,3773;
@400000005e33de1212226903 #d,-,18,3748,2344,1610,402,2,245434,15216,3748,2346,1614,3746,2344,1597,98,100,0,500,3787;
@400000005e33de12123410b8 #d,-,18,3750,2346,1599,403,2,245550,15224,3750,2347,1620,3748,2344,1599,99,100,0,500,3783;
@400000005e33de141246fc87 #d,-,18,3750,2342,1615,404,2,245608,15227,3750,2346,1620,3750,2342,1598,99,100,0,500,3771;
@400000005e33de14125290ed #d,-,18,3755,2342,1606,405,2,245668,15231,3755,2344,1632,3750,2342,1597,98,100,0,500,3810;
@400000005e33de161265caf8 #d,-,18,3757,2345,1598,406,2,245668,15231,3757,2346,1623,3755,2342,1598,99,100,0,500,3792;
@400000005e33de1612718edd #d,-,18,3756,2343,1615,408,2,245725,15234,3757,2345,1623,3756,2342,1598,99,100,0,500,3771;
@400000005e33de18128bb26b #d,-,18,3757,2345,1614,409,2,245780,15238,3757,2345,1615,3756,2342,1599,99,100,0,500,3787;
@400000005e33de18129d804f #d,-,18,3759,2344,1598,409,2,245836,15241,3759,2345,1622,3757,2343,1598,99,100,0,500,3785;
@400000005e33de1a12b07fad #d,-,18,3760,2345,1606,411,2,245897,15245,3760,2345,1652,3759,2343,1598,99,100,0,500,3785;
@400000005e33de1a12bc202f #d,-,18,3761,2343,1613,412,2,245950,15248,3761,2345,1613,3760,2343,1599,99,100,0,500,3796;
@400000005e33de1c12d7f975 #d,-,18,3762,2344,1597,413,2,246005,15252,3762,2346,1621,3761,2343,1597,99,100,0,500,3783;
@400000005e33de1c12eb187d #d,-,18,3760,2345,1613,414,2,246061,15255,3762,2345,1620,3760,2343,1597,99,100,0,500,3769;
@400000005e33de1e1305d793 #d,-,18,3760,2341,1618,415,2,246170,15262,3760,2345,1618,3760,2341,1597,99,100,0,500,3780;
@400000005e33de1e131792d7 #d,-,18,3763,2345,1598,416,2,246229,15266,3763,2345,1642,3760,2341,1598,99,100,0,500,3796;
@400000005e33de20132a5b42 #d,-,18,3763,2343,1614,417,2,246228,15266,3763,2346,1623,3763,2343,1595,99,100,0,500,3792;
@400000005e33de2013360b99 #d,-,18,3762,2344,1619,418,2,246281,15269,3763,2344,1619,3762,2342,1598,99,100,0,500,3780;
@400000005e33de221350b80e #d,-,18,3763,2341,1601,419,2,246333,15272,3763,2344,1621,3762,2341,1599,99,100,0,500,3791;
@400000005e33de2213628239 #d,-,18,3762,2341,1614,420,2,246389,15276,3763,2342,1624,3762,2340,1601,99,100,0,500,3773;
@400000005e33de24137c7aef #d,-,18,3762,2338,1633,421,2,246446,15279,3762,2341,1650,3762,2338,1601,99,100,0,500,3783;
@400000005e33de24138e4160 #d,-,18,3766,2340,1605,422,2,246497,15282,3766,2340,1633,3762,2338,1602,98,100,0,500,3815;
@400000005e33de2613a24ed3 #d,-,18,3765,2341,1614,423,2,246552,15286,3766,2341,1624,3765,2340,1605,99,100,0,500,3776;
@400000005e33de2613aeae41 #d,-,18,3764,2340,1623,424,2,246604,15289,3765,2341,1623,3764,2339,1600,99,100,0,500,3778;
@400000005e33de2813c8d588 #d,-,18,3765,2339,1605,425,2,246655,15292,3765,2340,1623,3764,2338,1600,99,100,0,500,3791;
@400000005e33de2813daaf88 #d,-,18,3764,2340,1634,426,2,246714,15296,3765,2340,1650,3764,2339,1605,99,100,0,500,3778;
@400000005e33de2a13efa6be #d,-,18,3766,2338,1624,427,2,246764,15299,3766,2340,1634,3764,2338,1593,99,100,0,500,3803;
@400000005e33de2a13fa5d7d #d,-,18,3766,2341,1605,428,2,246814,15302,3766,2341,1624,3766,2337,1599,99,100,0,500,3791;
@400000005e33de2c140d5921 #d,-,18,3765,2343,1605,429,2,246866,15305,3766,2343,1622,3765,2341,1605,99,100,0,500,3774;
@400000005e33de2c1418d9f9 #d,-,18,3763,2341,1622,430,2,246972,15312,3765,2344,1623,3763,2340,1598,99,100,0,500,3773;
@400000005e33de2e14330140 #d,-,18,3764,2343,1635,431,2,247025,15315,3764,2343,1636,3763,2341,1600,99,100,0,500,3792;
@400000005e33de2e14454925 #d,-,18,3767,2344,1601,432,2,247022,15315,3767,2345,1635,3764,2342,1601,99,100,0,500,3803;
@400000005e33de3014580a1d #d,-,18,3764,2343,1618,434,2,247125,15321,3767,2345,1620,3764,2343,1597,99,100,0,500,3769;
@400000005e33de3014636791 #d,-,18,3765,2342,1606,435,2,247119,15321,3765,2344,1618,3764,2342,1598,99,100,0,500,3789;
@400000005e33de32147618b3 #d,-,18,3764,2345,1598,436,2,247170,15324,3765,2345,1621,3764,2342,1598,99,100,0,500,3778;
@400000005e33de321481b57b #d,-,18,3762,2344,1650,437,2,247223,15327,3764,2345,1650,3762,2344,1597,99,100,0,500,3771;
@400000005e33de34149b6c12 #d,-,18,3766,2343,1612,438,2,247272,15330,3766,2345,1650,3762,2342,1590,98,100,0,500,3817;
@400000005e33de3414ad1ef4 #d,-,18,3766,2342,1598,439,2,247322,15333,3766,2343,1620,3766,2342,1598,99,100,0,500,3780;
@400000005e33de3614bf7207 #d,-,18,3764,2344,1616,440,2,247371,15337,3766,2345,1621,3764,2342,1597,99,100,0,500,3771;
@400000005e33de3614cb225d #d,-,18,3764,2344,1600,441,2,247416,15339,3764,2345,1616,3764,2344,1591,99,100,0,500,3787;
@400000005e33de3814dda4ef #d,-,18,3763,2344,1637,442,2,247470,15343,3764,2345,1637,3763,2344,1600,99,100,0,500,3773;
@400000005e33de3814e92a6f #d,-,18,3765,2343,1621,443,2,247519,15346,3765,2345,1640,3763,2343,1589,98,100,0,500,3805;
@400000005e33de3a14fbcf76 #d,-,18,3765,2344,1600,444,2,247566,15349,3765,2344,1621,3765,2343,1599,99,100,0,500,3783;
@400000005e33de3a1506f6e5 #d,-,18,3764,2344,1605,445,2,247615,15352,3765,2345,1618,3764,2344,1600,99,100,0,500,3780;
@400000005e33de3c1518e0ba #d,-,18,3763,2344,1616,446,2,247663,15355,3764,2345,1619,3763,2344,1602,99,100,0,500,3778;
@400000005e33de3c15245ec7 #d,-,18,3765,2344,1618,447,2,247710,15358,3765,2345,1618,3763,2344,1596,99,100,0,500,3794;
@400000005e33de3e15372aec #d,-,18,3768,2344,1614,448,2,247763,15361,3768,2344,1656,3765,2343,1605,98,100,0,500,3810;
@400000005e33de3e1542a809 #d,-,18,3767,2343,1619,449,2,247812,15364,3768,2344,1621,3767,2343,1603,99,100,0,500,3783;
@400000005e33de40155551b9 #d,-,18,3769,2343,1612,450,2,247860,15367,3769,2343,1619,3767,2341,1606,99,100,0,500,3798;
@400000005e33de401560a7b9 #d,-,18,3769,2344,1614,451,2,247909,15370,3769,2344,1622,3769,2342,1612,99,100,0,500,3794;
@400000005e33de4215735522 #d,-,18,3770,2345,1626,452,2,247958,15373,3770,2346,1626,3769,2342,1607,99,100,0,500,3791;
@400000005e33de42157ee5cf #d,-,18,3774,2344,1614,453,2,248009,15376,3774,2345,1647,3770,2344,1602,98,100,0,500,3830;
@400000005e33de441590f308 #d,-,18,3774,2344,1612,454,2,248058,15379,3774,2345,1623,3774,2343,1612,99,100,0,500,3791;
@400000005e33de44159d08e2 #d,-,18,3773,2346,1615,455,2,248106,15382,3774,2346,1619,3773,2344,1609,99,100,0,500,3791;
@400000005e33de4615ae475a #d,-,18,3774,2346,1615,457,2,248153,15385,3774,2347,1615,3773,2346,1611,99,100,0,500,3796;
@400000005e33de4615b9bd05 #d,-,18,3774,2343,1615,458,2,248253,15391,3774,2346,1619,3774,2343,1614,99,100,0,500,3796;
@400000005e33de4815ccd3ab #d,-,18,3778,2345,1614,459,2,248253,15391,3778,2346,1646,3774,2342,1610,98,100,0,500,3821;
@400000005e33de4815d8d9b1 #d,-,18,3777,2343,1617,460,2,248300,15394,3778,2345,1618,3777,2343,1614,99,100,0,500,3799;
@400000005e33de4a15eb2196 #d,-,18,3777,2341,1615,461,2,248347,15397,3777,2343,1621,3777,2340,1615,99,100,0,500,3796;
@400000005e33de4a15f769bb #d,-,18,3777,2339,1620,462,2,248394,15400,3777,2341,1621,3777,2339,1614,99,100,0,500,3794;
@400000005e33de4c16099a58 #d,-,18,3777,2342,1617,463,2,248440,15403,3777,2343,1621,3777,2339,1613,99,100,0,500,3798;
@400000005e33de4c16151ee9 #d,-,18,3780,2340,1609,464,2,248491,15406,3780,2343,1650,3777,2340,1607,99,100,0,500,3817;
@400000005e33de4e1627a535 #d,-,18,3779,2345,1616,465,2,248537,15409,3780,2345,1620,3779,2340,1609,99,100,0,500,3799;
@400000005e33de4e1633b755 #d,-,18,3778,2344,1617,466,2,248582,15412,3779,2345,1617,3778,2343,1612,99,100,0,500,3794;
@400000005e33de50164552ef #d,-,18,3778,2343,1614,467,2,248628,15414,3778,2345,1618,3778,2343,1613,99,100,0,500,3796;
@400000005e33de501650f371 #d,-,18,3777,2345,1617,468,2,248674,15417,3778,2345,1619,3777,2343,1612,99,100,0,500,3792;
@400000005e33de52166283de #d,-,18,3780,2345,1612,469,2,248723,15420,3780,2346,1644,3777,2344,1612,99,100,0,500,3810;
@400000005e33de52166dceb1 #d,-,18,3780,2342,1612,470,2,248768,15423,3780,2345,1618,3780,2342,1612,99,100,0,500,3810;
@400000005e33de54167f9522 #d,-,18,3779,2343,1616,471,2,248812,15426,3780,2343,1624,3779,2341,1603,99,100,0,500,3787;
@400000005e33de54168baafd #d,-,18,3778,2344,1622,472,2,248856,15429,3779,2345,1622,3778,2343,1607,99,100,0,500,3794;
@400000005e33de56169dfe0f #d,-,18,3777,2344,1614,473,2,248901,15431,3778,2345,1623,3777,2343,1613,99,100,0,500,3796;
@400000005e33de5616a9b220 #d,-,18,3779,2344,1613,474,2,248950,15434,3779,2344,1651,3777,2343,1610,99,100,0,500,3801;
@400000005e33de5816bb2efe #d,-,18,3780,2345,1617,475,2,248993,15437,3780,2346,1617,3779,2343,1606,99,100,0,500,3815;
@400000005e33de5816c679d1 #d,-,18,3779,2344,1612,476,2,249087,15443,3780,2346,1618,3779,2343,1611,99,100,0,500,3796;
@400000005e33de5a16d81925 #d,-,18,3778,2342,1615,477,2,249131,15446,3779,2344,1619,3778,2342,1607,99,100,0,500,3791;
@400000005e33de5a16e47981 #d,-,18,3777,2344,1618,478,2,249124,15445,3778,2345,1618,3777,2342,1609,99,100,0,500,3794;
@400000005e33de5c16f64fc7 #d,-,18,3778,2344,1617,480,2,249171,15448,3778,2345,1644,3777,2343,1615,99,100,0,500,3796;
@400000005e33de5c1701f7bc #d,-,18,3779,2345,1614,481,2,249215,15451,3779,2346,1618,3778,2343,1605,99,100,0,500,3815;
@400000005e33de5e1713d2ab #d,-,18,3779,2343,1617,482,2,249257,15453,3779,2346,1617,3779,2343,1609,99,100,0,500,3794;
@400000005e33de5e172088b5 #d,-,18,3778,2344,1609,483,2,249299,15456,3779,2345,1619,3778,2343,1609,99,100,0,500,3794;
@400000005e33de6017346201 #d,-,18,3777,2346,1613,484,3,249342,15459,3778,2346,1619,3777,2343,1609,99,100,0,500,3792;
@400000005e33de601740c9d0 #d,-,18,3777,2347,1637,485,3,249390,15462,3777,2348,1648,3777,2346,1610,99,100,0,500,3792;
@400000005e33de621752753f #d,-,18,3780,2348,1610,486,3,249431,15464,3780,2348,1637,3777,2347,1607,98,100,0,500,3823;
@400000005e33de621762e8b0 #d,-,18,3779,2347,1611,487,3,249473,15467,3780,2348,1616,3779,2346,1610,99,100,0,500,3794;
@400000005e33de641777e75a #d,-,18,3778,2348,1616,488,3,249515,15469,3779,2349,1616,3778,2347,1609,99,100,0,500,3791;
@400000005e33de641785da0b #d,-,18,3778,2346,1612,489,3,249557,15472,3778,2348,1616,3778,2345,1611,99,100,0,500,3799;
@400000005e33de661796e903 #d,-,18,3778,2344,1644,490,3,249604,15475,3778,2346,1646,3778,2344,1612,99,100,0,500,3794;
@400000005e33de6617a3126d #d,-,18,3780,2346,1618,491,3,249694,15481,3780,2347,1644,3778,2344,1605,98,100,0,500,3821;
@400000005e33de6817b41dac #d,-,18,3780,2344,1604,492,3,249686,15480,3780,2347,1618,3780,2343,1603,99,100,0,500,3799;
@400000005e33de6817c0004d #d,-,18,3779,2346,1612,493,3,249728,15483,3780,2346,1621,3779,2344,1604,99,100,0,500,3791;
@400000005e33de6a17ec9a51 #d,-,18,3778,2348,1616,494,3,249769,15485,3779,2349,1617,3778,2345,1609,99,100,0,500,3792;
@400000005e33de6a1810cfc5 #d,-,18,3778,2346,1643,495,3,249861,15491,3778,2348,1643,3778,2346,1609,99,100,0,500,3798;
@400000005e33de6c1827497b #d,-,18,3781,2348,1612,496,3,249855,15491,3781,2348,1644,3778,2346,1609,98,100,0,500,3823;
@400000005e33de6c1834fa0c #d,-,18,3780,2346,1616,497,3,249895,15493,3781,2349,1616,3780,2346,1609,99,100,0,500,3791;
@400000005e33de6e18540f45 #d,-,18,3779,2346,1613,498,3,249935,15496,3780,2347,1616,3779,2346,1610,99,100,0,500,3798;
@400000005e33de6e18675bef #d,-,18,3779,2348,1612,499,3,249976,15498,3779,2348,1617,3779,2346,1612,99,100,0,500,3794;
@400000005e33de70187b0f0c #d,-,18,3778,2347,1645,500,3,250019,15501,3779,2348,1645,3778,2347,1610,99,100,0,500,3794;
@400000005e33de7018870182 #d,-,18,3781,2348,1614,502,3,250060,15503,3781,2349,1647,3778,2346,1603,98,100,0,500,3830;
@400000005e33de7218a2a3d6 #d,-,18,3781,2345,1613,503,3,250100,15506,3781,2348,1617,3781,2345,1612,99,100,0,500,3792;
@400000005e33de7218b6c891 #d,-,18,3780,2347,1616,504,3,250141,15508,3781,2347,1617,3780,2345,1611,99,100,0,500,3794;
@400000005e33de7418d31db5 #d,-,18,3779,2347,1615,505,3,250180,15511,3780,2348,1616,3779,2346,1609,99,100,0,500,3798;
@400000005e33de7418e5dead #d,-,18,3779,2347,1633,506,3,250221,15513,3779,2348,1633,3779,2347,1615,99,100,0,500,3796;
@400000005e33de7618f9ffaf #d,-,18,3782,2346,1615,507,3,250311,15519,3782,2347,1644,3779,2346,1609,98,100,0,500,3826;
@400000005e33de761905a3eb #d,-,18,3781,2345,1616,508,3,250302,15518,3782,2347,1617,3781,2345,1611,99,100,0,500,3794;
@400000005e33de7819210b92 #d,-,18,3781,2348,1611,509,3,250342,15521,3781,2348,1618,3781,2345,1611,99,100,0,500,3798;
@400000005e33de7819345ce4 #d,-,18,3780,2346,1616,510,3,250428,15526,3781,2348,1616,3780,2346,1610,99,100,0,500,3792;
@400000005e33de7a194ea78f #d,-,18,3779,2347,1625,511,3,250420,15526,3780,2347,1625,3779,2346,1610,99,100,0,500,3796;
@400000005e33de7a19606a47 #d,-,18,3783,2347,1612,512,3,250462,15528,3783,2348,1648,3779,2346,1606,98,100,0,500,3830;
@400000005e33de7c19745368 #d,-,18,3781,2346,1617,513,3,250501,15531,3783,2347,1617,3781,2346,1611,99,100,0,500,3791;
@400000005e33de7c19802369 #d,-,18,3780,2346,1616,514,3,250538,15533,3781,2347,1617,3780,2345,1610,99,100,0,500,3796;
@400000005e33de7e199caf80 #d,-,18,3780,2346,1612,515,3,250576,15535,3780,2348,1617,3780,2345,1611,99,100,0,500,3796;
@400000005e33de7e19afa3b0 #d,-,18,3779,2346,1619,516,3,250614,15538,3780,2346,1619,3779,2345,1609,99,100,0,500,3789;
@400000005e33de8019cb7495 #d,-,18,3782,2343,1616,517,3,250655,15540,3782,2346,1645,3779,2343,1603,98,100,0,500,3824;
@400000005e33de8019de8b3b #d,-,18,3780,2341,1615,518,3,250692,15542,3782,2344,1623,3780,2341,1613,99,100,0,500,3792;
@400000005e33de8219f1ccb9 #d,-,18,3779,2343,1618,519,3,250777,15548,3780,2345,1618,3779,2341,1612,99,100,0,500,3791;
@400000005e33de8219fd7956 #d,-,18,3778,2344,1620,520,3,250767,15547,3779,2344,1620,3778,2342,1611,99,100,0,500,3794;
@400000005e33de841a191701 #d,-,18,3778,2344,1612,521,3,250804,15549,3778,2344,1621,3778,2343,1612,99,100,0,500,3798;
@400000005e33de841a2cba49 #d,-,18,3781,2344,1610,522,3,250845,15552,3781,2345,1652,3778,2343,1609,99,100,0,500,3814;
@400000005e33de861a491c77 #d,-,18,3780,2345,1618,523,3,250882,15554,3781,2345,1618,3780,2343,1610,99,100,0,500,3799;
@400000005e33de861a5b50cd #d,-,18,3779,2345,1612,525,3,250918,15556,3780,2346,1618,3779,2344,1611,99,100,0,500,3794;
@400000005e33de881a6ee7f9 #d,-,18,3778,2345,1616,526,3,250955,15559,3779,2346,1618,3778,2342,1609,99,100,0,500,3789;
@400000005e33de881a7abbb4 #d,-,18,3777,2344,1620,527,3,250991,15561,3778,2345,1620,3777,2342,1609,99,100,0,500,3791;
@400000005e33de8a1a9661c1 #d,-,18,3779,2344,1605,528,3,251030,15563,3779,2344,1646,3777,2342,1605,99,100,0,500,3808;
@400000005e33de8a1aa95504 #d,-,18,3779,2342,1616,529,3,251066,15566,3779,2344,1622,3779,2342,1604,99,100,0,500,3801;
Lost connection at /opt/powertools/bin/wattsup1 line 220.
	main::failure('Lost connection') called at /opt/powertools/bin/wattsup1 line 271
	main::recv_msg() called at /opt/powertools/bin/wattsup1 line 504
