@400000005e33dc6702d5ffaa #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e33dc672cba8f64 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e33dca135776863 #d,-,18,2702,2353,1172,42,0,194854,12081,2703,2355,1185,2702,2353,1152,99,100,0,500,2726;
@400000005e33dca13581b99e #d,-,18,2704,2349,1159,43,0,194819,12078,2704,2356,1172,2702,2347,1147,98,100,0,500,2751;
@400000005e33dca3358f3608 #d,-,18,2703,2356,1153,43,0,195124,12097,2704,2356,1159,2703,2349,1152,99,100,0,500,2728;
@400000005e33dca3359a179e #d,-,18,2702,2353,1156,44,0,195089,12095,2703,2356,1157,2702,2352,1152,99,100,0,500,2724;
@400000005e33dca535aa5f49 #d,-,18,2701,2355,1153,45,0,194732,12073,2702,2355,1156,2701,2353,1153,99,100,0,500,2728;
@400000005e33dca535b4d6b3 #d,-,18,2700,2354,1184,46,0,195060,12093,2701,2355,1186,2700,2354,1153,99,100,0,500,2726;
@400000005e33dca735c476bb #d,-,18,2702,2354,1155,46,0,195024,12091,2702,2354,1184,2700,2353,1147,98,100,0,500,2755;
@400000005e33dca735ceb468 #d,-,18,2702,2351,1154,47,0,194687,12070,2702,2354,1156,2702,2351,1153,99,100,0,500,2726;
@400000005e33dca935dde2d0 #d,-,18,2700,2350,1154,48,0,194963,12087,2702,2351,1155,2700,2350,1153,99,100,0,500,2726;
@400000005e33dca935e8c820 #d,-,18,2699,2353,1155,49,0,194934,12085,2700,2353,1156,2699,2350,1154,99,100,0,500,2724;
@400000005e33dcab35f75659 #d,-,18,2699,2352,1187,49,0,194639,12067,2699,2353,1187,2699,2351,1155,99,100,0,500,2726;
@400000005e33dcab3601ab4d #d,-,18,2702,2351,1157,50,0,194622,12066,2702,2352,1187,2699,2350,1147,98,100,0,500,2755;
@400000005e33dcad360c74ac #d,-,18,2700,2353,1155,51,0,194597,12065,2702,2353,1157,2700,2350,1154,99,100,0,500,2726;
@400000005e33dcad3617bf80 #d,-,18,2700,2351,1155,52,0,194577,12063,2700,2353,1156,2700,2351,1154,98,100,0,500,2728;
@400000005e33dcaf3625e0c1 #d,-,18,2699,2353,1156,52,0,194555,12062,2700,2353,1156,2699,2350,1154,99,100,0,500,2726;
@400000005e33dcaf36304857 #d,-,18,2698,2353,1185,53,0,194553,12062,2699,2354,1185,2698,2353,1154,98,100,0,500,2728;
@400000005e33dcb1363ff834 #d,-,18,2701,2352,1156,54,0,194542,12061,2701,2353,1187,2698,2351,1147,97,100,0,500,2757;
@400000005e33dcb1364a1636 #d,-,18,2700,2353,1155,55,0,194522,12060,2701,2353,1157,2700,2351,1154,99,100,0,500,2724;
@400000005e33dcb3365b5fdb #d,-,18,2700,2353,1153,55,0,194501,12059,2700,2354,1156,2700,2353,1153,99,100,0,500,2726;
@400000005e33dcb33666e914 #d,-,18,2699,2352,1154,56,0,194739,12073,2700,2353,1155,2699,2351,1153,99,100,0,500,2724;
@400000005e33dcb536814ec1 #d,-,18,2814,2351,1699,57,0,195108,12096,2814,2353,1700,2699,2351,1153,100,100,0,500,2814;
@400000005e33dcb53692fdea #d,-,18,3895,2354,1625,58,0,196414,12177,3895,2354,1699,2814,2350,1625,100,100,0,500,3895;
@400000005e33dcb736acef2d #d,-,18,3841,2354,1647,59,0,197193,12225,3895,2354,1651,3841,2350,1623,99,100,0,500,3858;
@400000005e33dcb736bf1edb #d,-,18,3844,2354,1655,60,0,198456,12304,3844,2355,1655,3841,2353,1642,98,100,0,500,3887;
@400000005e33dcb936d0bf1d #d,-,18,3848,2356,1650,61,0,199447,12365,3848,2357,1655,3844,2354,1646,98,100,0,500,3896;
@400000005e33dcb936db6d7a #d,-,18,3852,2352,1660,62,0,200180,12411,3852,2356,1660,3848,2352,1650,98,100,0,500,3899;
@400000005e33dcbb36f3abd0 #d,-,18,3916,2352,1672,63,0,201163,12472,3916,2353,1685,3852,2351,1648,99,100,0,500,3933;
@400000005e33dcbb3703f823 #d,-,18,3915,2353,1661,64,0,202120,12531,3916,2354,1686,3915,2352,1655,99,100,0,500,3933;
@400000005e33dcbd37151e64 #d,-,18,3914,2352,1657,66,0,203045,12588,3915,2354,1668,3914,2351,1657,99,100,0,500,3920;
@400000005e33dcbd371f9e30 #d,-,18,3912,2352,1671,67,0,203954,12645,3914,2353,1671,3912,2351,1657,99,100,0,500,3919;
@400000005e33dcbf37380c05 #d,-,18,3912,2350,1676,68,0,204845,12700,3912,2353,1676,3912,2350,1663,99,100,0,500,3935;
@400000005e33dcbf3748832f #d,-,18,3918,2353,1660,69,0,205744,12756,3918,2353,1712,3912,2349,1654,98,100,0,500,3974;
@400000005e33dcc13759e7d7 #d,-,18,3917,2353,1667,70,0,206601,12809,3918,2354,1674,3917,2352,1660,99,100,0,500,3931;
@400000005e33dcc137648b07 #d,-,18,3917,2353,1672,71,0,207438,12861,3917,2354,1674,3917,2352,1664,99,100,0,500,3935;
@400000005e33dcc3377cb213 #d,-,18,3917,2353,1678,72,0,208253,12911,3917,2354,1678,3917,2353,1663,99,100,0,500,3940;
@400000005e33dcc3378cfe67 #d,-,18,3919,2354,1662,73,0,209060,12961,3919,2354,1688,3917,2353,1662,99,100,0,500,3954;
@400000005e33dcc537a6cb57 #d,-,18,3923,2354,1664,74,0,209871,13012,3923,2355,1708,3919,2354,1662,99,100,0,500,3961;
@400000005e33dcc537b2321b #d,-,18,3923,2354,1677,75,0,210642,13059,3923,2355,1677,3923,2354,1664,99,100,0,500,3951;
@400000005e33dcc737c9a569 #d,-,18,3925,2354,1674,76,0,211403,13107,3925,2355,1688,3923,2354,1667,99,100,0,500,3961;
@400000005e33dcc737d9f930 #d,-,18,3926,2355,1669,78,0,212145,13153,3926,2355,1679,3925,2353,1668,99,100,0,500,3949;
@400000005e33dcc937ea5ccc #d,-,18,3927,2355,1677,79,0,212882,13198,3927,2356,1686,3926,2354,1669,99,100,0,500,3951;
@400000005e33dcc937f48241 #d,-,18,3931,2356,1674,80,0,213620,13244,3931,2356,1706,3927,2355,1674,98,100,0,500,3976;
@400000005e33dccb380c0564 #d,-,18,3933,2355,1677,81,0,214320,13287,3933,2356,1678,3931,2355,1673,98,100,0,500,3974;
@400000005e33dccb381c9791 #d,-,18,3935,2356,1672,82,0,215009,13330,3935,2356,1683,3933,2354,1672,99,100,0,500,3960;
@400000005e33dccd382d60b0 #d,-,18,3935,2356,1679,83,0,215687,13372,3935,2357,1682,3935,2356,1672,99,100,0,500,3954;
@400000005e33dccd38373c93 #d,-,18,3935,2354,1683,84,0,216348,13413,3935,2356,1683,3935,2353,1672,99,100,0,500,3960;
@400000005e33dccf38493db0 #d,-,18,3938,2352,1674,85,0,217016,13455,3938,2354,1704,3935,2351,1674,99,100,0,500,3974;
@400000005e33dccf3854da78 #d,-,18,3942,2352,1674,86,0,217665,13495,3942,2353,1701,3938,2352,1671,98,100,0,500,3986;
@400000005e33dcd138675c1b #d,-,18,3941,2352,1688,87,0,218296,13534,3942,2353,1688,3941,2352,1673,99,100,0,500,3963;
@400000005e33dcd13872af51 #d,-,18,3943,2353,1688,88,0,218912,13572,3943,2353,1688,3941,2352,1676,99,100,0,500,3972;
@400000005e33dcd338852980 #d,-,18,3944,2353,1679,90,0,219517,13610,3944,2353,1688,3943,2352,1677,99,100,0,500,3972;
@400000005e33dcd33890bde7 #d,-,18,3945,2351,1690,91,0,220139,13648,3945,2353,1719,3944,2351,1679,99,100,0,500,3968;
@400000005e33dcd538a2ced9 #d,-,18,3950,2353,1689,92,0,220732,13685,3950,2353,1701,3945,2350,1674,98,100,0,500,4001;
@400000005e33dcd538ae15f3 #d,-,18,3951,2354,1689,93,0,221307,13721,3951,2354,1689,3950,2353,1681,99,100,0,500,3983;
@400000005e33dcd738c03a75 #d,-,18,3952,2353,1683,94,0,221877,13756,3952,2355,1693,3951,2353,1682,99,100,0,500,3983;
@400000005e33dcd738cbeacb #d,-,18,3953,2352,1687,95,0,222440,13791,3953,2353,1692,3952,2352,1683,99,100,0,500,3976;
@400000005e33dcd938e69740 #d,-,18,3954,2352,1715,96,0,223012,13826,3954,2353,1724,3953,2351,1683,99,100,0,500,3979;
@400000005e33dcd938f6a43f #d,-,18,3959,2353,1687,97,0,223545,13859,3959,2353,1715,3954,2351,1679,98,100,0,500,4011;
@400000005e33dcdb39073ddf #d,-,18,3959,2352,1681,98,0,224076,13892,3959,2353,1691,3959,2352,1681,99,100,0,500,3977;
@400000005e33dcdb3912d6ee #d,-,18,3960,2355,1689,99,0,224612,13925,3960,2355,1708,3959,2352,1681,99,100,0,500,3983;
@400000005e33dcdd392a33e2 #d,-,18,3960,2353,1697,101,0,225319,13969,3960,2355,1698,3960,2353,1681,99,100,0,500,3990;
@400000005e33dcdd393a732b #d,-,18,3962,2353,1718,102,0,225651,13990,3962,2353,1718,3960,2352,1689,99,100,0,500,3993;
@400000005e33dcdf394bb1a3 #d,-,18,3967,2353,1687,103,0,226152,14021,3967,2355,1718,3962,2352,1687,98,100,0,500,4013;
@400000005e33dcdf39566000 #d,-,18,3966,2351,1697,104,0,226835,14063,3967,2353,1698,3966,2351,1687,99,100,0,500,3984;
@400000005e33dce1396dd7f6 #d,-,18,3967,2353,1694,105,0,227126,14081,3967,2353,1697,3966,2351,1686,99,100,0,500,3990;
@400000005e33dce1397e2bbd #d,-,18,3967,2354,1688,106,0,227600,14111,3967,2354,1696,3967,2352,1686,99,100,0,500,3990;
@400000005e33dce3398ee507 #d,-,18,3967,2353,1718,107,0,228083,14141,3967,2354,1718,3967,2352,1688,99,100,0,500,3984;
@400000005e33dce339994529 #d,-,18,3970,2354,1695,108,0,228548,14169,3970,2355,1718,3967,2352,1683,98,100,0,500,4013;
@400000005e33dce539b164c3 #d,-,18,3970,2353,1691,109,0,228996,14197,3970,2355,1695,3970,2353,1685,99,100,0,500,3988;
@400000005e33dce539c189f8 #d,-,18,3970,2355,1685,110,0,229438,14225,3970,2355,1695,3970,2352,1684,99,100,0,500,3986;
@400000005e33dce739dc64fe #d,-,18,3969,2352,1689,112,0,229878,14252,3970,2355,1695,3969,2352,1685,99,100,0,500,3981;
@400000005e33dce739ef5bfa #d,-,18,3969,2353,1724,113,0,230497,14290,3969,2354,1724,3969,2352,1686,99,100,0,500,3984;
@400000005e33dce93a01e246 #d,-,18,3972,2353,1572,114,0,230711,14304,3972,2353,1728,3969,2351,1572,98,100,0,500,4018;
@400000005e33dce93a0d348c #d,-,18,3759,2350,1591,115,0,231167,14332,3972,2355,1599,3759,2350,1554,98,100,0,500,3799;
