@400000005e22b91826dc7c68 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e22b9191522c7ca #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e22ba952b6db8b0 #d,-,18,3028,2348,1294,308,1,211334,13102,3029,2348,1297,3028,2347,1294,99,99,0,500,3048;
@400000005e22ba952b78959e #d,-,18,3028,2348,1294,309,1,211292,13100,3028,2349,1298,3028,2348,1294,99,99,0,500,3050;
@400000005e22ba972b816bcd #d,-,18,3027,2348,1308,310,1,211363,13104,3028,2348,1308,3027,2348,1293,99,99,0,500,3050;
@400000005e22ba972b88035b #d,-,18,3030,2346,1297,311,1,211381,13105,3030,2348,1327,3027,2345,1287,98,99,0,500,3080;
@400000005e22ba992b90ec2a #d,-,18,3029,2347,1295,312,1,211340,13103,3030,2347,1297,3029,2345,1293,99,99,0,500,3047;
@400000005e22ba992b984ec0 #d,-,18,3028,2347,1294,312,1,211409,13107,3029,2347,1297,3028,2346,1294,99,99,0,500,3048;
@400000005e22ba9b2ba124ef #d,-,18,3027,2346,1295,313,1,211423,13108,3028,2347,1297,3027,2346,1294,99,99,0,500,3050;
@400000005e22ba9b2babb3a1 #d,-,18,3026,2345,1298,314,1,211436,13109,3027,2346,1298,3026,2345,1294,99,99,0,500,3050;
@400000005e22ba9d2bb8df05 #d,-,18,3030,2347,1293,315,1,211401,13106,3030,2347,1329,3026,2344,1286,98,99,0,500,3075;
@400000005e22ba9d2bc3db9d #d,-,18,3028,2347,1295,316,1,211414,13107,3030,2347,1298,3028,2346,1293,99,99,0,500,3052;
@400000005e22ba9f2bd4b84b #d,-,18,3028,2347,1295,317,1,211428,13108,3028,2347,1297,3028,2346,1294,99,99,0,500,3050;
@400000005e22ba9f2bdf5319 #d,-,18,3027,2346,1294,317,1,211496,13112,3028,2347,1297,3027,2346,1294,99,99,0,500,3050;
@400000005e22baa12bef7fc2 #d,-,18,3026,2346,1293,318,1,211509,13113,3027,2347,1297,3026,2346,1293,99,99,0,500,3048;
@400000005e22baa12bfa0abb #d,-,18,3029,2345,1291,319,1,211473,13111,3029,2346,1328,3026,2344,1290,98,99,0,500,3070;
@400000005e22baa32c0ab7ea #d,-,18,3028,2348,1296,320,1,211540,13115,3029,2348,1298,3028,2345,1291,99,99,0,500,3057;
@400000005e22baa32c150cde #d,-,18,3027,2347,1295,321,1,211500,13113,3028,2348,1297,3027,2347,1294,99,99,0,500,3050;
@400000005e22baa52c1e2085 #d,-,18,3027,2346,1296,322,1,211513,13113,3027,2348,1299,3027,2345,1294,99,99,0,500,3050;
@400000005e22baa52c24b813 #d,-,18,3026,2345,1297,322,2,211526,13114,3027,2346,1299,3026,2344,1296,99,99,0,500,3050;
@400000005e22baa72c2e4974 #d,-,18,3028,2344,1289,323,2,211545,13115,3028,2345,1331,3026,2344,1289,98,99,0,500,3063;
@400000005e22baa72c37eaaa #d,-,18,3029,2345,1298,324,2,211558,13116,3029,2345,1300,3028,2343,1289,98,99,0,500,3066;
@400000005e22baa92c418af2 #d,-,18,3028,2342,1298,325,2,211571,13117,3029,2345,1299,3028,2342,1296,99,99,0,500,3052;
@400000005e22baa92c4c975f #d,-,18,3027,2345,1297,326,2,211584,13118,3028,2345,1299,3027,2341,1296,99,99,0,500,3050;
@400000005e22baab2c56fb3a #d,-,18,3027,2344,1294,327,2,211597,13119,3027,2346,1300,3027,2344,1294,99,99,0,499,3052;
@400000005e22baab2c6153e9 #d,-,18,3028,2346,1292,327,2,211615,13120,3028,2346,1329,3027,2343,1292,99,99,0,500,3057;
@400000005e22baad2c727670 #d,-,18,3029,2346,1296,328,2,211628,13120,3029,2346,1300,3028,2345,1289,98,99,0,500,3070;
@400000005e22baad2c7cd692 #d,-,18,3028,2345,1296,329,2,211640,13121,3029,2348,1298,3028,2345,1295,99,99,0,500,3052;
@400000005e22baaf2c8b1ef1 #d,-,18,3028,2345,1296,330,2,211653,13122,3028,2346,1298,3028,2345,1294,99,99,0,500,3048;
@400000005e22baaf2c95d96a #d,-,18,3027,2346,1295,331,2,211665,13123,3028,2346,1298,3027,2345,1295,99,99,0,500,3050;
@400000005e22bab12ca5def5 #d,-,18,3027,2345,1303,332,2,211684,13124,3027,2346,1329,3027,2345,1294,99,99,0,500,3050;
@400000005e22bab12cb02b88 #d,-,18,3029,2345,1296,332,2,211695,13125,3029,2345,1303,3027,2344,1289,98,99,0,500,3077;
@400000005e22bab32cc07f4f #d,-,18,3028,2345,1297,333,2,211707,13125,3029,2346,1298,3028,2344,1295,99,99,0,500,3050;
@400000005e22bab32ccadf71 #d,-,18,3027,2346,1297,334,2,211772,13129,3028,2346,1297,3027,2345,1294,99,99,0,500,3050;
@400000005e22bab52cdaaa50 #d,-,18,3027,2347,1296,335,2,211783,13130,3027,2347,1298,3027,2345,1294,99,99,0,500,3050;
@400000005e22bab52ce5a6e8 #d,-,18,3026,2346,1314,336,2,211801,13131,3027,2347,1329,3026,2346,1294,99,99,0,500,3047;
@400000005e22bab72cf031e1 #d,-,18,3029,2347,1294,337,2,211761,13129,3029,2347,1314,3026,2346,1288,98,99,0,500,3077;
@400000005e22bab72cfab1ad #d,-,18,3028,2347,1295,338,2,211824,13133,3029,2348,1297,3028,2347,1294,99,99,0,500,3050;
@400000005e22bab92d09150e #d,-,18,3027,2347,1251,338,2,211777,13130,3028,2347,1297,3027,2346,1241,99,99,0,500,3050;
@400000005e22bab92d144126 #d,-,18,3022,2347,1294,339,2,211789,13130,3027,2347,1307,3022,2346,1251,100,99,0,500,3022;
@400000005e22babb2d22b816 #d,-,18,3021,2346,1326,340,2,211857,13135,3022,2347,1327,3021,2346,1294,99,99,0,500,3048;
@400000005e22babb2d2d4a82 #d,-,18,3025,2346,1297,341,2,211817,13132,3025,2347,1326,3021,2346,1287,98,99,0,500,3077;
@400000005e22babd2d38dc1e #d,-,18,3025,2347,1297,342,2,211829,13133,3025,2347,1297,3025,2346,1293,99,99,0,500,3050;
@400000005e22babd2d432c6a #d,-,18,3024,2349,1295,343,2,211841,13134,3025,2349,1297,3024,2347,1294,99,99,0,500,3048;
@400000005e22babf2d51bf4b #d,-,18,3024,2349,1294,343,2,211852,13134,3024,2349,1296,3024,2348,1293,99,99,0,500,3050;
@400000005e22babf2d5cc710 #d,-,18,3023,2349,1326,344,2,211867,13135,3024,2349,1326,3023,2348,1293,99,99,0,500,3047;
@400000005e22bac12d688af6 #d,-,18,3027,2349,1296,345,2,211879,13136,3027,2349,1326,3023,2348,1287,98,99,0,500,3079;
@400000005e22bac12d731235 #d,-,18,3026,2348,1295,346,2,211891,13137,3027,2349,1296,3026,2348,1293,99,99,0,500,3048;
@400000005e22bac32d81cb45 #d,-,18,3025,2348,1296,347,2,211902,13137,3026,2348,1296,3025,2347,1293,99,99,0,500,3048;
@400000005e22bac32d8cdf26 #d,-,18,3025,2348,1295,348,2,211913,13138,3025,2348,1297,3025,2347,1293,99,99,0,500,3048;
@400000005e22bac52d9d626c #d,-,18,3024,2348,1322,348,2,211926,13139,3025,2349,1322,3024,2348,1293,99,99,0,500,3048;
@400000005e22bac52da7f4d8 #d,-,18,3027,2348,1295,349,2,211940,13140,3027,2348,1327,3024,2347,1288,98,99,0,500,3080;
@400000005e22bac72db38673 #d,-,18,3026,2348,1295,350,2,211951,13140,3027,2348,1296,3026,2347,1294,99,99,0,500,3047;
@400000005e22bac72dbdda7a #d,-,18,3026,2348,1296,351,2,211961,13141,3026,2348,1296,3026,2348,1292,99,99,0,500,3050;
@400000005e22bac92dcd2c46 #d,-,18,3025,2348,1293,352,2,211972,13142,3026,2348,1296,3025,2348,1292,99,99,0,500,3047;
@400000005e22bac92dd82c98 #d,-,18,3024,2347,1314,353,2,211984,13143,3025,2350,1314,3024,2347,1293,99,99,0,500,3048;
@400000005e22bacb2de8d6fb #d,-,18,3028,2349,1296,353,2,211999,13143,3028,2349,1326,3024,2347,1287,98,99,0,500,3080;
@400000005e22bacb2df35e3b #d,-,18,3027,2350,1294,354,2,212009,13144,3028,2350,1297,3027,2349,1293,99,99,0,500,3047;
@400000005e22bacd2e02b3c1 #d,-,18,3026,2350,1295,355,2,212020,13145,3027,2350,1296,3026,2349,1293,99,99,0,500,3048;
@400000005e22bacd2e0cf8e1 #d,-,18,3025,2349,1295,356,2,212030,13145,3026,2350,1297,3025,2349,1293,99,99,0,500,3048;
@400000005e22bacf2e1b871a #d,-,18,3025,2349,1302,357,2,212041,13146,3025,2349,1302,3025,2348,1294,99,99,0,500,3050;
@400000005e22bacf2e26876b #d,-,18,3028,2348,1293,358,2,212056,13147,3028,2349,1326,3025,2348,1288,98,99,0,500,3077;
@400000005e22bad12e36a086 #d,-,18,3027,2348,1295,358,2,212067,13148,3028,2349,1297,3027,2348,1293,99,99,0,500,3048;
@400000005e22bad12e4133e0 #d,-,18,3026,2349,1294,359,2,212077,13148,3027,2349,1296,3026,2348,1293,99,99,0,500,3048;
@400000005e22bad32e4ca98b #d,-,18,3026,2348,1294,360,2,212087,13149,3026,2349,1295,3026,2348,1292,99,99,0,500,3048;
@400000005e22bad32e5705f3 #d,-,18,3025,2350,1295,361,2,212097,13150,3026,2350,1295,3025,2347,1293,99,99,0,500,3048;
@400000005e22bad52e6447b0 #d,-,18,3028,2348,1289,362,2,212112,13150,3028,2350,1328,3025,2348,1287,98,99,0,500,3070;
@400000005e22bad52e6f2d00 #d,-,18,3027,2349,1294,363,2,212122,13151,3028,2350,1297,3027,2347,1289,99,99,0,500,3054;
@400000005e22bad72e8014db #d,-,18,3026,2346,1296,363,2,212132,13152,3027,2349,1297,3026,2346,1293,99,99,0,500,3048;
@400000005e22bad72e8a94a7 #d,-,18,3025,2347,1297,364,2,212143,13152,3026,2347,1298,3025,2346,1294,99,99,0,500,3050;
@400000005e22bad92e955ef5 #d,-,18,3025,2348,1295,365,2,212152,13153,3025,2348,1297,3025,2347,1294,99,99,0,500,3047;
@400000005e22bad92ea02c0d #d,-,18,3027,2349,1289,366,2,212167,13154,3027,2349,1328,3025,2348,1288,98,99,0,500,3066;
@400000005e22badb2eb09f7e #d,-,18,3027,2351,1293,367,2,212224,13157,3027,2351,1295,3027,2349,1289,98,99,0,500,3061;
@400000005e22badb2ebb2a77 #d,-,18,3026,2348,1294,368,2,212234,13158,3027,2351,1296,3026,2348,1292,99,99,0,500,3048;
@400000005e22badd2ecb2c49 #d,-,18,3026,2349,1293,368,2,212197,13156,3026,2350,1295,3026,2348,1292,99,99,0,500,3050;
@400000005e22badd2ed5ab27 #d,-,18,3025,2350,1294,369,2,212253,13159,3026,2350,1294,3025,2349,1292,99,99,0,500,3047;
@400000005e22badf2ee61ade #d,-,18,3026,2352,1286,370,2,212221,13157,3026,2352,1326,3025,2349,1286,98,99,0,500,3057;
@400000005e22badf2ef0729e #d,-,18,3027,2352,1293,371,2,212277,13161,3027,2352,1296,3026,2351,1286,98,99,0,500,3068;
@400000005e22bae12efd86b9 #d,-,18,3026,2351,1291,372,2,212286,13161,3027,2352,1295,3026,2350,1291,99,99,0,500,3050;
@400000005e22bae12f086c08 #d,-,18,3026,2351,1293,373,2,212249,13159,3026,2351,1294,3026,2350,1291,99,99,0,500,3047;
@400000005e22bae32f182e85 #d,-,18,3025,2352,1293,374,2,212259,13160,3026,2352,1294,3025,2349,1291,99,99,0,500,3050;
@400000005e22bae32f22a236 #d,-,18,3025,2351,1295,374,2,212273,13160,3025,2352,1328,3025,2351,1292,99,99,0,500,3050;
@400000005e22bae52f2da376 #d,-,18,3027,2348,1294,375,2,212282,13161,3027,2351,1297,3025,2347,1286,98,99,0,500,3073;
@400000005e22bae52f38cae6 #d,-,18,3027,2350,1294,376,2,212292,13162,3027,2350,1295,3027,2348,1292,99,99,0,500,3050;
@400000005e22bae72f440d57 #d,-,18,3026,2350,1292,377,2,212301,13162,3027,2350,1295,3026,2349,1292,99,99,0,500,3048;
@400000005e22bae72f4ecf43 #d,-,18,3025,2350,1293,378,2,212310,13163,3026,2350,1294,3025,2349,1291,99,99,0,500,3048;
@400000005e22bae92f5ee85d #d,-,18,3025,2350,1308,378,2,212324,13164,3025,2350,1326,3025,2349,1292,99,99,0,500,3048;
@400000005e22bae92f693c63 #d,-,18,3027,2350,1294,379,2,212333,13164,3027,2350,1308,3025,2349,1286,98,99,0,500,3077;
@400000005e22baeb2f74970c #d,-,18,3027,2350,1292,380,2,212342,13165,3027,2351,1294,3027,2350,1291,99,99,0,500,3050;
@400000005e22baeb2f7f975e #d,-,18,3026,2351,1293,381,2,212352,13165,3027,2351,1295,3026,2350,1292,99,99,0,500,3048;
@400000005e22baed2f8c686a #d,-,18,3025,2351,1286,382,2,212361,13166,3026,2351,1295,3025,2350,1286,99,99,0,500,3050;
@400000005e22baed2f96c88c #d,-,18,2958,2349,1312,383,2,212357,13166,3025,2351,1317,2958,2349,1211,98,99,0,500,3002;
@400000005e22baef2fa2d339 #d,-,18,2961,2350,1293,383,2,212365,13166,2961,2350,1312,2958,2349,1282,98,99,0,500,3004;
@400000005e22baef2faddeb8 #d,-,18,3024,2351,1294,384,2,212374,13167,3024,2351,1295,2961,2350,1292,99,99,0,500,3052;
@400000005e22baf12fba5ebf #d,-,18,3023,2350,1292,385,2,212383,13167,3024,2351,1295,3023,2350,1291,99,99,0,500,3048;
@400000005e22baf12fc4b2c5 #d,-,18,3023,2350,1292,386,2,212392,13168,3023,2351,1295,3023,2350,1292,99,99,0,500,3048;
@400000005e22baf32fd05f62 #d,-,18,3022,2351,1326,387,2,212405,13169,3023,2353,1327,3022,2350,1291,99,99,0,500,3048;
@400000005e22baf32fdb5752 #d,-,18,3026,2352,1295,388,2,212414,13169,3026,2352,1326,3022,2350,1286,98,99,0,500,3079;
@400000005e22baf52fe6f41a #d,-,18,3025,2350,1294,389,2,212423,13170,3026,2352,1295,3025,2350,1292,99,99,0,500,3048;
@400000005e22baf52ff158e4 #d,-,18,3025,2350,1294,389,2,212432,13170,3025,2351,1295,3025,2349,1292,99,99,0,500,3048;
@400000005e22baf72ffc1e8a #d,-,18,3024,2352,1292,390,2,212441,13171,3025,2352,1296,3024,2350,1292,99,99,0,500,3048;
@400000005e22baf73007326a #d,-,18,3024,2351,1325,391,2,212453,13172,3024,2352,1325,3024,2349,1292,99,99,0,500,3050;
@400000005e22baf93017c0dd #d,-,18,3027,2351,1295,392,2,212463,13172,3027,2351,1325,3024,2351,1287,98,99,0,500,3080;
@400000005e22baf93022112a #d,-,18,3026,2350,1295,393,2,212472,13173,3027,2351,1297,3026,2350,1293,99,99,0,500,3047;
@400000005e22bafb302ce6a4 #d,-,18,3026,2351,1292,394,2,212480,13173,3026,2351,1296,3026,2350,1292,99,99,0,500,3050;
@400000005e22bafb3037b865 #d,-,18,3025,2349,1294,394,2,212489,13174,3026,2351,1295,3025,2349,1292,99,99,0,500,3048;
@400000005e22bafd30482374 #d,-,18,3025,2349,1318,395,2,212499,13174,3025,2350,1318,3025,2349,1292,99,99,0,500,3048;
@400000005e22bafd3052a340 #d,-,18,3028,2349,1295,396,2,212510,13175,3028,2350,1327,3025,2348,1286,98,99,0,500,3082;
@400000005e22baff305d7059 #d,-,18,3027,2350,1296,397,2,212519,13176,3028,2350,1296,3027,2348,1293,99,99,0,500,3045;
@400000005e22baff306839b8 #d,-,18,3026,2349,1295,398,2,212571,13179,3027,2350,1296,3026,2349,1294,99,99,0,500,3048;
@400000005e22bb0130744466 #d,-,18,3026,2347,1295,399,2,212580,13179,3026,2349,1297,3026,2347,1293,99,99,0,500,3050;
@400000005e22bb01307e90f8 #d,-,18,3025,2346,1308,399,2,212589,13180,3026,2348,1308,3025,2346,1294,99,99,0,500,3048;
@400000005e22bb03308a21a5 #d,-,18,3029,2346,1295,400,2,212601,13181,3029,2347,1327,3025,2346,1287,98,99,0,500,3080;
@400000005e22bb033094ff81 #d,-,18,3027,2347,1296,401,2,212609,13181,3029,2347,1299,3027,2346,1294,99,99,0,500,3048;
@400000005e22bb0530a0d24e #d,-,18,3027,2350,1295,402,2,212574,13179,3027,2350,1296,3027,2347,1293,99,99,0,500,3048;
@400000005e22bb0530ab3270 #d,-,18,3026,2349,1296,403,2,212582,13180,3027,2350,1296,3026,2349,1293,99,99,0,500,3048;
@400000005e22bb0730b58764 #d,-,18,3025,2349,1296,404,2,212590,13180,3026,2349,1297,3025,2349,1292,99,99,0,500,3048;
@400000005e22bb0730bb5b5f #d,-,18,3029,2347,1292,404,2,212646,13184,3029,2349,1328,3025,2347,1289,98,99,0,500,3077;
@400000005e22bb0930cbca28 #d,-,18,3028,2346,1295,405,2,212611,13181,3029,2347,1298,3028,2346,1292,99,99,0,500,3052;
@400000005e22bb0930d64280 #d,-,18,3027,2346,1297,406,2,212619,13182,3028,2347,1297,3027,2345,1294,99,99,0,500,3048;
@400000005e22bb0b30e5edb5 #d,-,18,3026,2346,1295,407,2,212627,13182,3027,2347,1297,3026,2345,1295,99,99,0,500,3048;
@400000005e22bb0b30f134cf #d,-,18,3025,2348,1296,408,2,212635,13183,3026,2348,1297,3025,2346,1294,99,99,0,500,3048;
@400000005e22bb0d31017507 #d,-,18,3028,2349,1288,409,2,212647,13184,3028,2349,1329,3025,2347,1287,98,99,0,500,3066;
@400000005e22bb0d310bf3e4 #d,-,18,3027,2349,1294,409,2,212655,13184,3028,2349,1297,3027,2348,1288,99,99,0,500,3057;
@400000005e22bb0f311b5940 #d,-,18,3026,2348,1294,410,2,212663,13185,3027,2349,1296,3026,2348,1293,99,99,0,500,3048;
@400000005e22bb0f3125be09 #d,-,18,3025,2350,1296,411,2,212670,13185,3026,2350,1296,3025,2347,1292,99,99,0,500,3047;
@400000005e22bb1131356585 #d,-,18,3025,2349,1293,412,2,212678,13186,3025,2350,1296,3025,2348,1292,99,99,0,500,3048;
@400000005e22bb1131405601 #d,-,18,3026,2349,1286,413,2,212690,13186,3026,2349,1326,3025,2347,1286,98,99,0,500,3059;
@400000005e22bb1331503cd1 #d,-,18,3027,2350,1293,414,2,212698,13187,3027,2350,1298,3026,2348,1286,98,99,0,500,3064;
@400000005e22bb13315acb84 #d,-,18,3026,2348,1294,414,2,212705,13187,3027,2350,1296,3026,2348,1293,99,99,0,500,3050;
@400000005e22bb15316b27ac #d,-,18,3026,2348,1297,415,2,212713,13188,3026,2348,1297,3026,2347,1293,99,99,0,500,3048;
@400000005e22bb153175a68a #d,-,18,3025,2348,1297,416,2,212721,13188,3026,2349,1297,3025,2347,1293,99,99,0,500,3050;
@400000005e22bb173180934d #d,-,18,3026,2350,1292,417,2,212733,13189,3026,2350,1327,3025,2347,1292,99,99,0,500,3056;
@400000005e22bb17318b948d #d,-,18,3027,2349,1293,418,2,212740,13189,3027,2350,1297,3026,2349,1288,98,99,0,500,3072;
@400000005e22bb19319861e0 #d,-,18,3027,2348,1293,419,2,212790,13192,3027,2349,1296,3027,2347,1293,99,99,0,500,3048;
@400000005e22bb1931a2f092 #d,-,18,3026,2347,1295,420,2,212797,13193,3027,2348,1296,3026,2347,1293,99,99,0,500,3048;
@400000005e22bb1b31add228 #d,-,18,3025,2350,1255,420,2,212760,13191,3026,2350,1295,3025,2347,1255,99,99,0,500,3047;
@400000005e22bb1b31b8c65f #d,-,18,2967,2349,1299,421,2,212768,13191,3025,2350,1337,2967,2349,1236,99,99,0,500,2991;
@400000005e22bb1d31c90a50 #d,-,18,3048,2349,1294,422,2,212816,13194,3048,2350,1299,2967,2349,1286,98,99,0,500,3082;
@400000005e22bb1d31d38663 #d,-,18,3044,2349,1295,423,2,212823,13195,3048,2349,1296,3044,2348,1292,99,99,0,500,3048;
@400000005e22bb1f31deffc7 #d,-,18,3042,2349,1293,424,2,212789,13192,3044,2350,1296,3042,2348,1293,99,99,0,500,3050;
@400000005e22bb1f31e953cd #d,-,18,3039,2347,1295,425,2,212797,13193,3042,2349,1296,3039,2347,1293,99,99,0,500,3048;
@400000005e22bb2131f3b3ef #d,-,18,3037,2348,1316,425,2,212809,13194,3039,2349,1328,3037,2347,1293,99,99,0,500,3048;
@400000005e22bb2131fe08e4 #d,-,18,3038,2349,1295,426,2,212815,13194,3038,2349,1316,3037,2348,1287,98,99,0,500,3079;
@400000005e22bb23320ea72c #d,-,18,3036,2349,1295,427,2,212822,13195,3038,2349,1297,3036,2348,1293,99,99,0,500,3048;
@400000005e22bb233218feec #d,-,18,3034,2348,1295,428,2,212830,13195,3036,2350,1296,3034,2348,1292,99,99,0,500,3048;
@400000005e22bb2532272c49 #d,-,18,3032,2347,1295,429,2,212837,13195,3034,2348,1297,3032,2347,1293,99,99,0,500,3048;
@400000005e22bb25323238b6 #d,-,18,3031,2347,1326,430,2,212848,13196,3032,2348,1328,3031,2346,1294,99,99,0,500,3048;
@400000005e22bb27323e07c9 #d,-,18,3033,2347,1294,430,2,212855,13197,3033,2348,1326,3031,2346,1286,98,99,0,500,3079;
@400000005e22bb27324877c0 #d,-,18,3031,2348,1295,431,2,212862,13197,3033,2349,1297,3031,2347,1293,99,99,0,500,3047;
@400000005e22bb2932594852 #d,-,18,3030,2349,1294,432,2,212870,13197,3031,2349,1298,3030,2347,1294,99,99,0,500,3048;
@400000005e22bb293263a874 #d,-,18,3029,2349,1296,433,2,212877,13198,3030,2350,1296,3029,2348,1293,99,99,0,500,3048;
@400000005e22bb2b326fa706 #d,-,18,3028,2347,1326,434,2,212887,13199,3029,2350,1326,3028,2347,1293,99,99,0,500,3050;
@400000005e22bb2b327a78c7 #d,-,18,3031,2347,1295,435,2,212895,13199,3031,2349,1327,3028,2347,1288,98,99,0,500,3079;
@400000005e22bb2d3286a9a4 #d,-,18,3030,2347,1294,435,2,212902,13199,3031,2348,1297,3030,2346,1293,99,99,0,500,3047;
@400000005e22bb2d32910d7f #d,-,18,3028,2348,1295,436,2,212909,13200,3030,2348,1296,3028,2346,1293,99,99,0,500,3047;
@400000005e22bb2f32a0963f #d,-,18,3027,2349,1295,437,2,212915,13200,3028,2349,1297,3027,2348,1292,99,99,0,500,3047;
@400000005e22bb2f32ab92d7 #d,-,18,3026,2349,1321,438,2,212924,13201,3027,2350,1321,3026,2349,1294,99,99,0,500,3050;
@400000005e22bb3132b5fa6c #d,-,18,3029,2350,1233,439,2,212925,13201,3029,2350,1328,3026,2348,1228,98,99,0,500,3079;
@400000005e22bb3132bb616f #d,-,18,2910,2351,1239,440,2,212917,13200,3029,2351,1256,2910,2349,1233,98,99,0,500,2949;
@400000005e22bb3332c38f0c #d,-,18,2908,2352,1260,440,2,212947,13202,2910,2352,1260,2908,2351,1235,99,99,0,500,2927;
@400000005e22bb3332c8758a #d,-,18,2914,2349,1280,441,2,212951,13202,2914,2352,1293,2908,2349,1260,97,99,0,500,2977;
@400000005e22bb3532d28ee4 #d,-,18,2989,2352,1299,442,2,212955,13203,2989,2352,1299,2914,2349,1280,99,99,0,500,3018;
@400000005e22bb3532dd1acc #d,-,18,2993,2351,1284,443,2,212961,13203,2993,2352,1314,2989,2350,1274,98,99,0,500,3052;
@400000005e22bb3732ea9735 #d,-,18,2993,2352,1298,444,2,212927,13201,2993,2352,1298,2993,2350,1282,99,99,0,500,3022;
@400000005e22bb3732f55cdb #d,-,18,2996,2352,1287,445,2,212933,13201,2996,2352,1300,2993,2351,1285,98,99,0,500,3047;
@400000005e22bb393305a1bb #d,-,18,2997,2349,1290,445,2,212938,13202,2997,2352,1292,2996,2349,1287,98,99,0,500,3034;
@400000005e22bb3933102452 #d,-,18,2999,2350,1294,446,2,212944,13202,2999,2351,1294,2997,2348,1289,98,99,0,500,3039;
@400000005e22bb3b331af9cc #d,-,18,3005,2351,1300,447,2,212954,13203,3005,2352,1323,2999,2350,1283,97,99,0,500,3070;
@400000005e22bb3b3325d3ef #d,-,18,3008,2350,1291,448,2,212961,13203,3008,2352,1301,3005,2349,1289,98,99,0,500,3054;
@400000005e22bb3d3335e4a8 #d,-,18,3009,2350,1294,449,2,212968,13204,3009,2351,1297,3008,2350,1291,98,99,0,500,3045;
@400000005e22bb3d33405858 #d,-,18,3010,2351,1292,449,2,212974,13204,3010,2351,1295,3009,2349,1292,98,99,0,500,3050;
@400000005e22bb3f334f44a1 #d,-,18,3012,2351,1292,450,2,212981,13204,3012,2351,1296,3010,2351,1292,98,99,0,500,3048;
@400000005e22bb3f33599d50 #d,-,18,3016,2351,1289,451,2,212991,13205,3016,2351,1324,3012,2351,1286,98,99,0,500,3070;
@400000005e22bb413366d026 #d,-,18,3017,2351,1294,452,2,212998,13205,3017,2351,1297,3016,2351,1289,98,99,0,500,3057;
@400000005e22bb413371d432 #d,-,18,3017,2352,1293,453,2,213004,13206,3017,2352,1295,3017,2351,1291,99,99,0,500,3047;
@400000005e22bb433381de65 #d,-,18,3017,2350,1293,454,2,213010,13206,3017,2352,1294,3017,2349,1292,98,99,0,500,3048;
@400000005e22bb43338cc76e #d,-,18,3018,2350,1293,455,2,213017,13207,3018,2351,1295,3017,2349,1292,99,99,0,500,3048;
@400000005e22bb45339780f8 #d,-,18,3021,2351,1285,455,2,213027,13207,3021,2351,1328,3018,2349,1285,98,99,0,500,3061;
@400000005e22bb4533a26a02 #d,-,18,3022,2351,1295,456,2,213034,13208,3022,2351,1296,3021,2350,1285,98,99,0,500,3064;
@400000005e22bb4733b1bbce #d,-,18,3021,2351,1293,457,2,213078,13210,3022,2352,1295,3021,2351,1292,99,99,0,500,3047;
@400000005e22bb4733bc728d #d,-,18,3021,2350,1294,458,2,213046,13208,3021,2351,1294,3021,2349,1292,99,99,0,500,3050;
@400000005e22bb4933ccf12b #d,-,18,3021,2350,1292,459,2,213090,13211,3021,2351,1295,3021,2349,1285,99,99,0,500,3043;
@400000005e22bb4933d773c2 #d,-,18,3022,2352,1287,460,2,213063,13209,3022,2353,1325,3021,2350,1287,98,99,0,500,3057;
@400000005e22bb4b33e8b5f4 #d,-,18,3024,2351,1293,460,2,213106,13212,3024,2352,1294,3022,2351,1285,98,99,0,500,3068;
@400000005e22bb4b33f2fb14 #d,-,18,3023,2350,1293,461,2,213074,13210,3024,2351,1294,3023,2349,1291,99,99,0,500,3047;
@400000005e22bb4d3403a489 #d,-,18,3023,2350,1293,462,2,213080,13211,3023,2351,1295,3023,2350,1291,99,99,0,500,3047;
@400000005e22bb4d340e0d0c #d,-,18,3022,2352,1292,463,2,213086,13211,3023,2352,1294,3022,2350,1291,99,99,0,500,3048;
@400000005e22bb4f341def34 #d,-,18,3023,2351,1297,464,2,213097,13212,3023,2352,1325,3022,2351,1292,99,99,0,500,3050;
@400000005e22bb4f3428dbf7 #d,-,18,3025,2350,1292,465,2,213102,13212,3025,2351,1297,3023,2349,1286,98,99,0,500,3073;
@400000005e22bb5134393731 #d,-,18,3024,2350,1294,465,2,213108,13212,3025,2351,1294,3024,2350,1291,99,99,0,500,3047;
@400000005e22bb513443af89 #d,-,18,3024,2352,1294,466,2,213115,13213,3024,2352,1295,3024,2350,1291,99,99,0,500,3048;
@400000005e22bb533450bb42 #d,-,18,3023,2352,1293,467,2,213121,13213,3024,2352,1294,3023,2351,1292,99,99,0,500,3048;
@400000005e22bb53345b17aa #d,-,18,3023,2351,1312,468,2,213131,13214,3023,2352,1325,3023,2350,1291,99,99,0,500,3047;
@400000005e22bb55346b0145 #d,-,18,3026,2350,1292,469,2,213136,13214,3026,2351,1312,3023,2349,1285,98,99,0,500,3077;
@400000005e22bb553475a475 #d,-,18,3025,2352,1293,470,2,213142,13214,3026,2352,1294,3025,2350,1291,99,99,0,500,3047;
@400000005e22bb573486555e #d,-,18,3024,2352,1293,471,2,213148,13215,3025,2353,1294,3024,2351,1292,99,99,0,500,3047;
