@400000005e22b91826dc7c68 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e22b9191522c7ca #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e22b95f1e29aa22 #d,-,18,3026,2349,1296,52,0,195665,12131,3026,2350,1297,3026,2349,1294,99,98,0,500,3054;
@400000005e22b9611e3a4fdd #d,-,18,3028,2349,1288,53,0,195995,12151,3028,2349,1330,3026,2348,1287,98,98,0,500,3068;
@400000005e22b9611e44ac45 #d,-,18,3029,2348,1294,54,0,196283,12169,3029,2350,1297,3028,2348,1288,98,98,0,500,3064;
@400000005e22b9631e505c9c #d,-,18,3028,2349,1296,55,0,196566,12187,3029,2350,1297,3028,2348,1294,99,98,0,500,3052;
@400000005e22b9631e5b6461 #d,-,18,3027,2351,1295,55,0,196843,12204,3028,2351,1298,3027,2349,1294,99,98,0,500,3054;
@400000005e22b9651e6b9d26 #d,-,18,3027,2350,1296,56,0,197109,12220,3027,2351,1298,3027,2350,1295,99,98,0,500,3052;
@400000005e22b9651e766df8 #d,-,18,3029,2350,1290,57,0,197400,12238,3029,2351,1329,3027,2350,1290,98,98,0,500,3063;
@400000005e22b9671e83c8db #d,-,18,3030,2348,1295,58,0,197652,12254,3030,2350,1298,3029,2347,1289,98,98,0,500,3072;
@400000005e22b9671e8e209b #d,-,18,3029,2349,1294,59,0,197901,12269,3030,2350,1298,3029,2347,1294,99,98,0,500,3054;
@400000005e22b9691e9ca760 #d,-,18,3029,2351,1294,60,0,198392,12300,3029,2352,1297,3029,2349,1294,99,99,0,500,3052;
@400000005e22b9691ea72ae6 #d,-,18,3028,2352,1295,61,0,198378,12299,3029,2352,1298,3028,2351,1294,99,98,0,500,3054;
@400000005e22b96b1eb04335 #d,-,18,3029,2350,1311,61,0,198643,12315,3029,2352,1328,3028,2350,1294,99,99,0,500,3057;
@400000005e22b96b1eb71ce3 #d,-,18,3033,2350,1296,62,0,198868,12329,3033,2351,1311,3029,2350,1294,98,99,0,500,3091;
