@400000005e7b0e2629c0ad29 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e7b0e2718117c11 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e7b0e7521ab2c11 #d,-,18,2415,2363,1132,56,0,189959,11777,2415,2365,1133,2414,2363,1124,89,100,0,500,2713;
@400000005e7b0e7521b3edc3 #d,-,18,2416,2362,1127,56,0,189757,11764,2416,2364,1132,2415,2361,1123,89,100,0,500,2708;
@400000005e7b0e7721c239dc #d,-,18,2418,2361,1128,57,0,189557,11752,2418,2362,1134,2416,2361,1123,89,100,0,500,2708;
@400000005e7b0e7721cb6200 #d,-,18,2419,2363,1124,58,0,189363,11740,2419,2363,1129,2418,2361,1122,89,100,0,500,2708;
@400000005e7b0e7921d901cd #d,-,18,2420,2363,1128,58,0,189174,11728,2420,2364,1130,2419,2363,1123,89,100,0,500,2706;
@400000005e7b0e7921e1b0de #d,-,18,2421,2361,1131,59,0,188991,11717,2421,2363,1131,2420,2360,1122,89,100,0,500,2706;
@400000005e7b0e7b21ef5554 #d,-,18,2422,2361,1130,60,0,188815,11706,2422,2362,1133,2421,2361,1126,89,100,0,500,2711;
@400000005e7b0e7b21f888a5 #d,-,18,2422,2360,1129,60,0,188639,11695,2422,2361,1132,2422,2360,1124,89,100,0,500,2711;
@400000005e7b0e7d220741b5 #d,-,18,2423,2360,1128,61,0,188469,11685,2423,2360,1131,2422,2359,1125,89,100,0,500,2708;
@400000005e7b0e7d220ffbf3 #d,-,18,2423,2361,1126,62,0,188301,11674,2423,2362,1132,2423,2360,1123,89,100,0,500,2708;
@400000005e7b0e7f221ca317 #d,-,18,2424,2362,1130,63,0,188140,11664,2424,2363,1134,2423,2361,1125,89,100,0,500,2711;
@400000005e7b0e7f2225fd85 #d,-,18,2424,2363,1128,63,0,187981,11654,2424,2363,1131,2424,2362,1125,89,100,0,500,2708;
@400000005e7b0e812234b695 #d,-,18,2425,2364,1128,64,0,187826,11645,2425,2364,1131,2424,2363,1125,89,100,0,500,2711;
@400000005e7b0e81223d7cee #d,-,18,2425,2363,1130,65,0,187676,11635,2425,2364,1132,2425,2363,1126,89,100,0,500,2708;
@400000005e7b0e83224bdc96 #d,-,18,2425,2362,1129,65,0,187526,11626,2425,2363,1130,2425,2362,1126,89,100,0,500,2711;
@400000005e7b0e832254d181 #d,-,18,2426,2361,1129,66,0,187382,11617,2426,2363,1131,2425,2360,1128,89,100,0,500,2711;
@400000005e7b0e852263b1ae #d,-,18,2425,2360,1131,67,0,187243,11609,2426,2361,1134,2425,2359,1129,89,100,0,500,2711;
@400000005e7b0e85226c50ea #d,-,18,2427,2360,1133,67,0,187109,11600,2427,2361,1136,2425,2359,1128,89,100,0,500,2718;
@400000005e7b0e87227c1bc9 #d,-,18,2427,2361,1130,68,0,186972,11592,2427,2361,1133,2427,2360,1127,89,100,0,500,2713;
@400000005e7b0e87228589c6 #d,-,18,2848,2356,1734,69,0,187692,11636,2848,2361,1734,2427,2356,1129,95,100,0,500,2983;
@400000005e7b0e892293e1fb #d,-,18,3421,2358,1329,70,0,188036,11658,3421,2359,1736,2848,2355,1184,91,100,0,500,3739;
@400000005e7b0e892299ece8 #d,-,18,3016,2360,1198,71,0,188161,11666,3421,2360,1333,3016,2358,1198,93,100,0,500,3216;
@400000005e7b0e8b22a8ae5a #d,-,18,2902,2355,1713,71,0,188841,11708,3016,2361,1835,2902,2355,1172,95,100,0,500,3054;
@400000005e7b0e8b22b208c8 #d,-,18,3537,2358,1298,72,0,189166,11728,3537,2358,1773,2902,2355,1108,91,100,0,500,3886;
@400000005e7b0e8d22c09f62 #d,-,18,2974,2358,1163,73,0,189254,11733,3537,2358,1326,2974,2356,1163,93,100,0,500,3166;
@400000005e7b0e8d22c93e9e #d,-,18,3078,2357,1788,74,0,190030,11781,3078,2359,1884,2974,2356,1143,96,100,0,500,3194;
@400000005e7b0e8f22d9e814 #d,-,18,3413,2360,1304,75,0,190266,11796,3413,2361,1788,3078,2357,1150,90,100,0,500,3765;
@400000005e7b0e8f22e3b7da #d,-,18,2968,2359,1186,76,0,190300,11798,3413,2360,1323,2968,2358,1171,92,100,0,500,3204;
@400000005e7b0e9122f36b71 #d,-,18,3166,2357,1697,77,0,191128,11849,3166,2359,1856,2968,2355,1186,96,100,0,500,3294;
@400000005e7b0e9122fd07ff #d,-,18,3357,2359,1314,78,0,191281,11859,3357,2359,1697,3166,2356,1148,91,100,0,500,3649;
@400000005e7b0e93230c90be #d,-,18,2886,2361,1095,78,0,191235,11856,3357,2361,1316,2886,2359,1095,91,100,0,500,3166;
@400000005e7b0e932315d3e4 #d,-,18,2403,2360,1137,79,0,191025,11843,2886,2361,1161,2403,2360,1023,88,100,0,500,2718;
@400000005e7b0e9523249556 #d,-,18,2401,2359,1130,80,0,190868,11833,2403,2361,1137,2401,2358,1116,90,100,0,500,2663;
@400000005e7b0e95232d384b #d,-,18,2404,2359,1126,80,0,190715,11824,2404,2360,1132,2401,2359,1125,88,100,0,500,2708;
@400000005e7b0e97233a5b4d #d,-,18,2407,2358,1129,81,0,190567,11815,2407,2359,1134,2404,2358,1126,88,100,0,500,2708;
@400000005e7b0e972343872a #d,-,18,2409,2359,1130,82,0,190421,11806,2409,2359,1135,2407,2358,1126,88,100,0,500,2708;
@400000005e7b0e992352500f #d,-,18,2412,2360,1131,82,0,190281,11797,2412,2360,1134,2409,2359,1127,89,100,0,500,2708;
@400000005e7b0e99235ac82e #d,-,18,2414,2362,1128,83,0,190139,11788,2414,2362,1132,2412,2359,1126,89,100,0,500,2711;
@400000005e7b0e9b23683d24 #d,-,18,2416,2363,1126,84,0,189998,11779,2416,2363,1131,2414,2361,1126,89,100,0,500,2711;
@400000005e7b0e9b23719792 #d,-,18,2417,2363,1129,84,0,189864,11771,2417,2363,1132,2416,2362,1125,89,100,0,500,2706;
