@400000005e6744412738312f #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e6744421582c699 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e6744861ebf852c #d,-,18,3865,2339,1695,57,0,222742,13810,3865,2340,1695,3864,2339,1662,99,100,0,500,3903;
@400000005e6744861ec8ad50 #d,-,18,3941,2339,1671,58,0,223615,13864,3941,2341,1716,3865,2339,1657,99,100,0,500,3961;
@400000005e6744881ed72440 #d,-,18,3886,2339,1667,59,0,224426,13914,3941,2340,1673,3886,2339,1667,99,100,0,500,3912;
@400000005e6744881ee13e88 #d,-,18,3886,2340,1671,60,0,225217,13963,3886,2340,1673,3886,2338,1667,99,100,0,500,3913;
@400000005e67448a1ef087f3 #d,-,18,3887,2339,1670,61,0,225988,14011,3887,2340,1675,3886,2338,1670,99,100,0,500,3919;
@400000005e67448a1efa601c #d,-,18,3889,2340,1680,62,0,226747,14058,3889,2340,1680,3887,2339,1670,99,100,0,500,3919;
@400000005e67448c1f09d45e #d,-,18,3940,2339,1671,63,0,227511,14105,3940,2340,1707,3889,2339,1664,99,100,0,500,3960;
@400000005e67448c1f133ae8 #d,-,18,3935,2340,1674,64,0,228236,14150,3940,2340,1681,3935,2339,1671,100,100,0,500,3935;
@400000005e67448e1f21e157 #d,-,18,3931,2339,1670,65,0,228929,14193,3935,2340,1676,3931,2339,1670,100,100,0,500,3931;
@400000005e67448e1f2c5508 #d,-,18,3928,2340,1678,66,0,229611,14235,3931,2342,1680,3928,2339,1669,100,100,0,500,3928;
@400000005e6744901f3be53a #d,-,18,3926,2341,1687,67,0,230284,14277,3928,2341,1687,3926,2340,1676,99,100,0,500,3936;
@400000005e6744901f45347c #d,-,18,3929,2341,1676,69,0,231271,14338,3929,2342,1719,3926,2340,1674,98,100,0,500,3972;
@400000005e6744921f54a504 #d,-,18,3928,2340,1683,70,0,231913,14378,3929,2342,1686,3928,2340,1676,99,100,0,500,3947;
@400000005e6744921f5db5df #d,-,18,3927,2341,1677,71,0,232235,14398,3928,2341,1683,3927,2339,1675,99,100,0,500,3944;
@400000005e6744941f6c5b60 #d,-,18,3926,2340,1678,72,0,233135,14454,3927,2341,1683,3926,2340,1677,99,100,0,500,3938;
@400000005e6744941f75a5f9 #d,-,18,3924,2342,1672,73,0,233711,14490,3926,2342,1678,3924,2340,1671,99,100,0,500,3938;
@400000005e6744961f8513b7 #d,-,18,3924,2342,1672,74,0,234027,14509,3924,2343,1712,3924,2342,1672,99,100,0,500,3944;
@400000005e6744961f8e4707 #d,-,18,3924,2345,1676,75,0,234586,14544,3924,2345,1680,3924,2342,1671,99,100,0,500,3951;
@400000005e6744981f9d1fc1 #d,-,18,3923,2347,1676,76,0,235137,14578,3924,2347,1681,3923,2345,1672,99,100,0,500,3940;
@400000005e6744981fa7700e #d,-,18,3921,2345,1676,77,0,235669,14611,3923,2347,1676,3921,2345,1670,99,100,0,500,3935;
@400000005e67449a1fb6b6ae #d,-,18,3921,2345,1685,78,0,236197,14644,3921,2346,1685,3921,2345,1674,99,100,0,500,3938;
@400000005e67449a1fc024ab #d,-,18,3924,2346,1670,80,0,236748,14678,3924,2347,1715,3921,2344,1670,98,100,0,500,3967;
@400000005e67449c1fcfb4dd #d,-,18,3925,2345,1684,81,0,237257,14709,3925,2346,1686,3924,2345,1668,99,100,0,500,3963;
