@400000005e6899751cf51a25 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e6899760b444a9d #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e6899ca151f49b8 #d,-,18,2705,2374,1191,58,0,185008,11470,2779,2377,1270,2705,2374,1119,90,100,0,500,2974;
@400000005e6899ca15287d09 #d,-,18,2571,2376,1208,59,0,185019,11471,2705,2377,1231,2571,2374,1133,90,100,0,500,2853;
@400000005e6899cc15371b16 #d,-,18,2715,2374,1281,60,0,185220,11483,2715,2377,1304,2571,2374,1198,92,100,0,500,2931;
@400000005e6899cc1540ac77 #d,-,18,2807,2375,1216,60,0,185287,11487,2807,2377,1285,2715,2374,1118,91,100,0,500,3069;
@400000005e6899ce154d899f #d,-,18,2587,2378,1079,61,0,185229,11484,2807,2378,1216,2587,2374,1079,90,100,0,500,2858;
@400000005e6899ce15563c6a #d,-,18,2312,2377,1108,62,0,185210,11483,2587,2378,1142,2312,2375,1009,87,100,0,501,2644;
@400000005e6899d015635bb2 #d,-,18,2417,2376,1121,62,0,185077,11474,2417,2377,1123,2312,2374,1108,89,100,0,501,2687;
@400000005e6899d0156c77ba #d,-,18,2417,2376,1115,63,0,184740,11453,2417,2377,1125,2417,2374,1115,89,100,0,501,2699;
@400000005e6899d215798373 #d,-,18,2417,2374,1120,64,0,184617,11446,2417,2376,1125,2417,2374,1115,89,100,0,501,2701;
@400000005e6899d215822ddc #d,-,18,2417,2375,1122,64,0,184497,11438,2417,2375,1125,2417,2373,1118,89,100,0,501,2704;
@400000005e6899d4158f93ec #d,-,18,2417,2375,1121,65,0,184379,11431,2417,2375,1127,2417,2372,1116,89,100,0,500,2706;
@400000005e6899d41598692c #d,-,18,2418,2372,1123,66,0,184268,11424,2418,2375,1126,2417,2372,1119,89,100,0,500,2704;
@400000005e6899d615a7751f #d,-,18,2418,2373,1121,67,0,184157,11417,2418,2373,1125,2418,2371,1119,89,100,0,500,2704;
@400000005e6899d615b079df #d,-,18,2419,2372,1147,67,0,184250,11423,2419,2373,1147,2418,2372,1120,89,100,0,500,2706;
@400000005e6899d815beb269 #d,-,18,2551,2368,1293,68,0,184395,11432,2551,2372,1312,2419,2368,1147,91,100,0,500,2798;
