@400000005e33da4336d1f362 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e33da442530c889 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e33daa02fe86b6d #d,-,18,4489,2357,1941,87,0,250877,15554,4489,2357,1980,4488,2354,1933,96,100,0,500,4649;
@400000005e33daa02ff2a471 #d,-,18,4490,2356,1946,88,0,251394,15586,4490,2358,1981,4489,2353,1936,96,100,0,500,4649;
@400000005e33daa230020259 #d,-,18,4491,2356,1945,89,0,252171,15634,4491,2356,1979,4490,2354,1932,96,100,0,500,4647;
@400000005e33daa2300bce66 #d,-,18,4493,2356,1959,91,0,252932,15681,4493,2356,1974,4491,2354,1928,96,100,0,500,4649;
@400000005e33daa4301a4910 #d,-,18,4493,2355,1971,92,0,253948,15744,4493,2356,1985,4493,2354,1925,96,100,0,500,4645;
@400000005e33daa430233a41 #d,-,18,4494,2353,1977,93,0,254406,15773,4494,2356,1981,4493,2352,1934,96,100,0,500,4649;
@400000005e33daa6303166b0 #d,-,18,4496,2354,1986,94,0,255127,15817,4496,2355,1986,4494,2353,1941,96,100,0,500,4649;
@400000005e33daa6303af09e #d,-,18,4498,2353,1975,96,0,255838,15861,4498,2355,1987,4496,2353,1935,96,100,0,500,4664;
@400000005e33daa8304b2874 #d,-,18,4500,2354,1960,97,0,256794,15921,4500,2355,1989,4498,2353,1931,96,100,0,500,4664;
@400000005e33daa8305569da #d,-,18,4502,2353,1940,98,0,257215,15947,4502,2355,1980,4500,2353,1935,96,100,0,500,4664;
@400000005e33daaa30660733 #d,-,18,4505,2354,1943,99,0,257887,15989,4505,2356,1983,4502,2353,1940,96,100,0,500,4666;
@400000005e33daaa30709a8e #d,-,18,4506,2354,1944,101,0,258548,16029,4506,2355,1981,4505,2353,1943,96,100,0,500,4664;
@400000005e33daac3081c1be #d,-,18,4508,2353,1953,102,0,259198,16070,4508,2355,1981,4506,2352,1943,96,100,0,500,4666;
@400000005e33daac308bfe7b #d,-,18,4510,2352,1964,103,0,259834,16109,4510,2355,1972,4508,2352,1944,96,100,0,500,4666;
@400000005e33daae309cc2f3 #d,-,18,4510,2356,1956,104,0,260703,16163,4510,2356,1970,4510,2352,1943,96,100,0,500,4666;
@400000005e33daae30a6ed10 #d,-,18,4511,2355,1965,106,0,261313,16201,4511,2356,1969,4510,2352,1951,96,100,0,500,4666;
@400000005e33dab030b8751b #d,-,18,4512,2354,1962,107,0,261661,16222,4512,2355,1966,4511,2353,1952,96,100,0,500,4666;
@400000005e33dab030c313a3 #d,-,18,4513,2352,1962,108,0,262248,16259,4513,2354,1967,4512,2352,1953,96,100,0,500,4666;
@400000005e33dab230d2270a #d,-,18,4514,2352,1962,109,0,262823,16295,4514,2355,1967,4513,2351,1950,96,100,0,500,4666;
@400000005e33dab230db7291 #d,-,18,4514,2352,1956,111,0,263388,16330,4514,2354,1967,4514,2352,1954,96,100,0,500,4666;
@400000005e33dab430ea9d40 #d,-,18,4515,2352,1962,112,0,263943,16364,4515,2355,1966,4514,2352,1955,96,100,0,500,4664;
@400000005e33dab430f4af27 #d,-,18,4515,2352,1957,113,0,264487,16398,4515,2354,1965,4515,2352,1954,96,100,0,500,4666;
@400000005e33dab6310452e8 #d,-,18,4515,2355,1959,114,0,265023,16431,4515,2355,1968,4515,2352,1955,96,100,0,500,4664;
@400000005e33dab6310e3284 #d,-,18,4515,2354,1960,116,0,265545,16463,4515,2355,1965,4515,2353,1954,96,100,0,500,4664;
@400000005e33dab8311dbb44 #d,-,18,4515,2353,1958,117,0,266060,16495,4515,2355,1966,4515,2353,1955,96,100,0,500,4664;
@400000005e33dab8312799f1 #d,-,18,4515,2354,1960,118,0,266568,16527,4515,2355,1964,4515,2353,1951,96,100,0,500,4661;
@400000005e33daba31363446 #d,-,18,4515,2354,1959,119,0,267293,16572,4515,2356,1963,4515,2353,1951,96,100,0,500,4664;
@400000005e33daba313fbe33 #d,-,18,4515,2354,1966,121,0,267554,16588,4515,2355,1966,4515,2353,1950,96,100,0,500,4666;
@400000005e33dabc314f002b #d,-,18,4516,2354,1961,122,0,268034,16618,4516,2355,1966,4515,2352,1954,96,100,0,500,4664;
@400000005e33dabc3158f355 #d,-,18,4516,2355,1961,123,0,268507,16647,4516,2356,1966,4516,2353,1950,96,100,0,500,4666;
@400000005e33dabe31692b2b #d,-,18,4516,2356,1958,124,0,268972,16676,4516,2358,1963,4516,2355,1950,96,100,0,500,4661;
@400000005e33dabe3172faf2 #d,-,18,4516,2356,1954,126,0,269652,16718,4516,2358,1963,4516,2355,1948,96,100,0,500,4666;
@400000005e33dac031829afa #d,-,18,4516,2356,1956,127,0,269881,16732,4516,2358,1964,4516,2355,1948,96,100,0,500,4666;
@400000005e33dac0318d9b4c #d,-,18,4516,2357,1950,128,0,270323,16760,4516,2359,1964,4516,2356,1949,96,100,0,500,4664;
@400000005e33dac2319efd28 #d,-,18,4516,2358,1949,129,0,270759,16787,4516,2359,1963,4516,2357,1949,96,100,0,500,4664;
@400000005e33dac231a9ca41 #d,-,18,4516,2358,1952,131,0,271405,16827,4516,2359,1964,4516,2357,1947,96,100,0,500,4664;
@400000005e33dac431bba087 #d,-,18,4516,2357,1951,132,0,271611,16839,4516,2359,1963,4516,2357,1948,96,100,0,500,4664;
@400000005e33dac431c68d4a #d,-,18,4516,2357,1956,133,0,272027,16865,4516,2360,1965,4516,2357,1948,96,100,0,500,4661;
@400000005e33dac631d6cd82 #d,-,18,4516,2357,1957,134,0,272436,16891,4516,2359,1964,4516,2356,1949,96,100,0,500,4664;
