@400000005e1ebc9816ce51c0 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e1ebc9905203630 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e1ebcf90fb66df3 #d,-,18,3052,2320,1323,74,0,203600,12623,3052,2321,1324,3052,2317,1321,99,100,0,500,3073;
@400000005e1ebcf90fc0b312 #d,-,18,3051,2321,1288,75,0,203954,12645,3052,2321,1325,3051,2320,1288,99,100,0,500,3073;
@400000005e1ebcfb0fcfca33 #d,-,18,3047,2320,1343,76,0,204121,12655,3051,2322,1360,3047,2319,1287,100,100,0,500,3047;
@400000005e1ebcfb0fdaca84 #d,-,18,3051,2321,1323,77,0,204058,12651,3051,2322,1343,3047,2320,1314,98,100,0,500,3109;
@400000005e1ebcfd0fe4a667 #d,-,18,3050,2321,1322,78,0,204205,12660,3051,2321,1325,3050,2320,1322,99,100,0,500,3077;
@400000005e1ebcfd0feef6b4 #d,-,18,3051,2323,1329,78,0,204356,12670,3051,2323,1329,3050,2320,1322,99,100,0,500,3077;
@400000005e1ebcff0ff79d63 #d,-,18,3051,2321,1322,79,0,204497,12678,3051,2323,1329,3051,2320,1320,98,100,0,500,3084;
@400000005e1ebcff10023477 #d,-,18,3051,2323,1353,80,0,204655,12688,3051,2324,1354,3051,2321,1321,99,100,0,500,3077;
@400000005e1ebd011012e295 #d,-,18,3054,2322,1325,81,0,204790,12697,3054,2323,1353,3051,2321,1315,98,100,0,500,3105;
@400000005e1ebd01101d2f28 #d,-,18,3054,2319,1323,82,0,204923,12705,3054,2322,1325,3054,2318,1321,99,100,0,500,3077;
@400000005e1ebd0310263b5b #d,-,18,3052,2320,1325,83,0,205248,12725,3054,2321,1325,3052,2318,1322,99,100,0,500,3073;
@400000005e1ebd03102c7892 #d,-,18,3052,2321,1324,83,0,205374,12733,3052,2321,1325,3052,2319,1321,99,100,0,500,3077;
@400000005e1ebd0510395974 #d,-,18,3052,2320,1359,84,0,205514,12741,3052,2321,1359,3052,2319,1322,99,100,0,500,3077;
@400000005e1ebd051044427e #d,-,18,3055,2321,1326,85,0,205452,12738,3055,2321,1359,3052,2319,1315,98,100,0,500,3111;
@400000005e1ebd07104d632e #d,-,18,3055,2320,1324,86,0,205574,12745,3055,2321,1326,3055,2320,1321,99,100,0,500,3077;
@400000005e1ebd0710561d6c #d,-,18,3054,2321,1323,87,0,205879,12764,3055,2321,1324,3054,2320,1320,99,100,0,500,3077;
@400000005e1ebd09106674ec #d,-,18,3054,2322,1321,88,0,205809,12760,3054,2322,1324,3054,2320,1321,99,100,0,500,3079;
