@400000005e58c53526373c02 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e58c53614849f79 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e58c5701cefe56c #d,-,18,3240,2371,1439,42,0,195197,12102,3240,2372,1443,3239,2370,1434,93,100,0,500,3450;
@400000005e58c5701cf97314 #d,-,18,3240,2370,1434,43,0,195839,12142,3240,2372,1439,3240,2369,1418,93,100,0,500,3457;
@400000005e58c5721d081983 #d,-,18,3240,2373,1436,44,0,196483,12181,3240,2373,1449,3240,2370,1434,93,100,0,500,3450;
@400000005e58c5721d11a282 #d,-,18,3240,2370,1441,44,0,197095,12219,3240,2373,1443,3240,2370,1428,93,100,0,500,3453;
@400000005e58c5741d208ecb #d,-,18,3241,2372,1435,45,0,198019,12277,3241,2373,1441,3240,2370,1431,93,100,0,500,3457;
@400000005e58c5741d29ecf3 #d,-,18,3242,2374,1435,46,0,198263,12292,3242,2374,1441,3241,2372,1428,93,100,0,500,3460;
@400000005e58c5761d389363 #d,-,18,3241,2375,1433,47,0,199140,12346,3242,2375,1443,3241,2374,1424,93,100,0,500,3450;
@400000005e58c5761d41e65e #d,-,18,3241,2375,1431,48,0,199355,12360,3241,2376,1439,3241,2375,1427,93,100,0,500,3453;
@400000005e58c5781d50e635 #d,-,18,3242,2375,1435,49,0,199880,12392,3242,2376,1439,3241,2375,1431,93,100,0,500,3455;
@400000005e58c5781d5a1124 #d,-,18,3243,2373,1437,50,0,200389,12424,3243,2375,1438,3242,2373,1434,93,100,0,500,3455;
@400000005e58c57a1d67f7ba #d,-,18,3243,2374,1440,51,0,200888,12455,3243,2374,1446,3243,2373,1431,93,100,0,500,3455;
@400000005e58c57a1d718cd4 #d,-,18,3245,2374,1440,52,0,201378,12485,3245,2374,1445,3243,2372,1435,93,100,0,500,3464;
@400000005e58c57c1d801399 #d,-,18,3246,2376,1437,53,0,201851,12514,3246,2376,1444,3245,2374,1435,93,100,0,500,3467;
@400000005e58c57c1d89b889 #d,-,18,3247,2375,1439,53,0,202310,12543,3247,2376,1442,3246,2375,1436,93,100,0,500,3464;
@400000005e58c57e1d9879fb #d,-,18,3248,2374,1440,54,0,202756,12570,3248,2375,1442,3247,2373,1438,93,100,0,500,3464;
@400000005e58c57e1da207a2 #d,-,18,3248,2373,1442,55,0,203192,12597,3248,2374,1443,3248,2372,1435,93,100,0,500,3462;
@400000005e58c5801db0d441 #d,-,18,3249,2374,1437,56,0,203606,12623,3249,2375,1444,3248,2373,1431,93,100,0,500,3460;
@400000005e58c5801dba273c #d,-,18,3250,2373,1443,57,0,204020,12649,3250,2374,1444,3249,2373,1435,93,100,0,500,3464;
@400000005e58c5821dc896b9 #d,-,18,3251,2372,1443,58,0,204431,12674,3251,2374,1450,3250,2372,1437,93,100,0,500,3467;
@400000005e58c5821dd1c296 #d,-,18,3253,2372,1441,59,0,204830,12699,3253,2373,1448,3251,2372,1441,93,100,0,500,3472;
@400000005e58c5841ddfd049 #d,-,18,3255,2373,1448,60,0,205220,12723,3255,2374,1448,3253,2372,1441,93,100,0,500,3476;
@400000005e58c5841de94d2c #d,-,18,3256,2372,1439,61,0,205593,12746,3256,2373,1448,3255,2372,1439,93,100,0,500,3472;
@400000005e58c5861df7ec29 #d,-,18,3252,2371,1434,62,0,206199,12784,3256,2373,1466,3252,2371,1392,94,100,0,500,3443;
@400000005e58c5861e014e0a #d,-,18,3254,2371,1439,63,0,206280,12789,3254,2372,1449,3252,2371,1416,93,100,0,500,3476;
@400000005e58c5881e0fcd5c #d,-,18,3254,2373,1446,63,0,206625,12810,3254,2374,1459,3254,2371,1423,93,100,0,500,3464;
@400000005e58c5881e193f13 #d,-,18,3252,2373,1424,64,0,206952,12831,3254,2373,1464,3252,2373,1406,94,100,0,500,3457;
@400000005e58c58a1e285633 #d,-,18,3252,2371,1438,65,0,207267,12850,3252,2373,1461,3252,2370,1393,94,100,0,500,3448;
@400000005e58c58a1e319d13 #d,-,18,3252,2371,1442,66,0,207831,12885,3252,2371,1445,3252,2370,1434,93,100,0,500,3467;
@400000005e58c58c1e3f9af0 #d,-,18,3251,2373,1439,67,0,208135,12904,3252,2373,1448,3251,2371,1428,94,100,0,500,3457;
@400000005e58c58c1e492898 #d,-,18,3252,2373,1440,68,0,208194,12908,3252,2373,1446,3251,2372,1439,93,100,0,500,3467;
@400000005e58c58e1e57e296 #d,-,18,3252,2371,1443,69,0,208491,12926,3252,2373,1443,3252,2371,1439,93,100,0,500,3467;
@400000005e58c58e1e615bc0 #d,-,18,3251,2372,1436,70,0,208774,12944,3252,2372,1457,3251,2371,1410,93,100,0,500,3460;
@400000005e58c5901e6f80bb #d,-,18,3251,2372,1429,71,0,209048,12961,3251,2372,1455,3251,2372,1417,94,100,0,500,3455;
@400000005e58c5901e78eeb8 #d,-,18,3252,2371,1444,72,0,209329,12978,3252,2372,1453,3251,2370,1428,93,100,0,500,3467;
@400000005e58c5921e87a8b7 #d,-,18,3253,2371,1447,72,0,209603,12995,3253,2372,1447,3252,2370,1437,93,100,0,500,3469;
@400000005e58c5921e9122cf #d,-,18,3254,2373,1441,73,0,209873,13012,3254,2373,1447,3253,2371,1441,93,100,0,500,3469;
@400000005e58c5941e9ffb89 #d,-,18,3255,2372,1442,74,0,210136,13028,3255,2373,1447,3254,2371,1441,93,100,0,500,3472;
@400000005e58c5941ea93294 #d,-,18,3255,2373,1437,75,0,210393,13044,3255,2373,1451,3255,2370,1433,93,100,0,500,3469;
@400000005e58c5961eb7209c #d,-,18,3256,2372,1439,76,0,210644,13059,3256,2373,1447,3255,2372,1436,93,100,0,500,3467;
@400000005e58c5961ec0d91b #d,-,18,3257,2371,1445,77,0,211113,13089,3257,2373,1445,3256,2370,1438,93,100,0,500,3469;
@400000005e58c5981ecfc564 #d,-,18,3257,2372,1443,78,0,211130,13090,3257,2372,1445,3257,2370,1438,93,100,0,500,3467;
@400000005e58c5981ed91fd2 #d,-,18,3257,2374,1411,79,0,211354,13104,3257,2374,1447,3257,2372,1411,94,100,0,500,3462;
@400000005e58c59a1ee735e7 #d,-,18,3256,2374,1418,80,0,211577,13117,3257,2374,1454,3256,2373,1410,94,100,0,500,3457;
@400000005e58c59a1ef10106 #d,-,18,3255,2371,1432,81,0,212012,13144,3256,2374,1453,3255,2371,1418,94,100,0,500,3462;
@400000005e58c59c1effe5db #d,-,18,3254,2371,1407,82,0,212218,13157,3255,2372,1450,3254,2370,1407,94,100,0,500,3455;
@400000005e58c59c1f092cbb #d,-,18,3253,2369,1448,82,0,212217,13157,3254,2371,1461,3253,2369,1406,94,100,0,500,3455;
@400000005e58c59e1f1838ae #d,-,18,3252,2369,1459,83,0,212627,13182,3253,2370,1459,3252,2369,1402,94,100,0,500,3453;
@400000005e58c59e1f215c29 #d,-,18,3250,2371,1445,84,0,212825,13195,3252,2371,1459,3250,2369,1425,94,100,0,500,3448;
@400000005e58c5a01f2f5dc1 #d,-,18,3250,2368,1442,85,0,212822,13195,3250,2371,1445,3250,2368,1434,94,100,0,500,3455;
@400000005e58c5a01f39225b #d,-,18,3251,2368,1444,86,0,213022,13207,3251,2369,1445,3250,2368,1439,93,100,0,500,3464;
@400000005e58c5a21f480642 #d,-,18,3252,2370,1436,87,0,213216,13219,3252,2370,1446,3251,2368,1436,93,100,0,500,3462;
@400000005e58c5a21f517085 #d,-,18,3252,2367,1447,88,0,213408,13231,3252,2370,1447,3252,2367,1436,93,100,0,500,3462;
@400000005e58c5a41f5f5361 #d,-,18,3252,2369,1444,89,0,213595,13242,3252,2369,1447,3252,2367,1437,93,100,0,500,3464;
@400000005e58c5a41f6886b2 #d,-,18,3252,2371,1438,90,0,213778,13254,3252,2371,1446,3252,2367,1436,94,100,0,500,3457;
@400000005e58c5a61f777f16 #d,-,18,3252,2371,1444,91,0,213957,13265,3252,2371,1444,3252,2370,1434,93,100,0,500,3462;
@400000005e58c5a61f80c9af #d,-,18,3253,2370,1442,91,0,214135,13276,3253,2371,1445,3252,2369,1440,93,100,0,500,3464;
@400000005e58c5a81f8fb5f8 #d,-,18,3253,2372,1440,92,0,214311,13287,3253,2373,1444,3253,2370,1439,93,100,0,500,3464;
@400000005e58c5a81f99289d #d,-,18,3254,2371,1438,93,0,214481,13297,3254,2373,1446,3253,2370,1437,93,100,0,500,3467;
@400000005e58c5aa1fa7689b #d,-,18,3254,2372,1444,94,0,214652,13308,3254,2372,1444,3254,2370,1437,93,100,0,500,3462;
@400000005e58c5aa1fb0e66d #d,-,18,3254,2373,1439,95,0,215003,13330,3254,2373,1444,3254,2371,1436,93,100,0,500,3462;
@400000005e58c5ac1fbfcb42 #d,-,18,3254,2370,1440,96,0,215163,13340,3254,2373,1444,3254,2369,1438,93,100,0,500,3464;
@400000005e58c5ac1fc95442 #d,-,18,3254,2368,1441,97,0,215323,13350,3254,2371,1445,3254,2368,1438,93,100,0,500,3462;
@400000005e58c5ae1fd7c005 #d,-,18,3254,2371,1441,98,0,215298,13348,3254,2371,1446,3254,2368,1440,93,100,0,500,3464;
@400000005e58c5ae1fe116b9 #d,-,18,3255,2370,1442,99,0,215454,13358,3255,2371,1447,3254,2369,1440,93,100,0,500,3467;
@400000005e58c5b01ff054f7 #d,-,18,3255,2372,1442,100,0,215608,13367,3255,2372,1446,3255,2369,1438,93,100,0,500,3467;
@400000005e58c5b01ff99bd6 #d,-,18,3256,2372,1440,100,0,215759,13377,3256,2373,1444,3255,2371,1439,93,100,0,500,3467;
@400000005e58c5b22007cbff #d,-,18,3256,2371,1442,101,0,215911,13386,3256,2372,1444,3256,2370,1440,93,100,0,500,3467;
@400000005e58c5b220118837 #d,-,18,3257,2373,1437,102,0,216055,13395,3257,2373,1445,3256,2370,1436,93,100,0,500,3467;
@400000005e58c5b420204235 #d,-,18,3256,2370,1438,103,0,216198,13404,3257,2373,1443,3256,2370,1435,94,100,0,500,3462;
@400000005e58c5b42029c77b #d,-,18,3256,2372,1438,104,0,216339,13413,3256,2372,1445,3256,2370,1436,93,100,0,500,3464;
@400000005e58c5b62038eab7 #d,-,18,3256,2372,1443,105,0,216480,13421,3256,2373,1444,3256,2371,1437,94,100,0,500,3462;
