@400000005e786b431b8d600a #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e786b4409ea34f7 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e786b881323c76d #d,-,18,2958,2368,1259,49,0,191274,11859,3569,2368,1354,2958,2367,1237,90,98,0,500,3265;
@400000005e786b88132d12f4 #d,-,18,2771,2367,1302,49,0,191272,11858,2958,2369,1302,2771,2367,1163,91,98,0,500,3028;
@400000005e786b8a13389fe7 #d,-,18,3022,2364,1564,50,0,192185,11915,3022,2367,1608,2771,2364,1302,94,98,0,500,3204;
@400000005e786b8a13421dba #d,-,18,3551,2366,1132,51,0,192775,11952,3551,2367,1575,3022,2364,1130,95,98,0,500,3718;
@400000005e786b8c13520b0e #d,-,18,2982,2367,1277,52,0,193244,11981,3551,2367,1371,2982,2366,1132,90,99,0,500,3287;
@400000005e786b8c135bc746 #d,-,18,2783,2369,1157,53,0,193163,11976,2982,2369,1277,2783,2367,1149,91,99,0,500,3040;
@400000005e786b8e136aa000 #d,-,18,2902,2366,1614,54,0,193906,12022,2902,2369,1617,2783,2366,1157,93,99,0,500,3088;
@400000005e786b8e1373c824 #d,-,18,3511,2368,1252,55,0,194594,12064,3511,2368,1614,2902,2366,1252,94,99,0,500,3697;
@400000005e786b90138023d8 #d,-,18,3106,2368,1294,56,0,194727,12073,3511,2369,1366,3106,2367,1173,91,99,0,500,3384;
@400000005e786b901389b8f2 #d,-,18,2795,2367,1146,56,0,194420,12054,3106,2368,1294,2795,2367,1146,91,98,0,500,3064;
@400000005e786b92139941b2 #d,-,18,2485,2367,1130,57,0,194397,12052,2795,2368,1157,2485,2367,1069,88,99,0,500,2796;
@400000005e786b9213a27d64 #d,-,18,2481,2367,1134,58,0,193907,12022,2485,2368,1139,2481,2366,1130,90,98,0,500,2732;
@400000005e786b9413b169ad #d,-,18,2477,2367,1133,58,0,193920,12023,2481,2368,1136,2477,2367,1131,90,99,0,500,2730;
@400000005e786b9413baf2ac #d,-,18,2473,2366,1136,59,0,193690,12008,2477,2368,1137,2473,2365,1131,90,99,0,500,2730;
@400000005e786b9613ca4cdb #d,-,18,2470,2366,1130,60,0,193225,11979,2473,2367,1137,2470,2366,1130,90,99,0,500,2727;
@400000005e786b9613d3a38f #d,-,18,2466,2368,1131,60,0,193006,11966,2470,2368,1135,2466,2366,1130,90,99,0,500,2727;
@400000005e786b9813e2fccf #d,-,18,2464,2368,1131,61,0,192796,11953,2466,2369,1134,2464,2366,1130,90,99,0,500,2725;
@400000005e786b9813ec2c66 #d,-,18,2461,2368,1133,62,0,192586,11940,2464,2369,1134,2461,2368,1130,90,99,0,500,2723;
@400000005e786b9a13fb2884 #d,-,18,2459,2368,1131,62,0,192381,11927,2461,2368,1135,2459,2367,1131,90,99,0,500,2725;
@400000005e786b9a1404cd74 #d,-,18,2457,2367,1133,63,0,192180,11915,2459,2368,1134,2457,2367,1130,90,99,0,500,2725;
@400000005e786b9c14143689 #d,-,18,2454,2368,1132,64,0,191985,11903,2457,2368,1135,2454,2366,1130,90,99,0,500,2725;
@400000005e786b9c141d79af #d,-,18,2453,2367,1132,64,0,191793,11891,2454,2368,1135,2453,2367,1131,90,99,0,500,2725;
@400000005e786b9e142cdf0a #d,-,18,2451,2367,1132,65,0,191606,11879,2453,2367,1134,2451,2367,1130,89,99,0,500,2725;
@400000005e786b9e14361e76 #d,-,18,2450,2365,1135,66,0,191422,11868,2451,2367,1135,2450,2365,1130,89,99,0,500,2723;
@400000005e786ba014456427 #d,-,18,2449,2365,1135,66,0,191241,11856,2450,2367,1135,2449,2365,1129,89,99,0,500,2723;
@400000005e786ba0144eab07 #d,-,18,2447,2365,1132,67,0,191065,11846,2449,2367,1135,2447,2365,1130,89,99,0,500,2720;
@400000005e786ba2145dfcd3 #d,-,18,2446,2365,1133,68,0,190892,11835,2447,2368,1136,2446,2365,1129,89,99,0,500,2725;
@400000005e786ba214673112 #d,-,18,2446,2365,1133,68,0,190725,11824,2446,2367,1135,2446,2364,1131,89,99,0,500,2725;
@400000005e786ba414760d86 #d,-,18,2445,2367,1134,69,0,190561,11814,2446,2368,1136,2445,2365,1132,89,99,0,500,2723;
@400000005e786ba4147f9b2d #d,-,18,2444,2366,1132,70,0,190400,11804,2445,2368,1135,2444,2365,1131,89,99,0,500,2727;
@400000005e786ba6148f0f6f #d,-,18,2444,2368,1133,70,0,190245,11795,2444,2369,1136,2444,2366,1130,89,99,0,500,2725;
@400000005e786ba614986624 #d,-,18,2444,2367,1132,71,0,190092,11785,2444,2368,1135,2444,2367,1130,89,99,0,500,2725;
@400000005e786ba814a76242 #d,-,18,2444,2365,1131,72,0,189943,11776,2444,2368,1137,2444,2365,1130,89,99,0,500,2725;
@400000005e786ba814b0150d #d,-,18,2535,2363,1482,73,0,190234,11794,2535,2366,1515,2444,2363,1131,91,99,0,500,2761;
@400000005e786baa14b9ffd6 #d,-,18,3455,2363,1559,74,0,190885,11834,3455,2364,1592,2535,2363,1482,95,99,0,500,3611;
@400000005e786baa14c31f98 #d,-,18,3270,2364,1266,74,0,191074,11846,3455,2366,1559,3270,2363,1169,91,99,0,500,3564;
@400000005e786bac14d217fc #d,-,18,2898,2365,1210,75,0,191148,11851,3270,2365,1301,2898,2364,1210,93,99,0,500,3116;
@400000005e786bac14dba0fb #d,-,18,2637,2365,1487,76,0,191411,11867,2898,2367,1613,2637,2364,1168,90,99,0,500,2917;
@400000005e786bae14e978aa #d,-,18,3477,2364,1569,77,0,192015,11904,3477,2366,1599,2637,2364,1468,96,99,0,500,3588;
@400000005e786bae14f3250d #d,-,18,3341,2366,1288,78,0,192391,11928,3477,2367,1569,3341,2364,1121,91,99,0,500,3642;
@400000005e786bb015026abe #d,-,18,2854,2367,1223,79,0,192445,11931,3341,2367,1298,2854,2365,1223,92,99,0,500,3069;
@400000005e786bb0150baa2a #d,-,18,2633,2366,1528,80,0,192638,11943,2854,2368,1617,2633,2365,1149,90,99,0,500,2922;
@400000005e786bb215172faa #d,-,18,3377,2366,1570,80,0,193010,11966,3377,2367,1604,2633,2365,1451,96,99,0,500,3488;
@400000005e786bb215207a43 #d,-,18,3471,2368,1341,81,0,193258,11981,3471,2368,1570,3377,2366,1160,93,99,0,500,3718;
