@400000005e82e9d71d1d1fa0 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e82e9d80b714ecc #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e82ea1a141b3755 #d,-,18,2686,2370,1141,49,0,195684,12132,2687,2372,1142,2686,2369,1140,99,100,0,500,2712;
@400000005e82ea1c1423ca75 #d,-,18,2685,2370,1178,49,0,195646,12130,2686,2371,1178,2685,2368,1139,99,100,0,500,2710;
@400000005e82ea1c142837e1 #d,-,18,2860,2370,1244,50,0,195891,12145,2860,2370,1293,2685,2368,1178,99,100,0,500,2865;
@400000005e82ea1e143431cb #d,-,18,2920,2370,1211,51,0,196081,12157,2920,2371,1247,2860,2368,1211,98,100,0,500,2956;
@400000005e82ea1e143edc6e #d,-,18,2776,2371,1142,52,0,196015,12152,2920,2372,1211,2776,2369,1125,98,100,0,500,2831;
@400000005e82ea2014477baa #d,-,18,2681,2369,1141,53,0,196237,12166,2776,2372,1143,2681,2369,1141,98,100,0,500,2716;
@400000005e82ea20144d34a2 #d,-,18,2680,2369,1161,53,0,195910,12146,2681,2372,1161,2680,2369,1140,98,100,0,500,2712;
@400000005e82ea22145d9396 #d,-,18,2684,2369,1142,54,0,195869,12143,2684,2371,1170,2680,2368,1134,97,100,0,500,2741;
@400000005e82ea221468038d #d,-,18,2682,2369,1141,55,0,195814,12140,2684,2371,1143,2682,2369,1140,99,100,0,500,2708;
@400000005e82ea241474bd51 #d,-,18,2681,2370,1140,56,0,195760,12137,2682,2372,1142,2681,2369,1139,99,100,0,500,2708;
@400000005e82ea24147c04e5 #d,-,18,2682,2369,1264,56,0,195866,12143,2682,2372,1286,2681,2368,1137,98,100,0,500,2710;
@400000005e82ea26148c4163 #d,-,18,2968,2368,1263,57,0,196071,12156,2968,2371,1264,2682,2368,1249,99,100,0,500,2984;
@400000005e82ea2614968a3c #d,-,18,2965,2371,1138,58,0,196123,12159,2968,2372,1283,2965,2368,1115,99,100,0,500,2993;
@400000005e82ea28149e7111 #d,-,18,2659,2370,1143,59,0,196072,12156,2965,2371,1148,2659,2368,1138,98,100,0,500,2707;
@400000005e82ea2814a7e2c8 #d,-,18,2661,2369,1142,59,0,196266,12168,2661,2370,1143,2659,2368,1141,98,100,0,500,2710;
@400000005e82ea2a14b23f30 #d,-,18,2663,2369,1142,60,0,195967,12149,2663,2370,1143,2661,2366,1141,98,100,0,500,2712;
@400000005e82ea2a14bd2839 #d,-,18,2665,2370,1142,61,0,195917,12146,2665,2370,1143,2663,2367,1141,98,100,0,500,2712;
@400000005e82ea2c14c4f053 #d,-,18,2670,2368,1137,62,0,195889,12145,2670,2370,1171,2665,2367,1135,97,100,0,500,2733;
@400000005e82ea2c14c8869b #d,-,18,2672,2368,1154,62,0,195866,12143,2672,2370,1162,2670,2368,1137,98,100,0,500,2721;
@400000005e82ea2e14d665bd #d,-,18,2674,2368,1126,63,0,196031,12153,2674,2370,1158,2672,2367,1116,97,100,0,500,2733;
@400000005e82ea2e14e142ab #d,-,18,2670,2367,1145,64,0,195737,12135,2674,2369,1145,2670,2365,1123,99,100,0,500,2675;
@400000005e82ea3014f124d3 #d,-,18,2674,2367,1149,65,0,195731,12135,2674,2369,1177,2670,2367,1145,97,100,0,500,2732;
@400000005e82ea3014fb94ca #d,-,18,2729,2369,1147,65,0,195735,12135,2729,2369,1185,2674,2367,1147,98,100,0,500,2760;
