@400000005e22b5b51b12d0b6 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e22b5b609667e6e #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e22b5fc129a5ba6 #d,-,18,3236,2361,1437,52,0,198782,12324,3236,2361,1448,3235,2360,1437,94,100,0,500,3441;
@400000005e22b5fc12a3d5be #d,-,18,3237,2359,1442,53,0,199273,12354,3237,2361,1444,3236,2359,1435,94,100,0,500,3443;
@400000005e22b5fe12b26c58 #d,-,18,3238,2359,1437,54,0,199751,12384,3238,2360,1444,3237,2359,1437,93,100,0,500,3445;
@400000005e22b5fe12bb64fd #d,-,18,3239,2361,1434,55,0,200218,12413,3239,2361,1445,3238,2359,1434,93,100,0,500,3448;
@400000005e22b60012ca70f0 #d,-,18,3240,2361,1442,56,0,200669,12441,3240,2361,1446,3239,2360,1430,94,100,0,500,3443;
@400000005e22b60012d3a7fa #d,-,18,3239,2358,1441,56,0,201105,12468,3240,2361,1446,3239,2358,1427,94,100,0,500,3441;
@400000005e22b60212e255dd #d,-,18,3240,2358,1431,57,0,201793,12511,3240,2359,1446,3239,2358,1419,93,100,0,500,3448;
@400000005e22b60212eb81ba #d,-,18,3240,2360,1439,58,0,202211,12537,3240,2360,1452,3240,2358,1431,94,100,0,500,3441;
@400000005e22b60412f9c1b8 #d,-,18,3240,2358,1443,59,0,202615,12562,3240,2360,1450,3240,2357,1427,94,100,0,500,3441;
@400000005e22b60413032488 #d,-,18,3241,2358,1444,60,0,203001,12586,3241,2358,1444,3240,2357,1429,93,100,0,500,3450;
@400000005e22b6061311bedc #d,-,18,3241,2361,1441,61,0,203389,12610,3241,2361,1446,3241,2358,1439,94,100,0,500,3445;
@400000005e22b606131ae258 #d,-,18,3242,2360,1446,62,0,203505,12617,3242,2361,1447,3241,2360,1432,94,100,0,500,3445;
@400000005e22b60813292ab7 #d,-,18,3242,2359,1448,63,0,203876,12640,3242,2361,1452,3242,2359,1436,94,100,0,500,3448;
@400000005e22b6081332c38b #d,-,18,3244,2359,1437,64,0,204238,12662,3244,2360,1450,3242,2359,1431,93,100,0,500,3455;
@400000005e22b60a13417d8a #d,-,18,3245,2360,1444,65,0,204595,12684,3245,2361,1452,3244,2359,1437,93,100,0,500,3455;
@400000005e22b60a134a94ea #d,-,18,3245,2360,1448,65,0,204942,12706,3245,2360,1452,3245,2359,1438,93,100,0,500,3453;
@400000005e22b60c135969ea #d,-,18,3247,2359,1449,66,0,205279,12727,3247,2361,1451,3245,2359,1432,93,100,0,500,3460;
@400000005e22b60c13627e7f #d,-,18,3248,2359,1445,67,0,205616,12748,3248,2360,1456,3247,2358,1442,94,100,0,500,3455;
@400000005e22b60e13713c37 #d,-,18,3247,2361,1443,68,0,205930,12767,3248,2362,1456,3247,2359,1418,94,100,0,500,3441;
