@400000005e7476fa17cf8199 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e7476fb062be8a1 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e74776f10fcf026 #d,-,18,2421,2370,1132,82,0,185851,11522,2421,2370,1134,2419,2367,1129,88,100,0,500,2723;
@400000005e74776f11062f92 #d,-,18,2423,2368,1133,82,0,185595,11506,2423,2370,1133,2421,2367,1129,88,100,0,500,2723;
@400000005e747771111440ff #d,-,18,2425,2368,1129,83,0,185663,11511,2425,2371,1134,2423,2368,1128,88,100,0,500,2725;
@400000005e747771111dc9fe #d,-,18,2427,2370,1130,84,0,185412,11495,2427,2371,1134,2425,2368,1128,89,100,0,500,2723;
@400000005e747773112c0288 #d,-,18,2428,2368,1130,84,0,185323,11490,2428,2371,1134,2427,2367,1128,89,100,0,500,2720;
@400000005e747773113536c7 #d,-,18,2429,2368,1130,85,0,185236,11484,2429,2369,1133,2428,2367,1128,89,100,0,500,2720;
@400000005e7477751143571b #d,-,18,2430,2365,1132,86,0,185149,11479,2430,2369,1135,2429,2360,1128,89,100,0,500,2720;
@400000005e747775114d2b8a #d,-,18,2430,2366,1131,86,0,185063,11473,2430,2366,1134,2430,2364,1128,89,100,0,500,2718;
@400000005e747777115bf46f #d,-,18,2431,2364,1133,87,0,184978,11468,2431,2366,1136,2430,2364,1129,89,100,0,500,2720;
@400000005e74777711655650 #d,-,18,2431,2366,1131,88,0,184893,11463,2431,2367,1133,2431,2364,1127,89,100,0,500,2718;
@400000005e74777911747d46 #d,-,18,2431,2365,1130,88,0,184959,11467,2431,2367,1132,2431,2365,1128,89,100,0,500,2715;
@400000005e747779117da569 #d,-,18,2431,2367,1130,89,0,184729,11453,2431,2367,1132,2431,2365,1129,89,100,0,500,2715;
@400000005e74777b118c2fe8 #d,-,18,2432,2363,1395,90,0,184712,11452,2432,2367,1395,2431,2363,1129,89,100,0,500,2718;
@400000005e74777b1193c10f #d,-,18,3062,2366,1091,91,0,185139,11478,3062,2367,1669,2432,2362,1091,94,100,0,500,3227;
@400000005e74777d11a0dc9d #d,-,18,2922,2365,1221,91,0,185188,11481,3062,2366,1298,2922,2362,1057,90,100,0,500,3220;
@400000005e74777d11aab10c #d,-,18,2653,2361,1178,92,0,185211,11483,2922,2365,1221,2653,2361,1175,90,100,0,500,2926;
@400000005e74777f11b90852 #d,-,18,2591,2363,1122,93,0,185182,11481,2653,2364,1188,2591,2360,1119,90,100,0,500,2862;
@400000005e74777f11bd59cd #d,-,18,2469,2361,1669,94,0,185418,11495,2591,2364,1755,2469,2360,1122,89,100,0,500,2758;
@400000005e74778111c66e62 #d,-,18,3509,2364,1308,94,0,185673,11511,3509,2365,1669,2469,2360,1097,97,100,0,500,3611;
@400000005e74778111ca7cce #d,-,18,2641,2364,1211,95,0,185711,11514,3509,2365,1308,2641,2364,1193,88,100,0,500,2998;
@400000005e74778311d759f6 #d,-,18,2640,2362,1187,96,0,185711,11514,2641,2364,1216,2640,2362,1177,90,100,0,500,2903;
@400000005e74778311dc5403 #d,-,18,2543,2363,1222,97,0,185665,11511,2640,2365,1222,2543,2362,1122,90,100,0,500,2825;
@400000005e74778511e4433a #d,-,18,3076,2365,1146,98,0,186125,11539,3076,2365,1764,2543,2360,1146,95,100,0,500,3216;
@400000005e74778511e8467a #d,-,18,2976,2362,1222,98,0,186164,11542,3076,2365,1298,2976,2362,1083,90,100,0,500,3291;
@400000005e74778711f6ad95 #d,-,18,2649,2363,1185,99,0,186179,11543,2976,2364,1222,2649,2361,1177,90,100,0,500,2919;
@400000005e7477871200d7b2 #d,-,18,2591,2364,1137,100,0,186142,11540,2649,2365,1193,2591,2363,1124,90,100,0,500,2862;
@400000005e747789120ff28c #d,-,18,2591,2361,1561,100,0,186501,11563,2591,2364,1773,2591,2359,1137,92,100,0,500,2803;
@400000005e7477891219546e #d,-,18,3367,2362,1198,101,0,186605,11569,3367,2363,1641,2591,2360,1104,91,100,0,500,3668;
@400000005e74778b122840b7 #d,-,18,2697,2361,1207,102,0,186634,11571,3367,2364,1226,2697,2361,1197,92,100,0,500,2929;
@400000005e74778b123243b7 #d,-,18,2615,2363,1159,103,0,186615,11570,2697,2363,1207,2615,2360,1159,90,100,0,500,2879;
@400000005e74778d12414b02 #d,-,18,2503,2364,1019,103,0,186495,11562,2615,2364,1159,2503,2362,1019,89,100,0,500,2784;
@400000005e74778d124aa570 #d,-,18,2274,2362,1127,104,0,186375,11555,2503,2364,1153,2274,2362,1019,87,100,0,500,2585;
@400000005e74778f125a3e05 #d,-,18,2445,2361,1134,105,0,186296,11550,2445,2364,1136,2274,2361,1127,89,100,0,500,2718;
@400000005e74778f126369e2 #d,-,18,2443,2362,1132,105,0,186343,11553,2445,2363,1136,2443,2361,1130,89,100,0,500,2715;
@400000005e7477911271c5d0 #d,-,18,2442,2359,1131,106,0,186138,11540,2443,2362,1136,2442,2359,1129,89,100,0,500,2715;
@400000005e747791127b2f25 #d,-,18,2441,2359,1130,107,0,186061,11535,2442,2361,1134,2441,2359,1130,89,100,0,500,2713;
@400000005e747793128a561a #d,-,18,2440,2361,1132,107,0,185985,11531,2441,2361,1134,2440,2359,1130,89,100,0,500,2713;
@400000005e74779312938e13 #d,-,18,2439,2360,1133,108,0,185910,11526,2440,2362,1134,2439,2359,1131,89,100,0,500,2718;
@400000005e74779512a1edbb #d,-,18,2438,2362,1134,109,0,185838,11521,2439,2362,1135,2438,2359,1132,89,100,0,500,2715;
@400000005e74779512ab6f46 #d,-,18,2438,2361,1129,109,0,185765,11517,2438,2362,1135,2438,2361,1128,89,100,0,500,2718;
@400000005e74779712ba4f74 #d,-,18,2438,2363,1135,110,0,185695,11513,2438,2363,1135,2438,2360,1129,89,100,0,500,2715;
@400000005e74779712c3cd46 #d,-,18,2437,2362,1133,111,0,185625,11508,2438,2363,1135,2437,2361,1129,89,100,0,500,2715;
@400000005e74779912d2e0ad #d,-,18,2437,2361,1133,111,0,185557,11504,2437,2364,1134,2437,2361,1130,89,100,0,500,2718;
@400000005e74779912dc3b1b #d,-,18,2437,2364,1132,112,0,185489,11500,2437,2364,1135,2437,2360,1131,89,100,0,500,2720;
@400000005e74779b12eb3eac #d,-,18,2437,2361,1134,113,0,185423,11496,2437,2364,1136,2437,2361,1132,89,100,0,500,2718;
@400000005e74779b12f4b151 #d,-,18,2438,2360,1135,113,0,185358,11492,2438,2363,1135,2437,2360,1132,89,100,0,500,2718;
@400000005e74779d13039d9a #d,-,18,2438,2362,1133,114,0,185294,11488,2438,2362,1136,2438,2360,1131,89,100,0,500,2720;
@400000005e74779d130cf44f #d,-,18,2438,2360,1135,115,0,185230,11484,2438,2362,1136,2438,2359,1132,89,100,0,500,2718;
